k	c	n_at_least
1	328736	501561.0
2	104517	172825.0
3	18083	68308.0
4	15348	50225.0
5	6007	34877.0
6	5363	28870.0
7	2870	23507.0
8	2787	20637.0
9	1760	17850.0
10	1604	16090.0
11	1116	14486.0
12	1132	13370.0
13	808	12238.0
14	845	11430.0
15	629	10585.0
16	582	9956.0
17	490	9374.0
18	500	8884.0
19	365	8384.0
20	395	8019.0
21	284	7624.0
22	301	7340.0
23	271	7039.0
24	280	6768.0
25	232	6488.0
26	251	6256.0
27	168	6005.0
28	214	5837.0
29	166	5623.0
30	175	5457.0
31	147	5282.0
32	159	5135.0
33	130	4976.0
34	146	4846.0
35	122	4700.0
36	132	4578.0
37	106	4446.0
38	106	4340.0
39	79	4234.0
40	114	4155.0
41	81	4041.0
42	77	3960.0
43	86	3883.0
44	61	3797.0
45	81	3736.0
46	79	3655.0
47	72	3576.0
48	61	3504.0
49	67	3443.0
50	60	3376.0
51	51	3316.0
52	63	3265.0
53	53	3202.0
54	55	3149.0
55	44	3094.0
56	63	3050.0
57	59	2987.0
58	49	2928.0
59	47	2879.0
60	48	2832.0
61	44	2784.0
62	46	2740.0
63	44	2694.0
64	46	2650.0
65	40	2604.0
66	40	2564.0
67	35	2524.0
68	34	2489.0
69	39	2455.0
70	33	2416.0
71	25	2383.0
72	29	2358.0
73	32	2329.0
74	24	2297.0
75	29	2273.0
76	22	2244.0
77	29	2222.0
78	27	2193.0
79	28	2166.0
80	27	2138.0
81	17	2111.0
82	22	2094.0
83	22	2072.0
84	23	2050.0
85	21	2027.0
86	22	2006.0
87	13	1984.0
88	25	1971.0
89	18	1946.0
90	22	1928.0
91	16	1906.0
92	19	1890.0
93	12	1871.0
94	23	1859.0
95	25	1836.0
96	15	1811.0
97	15	1796.0
98	14	1781.0
99	15	1767.0
100	17	1752.0
101	14	1735.0
102	20	1721.0
103	22	1701.0
104	13	1679.0
105	7	1666.0
106	19	1659.0
107	12	1640.0
108	16	1628.0
109	14	1612.0
110	13	1598.0
111	13	1585.0
112	10	1572.0
113	15	1562.0
114	9	1547.0
115	15	1538.0
116	14	1523.0
117	10	1509.0
118	19	1499.0
119	7	1480.0
120	11	1473.0
121	11	1462.0
122	17	1451.0
123	14	1434.0
124	11	1420.0
125	14	1409.0
126	9	1395.0
127	12	1386.0
128	12	1374.0
129	17	1362.0
130	8	1345.0
131	6	1337.0
132	10	1331.0
133	7	1321.0
134	12	1314.0
135	12	1302.0
136	12	1290.0
137	11	1278.0
138	7	1267.0
139	7	1260.0
140	5	1253.0
141	8	1248.0
142	10	1240.0
143	5	1230.0
144	11	1225.0
145	4	1214.0
146	7	1210.0
147	9	1203.0
148	5	1194.0
149	3	1189.0
150	8	1186.0
151	10	1178.0
152	6	1168.0
153	1	1162.0
154	6	1161.0
155	6	1155.0
156	10	1149.0
157	2	1139.0
158	4	1137.0
159	3	1133.0
160	4	1130.0
161	8	1126.0
162	3	1118.0
163	3	1115.0
165	8	1112.0
166	4	1104.0
167	7	1100.0
168	2	1093.0
169	12	1091.0
170	1	1079.0
171	3	1078.0
172	4	1075.0
173	2	1071.0
174	9	1069.0
175	6	1060.0
176	5	1054.0
177	5	1049.0
178	5	1044.0
179	4	1039.0
180	5	1035.0
181	7	1030.0
182	2	1023.0
183	4	1021.0
184	13	1017.0
185	2	1004.0
186	3	1002.0
187	8	999.0
188	5	991.0
189	3	986.0
190	3	983.0
191	9	980.0
192	3	971.0
193	4	968.0
194	3	964.0
195	5	961.0
196	5	956.0
197	4	951.0
198	6	947.0
199	2	941.0
200	1	939.0
201	4	938.0
202	4	934.0
203	1	930.0
204	4	929.0
205	5	925.0
206	3	920.0
207	1	917.0
208	5	916.0
209	2	911.0
210	1	909.0
211	4	908.0
212	4	904.0
213	2	900.0
214	2	898.0
215	4	896.0
216	7	892.0
217	2	885.0
218	5	883.0
219	3	878.0
220	4	875.0
221	3	871.0
222	3	868.0
223	4	865.0
224	2	861.0
225	4	859.0
226	3	855.0
228	3	852.0
229	4	849.0
230	4	845.0
231	2	841.0
