file_label	n_loci	n_loci_with_call	n_loci_zero_ncrna	pct_zero
RVT-GII	1525893	120	1525773	99.9921
Retron	632688	333838	298850	47.235
RVT-DGRs	173191	36	173155	99.9792
RVT-UG11	73555	0	73555	100.0
RVT-UG5	51344	2	51342	99.9961
RVT-AbiP2	44697	8	44689	99.9821
RVT-UG2	42793	11	42782	99.9743
RVT-UG3	38549	2	38547	99.9948
RVT-UG17	38354	0	38354	100.0
RVT-G2L	38031	0	38031	100.0
RVT-UG8	37297	4	37293	99.9893
RVT-UG4	31720	0	31720	100.0
RVT-UG7	17503	1	17502	99.9943
RVT-UG15	15339	2	15337	99.987
RVT-AbiK	9370	0	9370	100.0
MULTI	8542	6	8536	99.9298
RVT-UG1	7393	0	7393	100.0
RVT-CRISPR	7355	0	7355	100.0
RVT-CRISPR-like	5715	2	5713	99.965
RVT-UG12	5692	3	5689	99.9473
RVT-UG27	5523	0	5523	100.0
RVT-UG26	5374	7	5367	99.8697
RVT-UG28	4144	0	4144	100.0
RVT-G2L4	2760	2	2758	99.9275
RVT-UG24	2670	0	2670	100.0
RVT-UG16	2361	0	2361	100.0
RVT-UG9	2180	0	2180	100.0
RVT-UG14	2169	7	2162	99.6773
RVT-UG18	2031	0	2031	100.0
RVT-UG10	1880	9	1871	99.5213
RVT-UG19	1651	0	1651	100.0
RVT-UG13	1631	0	1631	100.0
RVT-UG28b	1603	0	1603	100.0
RVT-UG23	1288	3	1285	99.7671
RVT-G2Lc	1263	0	1263	100.0
RVT-UG6	882	0	882	100.0
RVT-UG22	871	0	871	100.0
RVT-G2Lb	641	0	641	100.0
RVT-UG20	556	0	556	100.0
RVT-UG25	456	0	456	100.0
RVT-UG21	315	0	315	100.0
RVT-AbiA	42	0	42	100.0
