stratum	bin_start	n
not_clipped	-2950.0	6
not_clipped	-2900.0	1
not_clipped	-2850.0	3
not_clipped	-2800.0	2
not_clipped	-2650.0	3
not_clipped	-2600.0	7
not_clipped	-2550.0	2
not_clipped	-2500.0	27
not_clipped	-2450.0	11
not_clipped	-2400.0	4
not_clipped	-2350.0	9
not_clipped	-2300.0	12
not_clipped	-2250.0	6
not_clipped	-2200.0	5
not_clipped	-2150.0	2
not_clipped	-2100.0	9
not_clipped	-2050.0	3
not_clipped	-2000.0	8
not_clipped	-1950.0	2
not_clipped	-1900.0	7
not_clipped	-1850.0	21
not_clipped	-1800.0	19
not_clipped	-1750.0	8
not_clipped	-1700.0	1
not_clipped	-1650.0	3
not_clipped	-1600.0	9
not_clipped	-1550.0	13
not_clipped	-1500.0	12
not_clipped	-1450.0	2
not_clipped	-1400.0	18
not_clipped	-1350.0	6
not_clipped	-1300.0	22
not_clipped	-1250.0	6
not_clipped	-1200.0	13
not_clipped	-1150.0	53
not_clipped	-1100.0	286
not_clipped	-1050.0	111302
not_clipped	-1000.0	2527
not_clipped	-950.0	1804
not_clipped	-900.0	237
not_clipped	-850.0	52
not_clipped	-800.0	44
not_clipped	-750.0	29
not_clipped	-700.0	45
not_clipped	-650.0	333
not_clipped	-600.0	82
not_clipped	-550.0	54
not_clipped	-500.0	76
not_clipped	-450.0	488
not_clipped	-400.0	237
not_clipped	-350.0	423
not_clipped	-300.0	702
not_clipped	-250.0	577
not_clipped	-200.0	1142
not_clipped	-150.0	3374
not_clipped	-100.0	17923
not_clipped	-50.0	104450
not_clipped	0.0	35913
not_clipped	50.0	560
not_clipped	100.0	156
not_clipped	150.0	23
not_clipped	200.0	100
not_clipped	250.0	15
not_clipped	300.0	6
not_clipped	350.0	4
not_clipped	400.0	4
not_clipped	650.0	4
not_clipped	850.0	1
not_clipped	950.0	18
not_clipped	1050.0	2
not_clipped	1150.0	1
not_clipped	1400.0	8
not_clipped	1450.0	2
not_clipped	1550.0	1
not_clipped	1800.0	1
not_clipped	1850.0	1
not_clipped	1900.0	15
not_clipped	1950.0	17
not_clipped	2100.0	2
not_clipped	2150.0	2
not_clipped	2200.0	2
not_clipped	2250.0	2
not_clipped	2300.0	2
not_clipped	2450.0	2
not_clipped	2500.0	2
not_clipped	2650.0	10
not_clipped	3000.0	1
not_clipped	3200.0	2
not_clipped	3250.0	1
not_clipped	3300.0	3
not_clipped	3400.0	6
true_start_clipped	-2850.0	2
true_start_clipped	-2750.0	2
true_start_clipped	-2700.0	1
true_start_clipped	-2650.0	2
true_start_clipped	-2600.0	3
true_start_clipped	-2550.0	5
true_start_clipped	-2450.0	1
true_start_clipped	-2350.0	1
true_start_clipped	-2300.0	6
true_start_clipped	-2150.0	2
true_start_clipped	-2050.0	3
true_start_clipped	-1950.0	1
true_start_clipped	-1850.0	3
true_start_clipped	-1800.0	10
true_start_clipped	-1750.0	8
true_start_clipped	-1600.0	1
true_start_clipped	-1500.0	3
true_start_clipped	-1450.0	32
true_start_clipped	-1400.0	2
true_start_clipped	-1350.0	1
true_start_clipped	-1300.0	6
true_start_clipped	-1250.0	2
true_start_clipped	-1200.0	6
true_start_clipped	-1150.0	16
true_start_clipped	-1100.0	53
true_start_clipped	-1050.0	10275
true_start_clipped	-1000.0	392
true_start_clipped	-950.0	433
true_start_clipped	-900.0	70
true_start_clipped	-850.0	4
true_start_clipped	-800.0	15
true_start_clipped	-750.0	12
true_start_clipped	-700.0	16
true_start_clipped	-650.0	44
true_start_clipped	-600.0	24
true_start_clipped	-550.0	35
true_start_clipped	-500.0	39
true_start_clipped	-450.0	124
true_start_clipped	-400.0	122
true_start_clipped	-350.0	127
true_start_clipped	-300.0	214
true_start_clipped	-250.0	261
true_start_clipped	-200.0	515
true_start_clipped	-150.0	4177
true_start_clipped	-100.0	3961
true_start_clipped	-50.0	23928
true_start_clipped	0.0	7144
true_start_clipped	50.0	114
true_start_clipped	100.0	21
true_start_clipped	150.0	7
true_start_clipped	200.0	35
true_start_clipped	250.0	2
true_start_clipped	300.0	9
true_start_clipped	350.0	1
true_start_clipped	400.0	2
true_start_clipped	450.0	4
true_start_clipped	500.0	1
true_start_clipped	550.0	1
true_start_clipped	650.0	8
true_start_clipped	700.0	1
true_start_clipped	800.0	2
true_start_clipped	850.0	2
true_start_clipped	950.0	16
true_start_clipped	1000.0	2
true_start_clipped	1100.0	2
true_start_clipped	1750.0	1
true_start_clipped	1850.0	1
true_start_clipped	1950.0	32
true_start_clipped	2450.0	1
true_start_clipped	2500.0	3
true_start_clipped	2550.0	16
true_start_clipped	2600.0	1228
true_start_clipped	2650.0	1359
true_start_clipped	2700.0	2526
true_start_clipped	2750.0	83
true_start_clipped	2800.0	22
true_start_clipped	2850.0	1
true_start_clipped	2950.0	20
true_start_clipped	3000.0	4
true_start_clipped	3050.0	1
true_start_clipped	3100.0	1
true_start_clipped	3200.0	1
true_start_clipped	3300.0	2
true_start_clipped	3450.0	2
