file_label	n_placements	pct_upstream	pct_downstream	pct_overlapping	pct_same_strand	pct_no_cds_between	median_signed_bp	n_exact_ncrna
Retron	345047	94.51089271896292	1.9368375902413295	3.5522696907957467	99.1349004628355	94.45234996971428	-46.0	16351
RVT-GII	137	70.07299270072993	29.197080291970803	0.7299270072992701	48.175182481751825	32.11678832116788	-498.0	63
RVT-DGRs	51	39.21568627450981	58.8235294117647	1.9607843137254901	72.54901960784314	11.764705882352942	2149.0	22
RVT-UG2	11	18.181818181818183	81.81818181818181	0.0	100.0	0.0	7704.0	2
RVT-UG14	10	100.0	0.0	0.0	100.0	100.0	-15.0	1
RVT-UG26	10	0.0	100.0	0.0	80.0	20.0	4451.0	3
RVT-AbiP2	9	77.77777777777777	22.22222222222222	0.0	0.0	77.77777777777777	-348.0	2
RVT-UG10	9	33.333333333333336	66.66666666666667	0.0	33.333333333333336	66.66666666666667	100.0	2
MULTI	6	50.0	50.0	0.0	66.66666666666667	0.0	1332.5	5
RVT-UG12	4	75.0	25.0	0.0	100.0	75.0	-362.0	2
RVT-G2L4	3	0.0	100.0	0.0	66.66666666666667	66.66666666666667	142.0	2
RVT-UG8	3	0.0	100.0	0.0	100.0	0.0	8495.0	2
RVT-UG23	3	100.0	0.0	0.0	0.0	0.0	-2567.0	1
RVT-UG7	2	100.0	0.0	0.0	100.0	100.0	-566.0	1
RVT-UG15	2	0.0	100.0	0.0	0.0	0.0	2202.0	1
RVT-UG3	2	100.0	0.0	0.0	100.0	100.0	-243.0	1
RVT-UG5	2	0.0	100.0	0.0	100.0	0.0	2271.0	1
RVT-CRISPR-like	2	100.0	0.0	0.0	100.0	0.0	-8973.0	1
