dimension	value	n	pct_of_opposite
detection_model	TypeXIIIA_firmi	2571	84.54
detection_model	TypeIB1	143	4.7
detection_model	OutgroupA	118	3.88
detection_model	TypeIC1_IC2	100	3.29
detection_model	TypeXIIIC_Mx162	17	0.56
detection_model	TypeIIIA2	15	0.49
detection_model	TypeIX	13	0.43
detection_model	TypeIIIA1	9	0.3
detection_model	TypeIIA2	8	0.26
detection_model	TypeIIA3_firmi	8	0.26
detection_model	TypeXIIIB_Ne144	7	0.23
detection_model	TypeIV	7	0.23
detection_model	TypeIA_IIAI	7	0.23
detection_model	TypeIIIA3	6	0.2
detection_model	TypeXIII_Mx65	4	0.13
detection_model	TypeIB2	3	0.1
detection_model	OutgroupB	2	0.07
detection_model	TypeIIA3_proteo	2	0.07
detection_model	Ec107_like	1	0.03
direction	upstream	2964	97.47
direction	downstream	61	2.01
direction	overlapping	16	0.53
file_label	Retron	2931	96.38
file_label	RVT-GII	71	2.33
file_label	RVT-DGRs	14	0.46
file_label	RVT-AbiP2	9	0.3
file_label	RVT-UG10	6	0.2
file_label	RVT-UG23	3	0.1
file_label	RVT-UG15	2	0.07
file_label	RVT-UG26	2	0.07
file_label	MULTI	2	0.07
file_label	RVT-G2L4	1	0.03
