detection_model	detected_by_set	n_calls
TypeIA_IIAI	myRT|PADLOC|DefenseFinder	144494
TypeIC1_IC2	myRT|PADLOC|DefenseFinder	51264
TypeIB2	myRT|PADLOC|DefenseFinder	32065
Ec107_like	myRT|PADLOC	30755
OutgroupA	myRT|PADLOC	8993
TypeV	myRT|PADLOC	8724
TypeIV	myRT|PADLOC|DefenseFinder	7284
TypeIC1_IC2	myRT	4014
TypeIB1	myRT|PADLOC	3890
TypeIC1_IC2	myRT|DefenseFinder	3450
TypeXIIIA_firmi	myRT|DefenseFinder	3328
TypeXIIIB_Ne144	myRT|PADLOC|DefenseFinder	3247
Ec107_like	PADLOC	2801
TypeIA_IIAI	myRT	2598
TypeIC1_IC2	PADLOC|DefenseFinder	2361
Ec107_like	myRT	2295
TypeIIA3_proteo	myRT|PADLOC|DefenseFinder	2226
TypeIIIA3	myRT|PADLOC|DefenseFinder	2022
TypeIIA3_firmi	myRT|PADLOC|DefenseFinder	1918
OutgroupB	myRT|PADLOC	1766
TypeIA_IIAI	PADLOC|DefenseFinder	1692
TypeIIIA3	myRT|DefenseFinder	1570
TypeIB2	myRT	1473
TypeIIIA2	myRT	1123
TypeV	myRT	1060
TypeIIIA2	myRT|DefenseFinder	1011
OutgroupA	myRT	994
TypeIIIA2	myRT|PADLOC|DefenseFinder	988
TypeIA_IIAI	myRT|DefenseFinder	977
OutgroupA	PADLOC	890
TypeIB2	myRT|DefenseFinder	827
TypeIIIA1	myRT|PADLOC|DefenseFinder	708
TypeIIIA3	PADLOC	638
TypeXIIIC_Mx162	myRT|PADLOC|DefenseFinder	624
TypeIIIA3	myRT	621
TypeIB2	PADLOC|DefenseFinder	584
TypeIX	myRT|PADLOC	581
Ec107_like	myRT|PADLOC|DefenseFinder	460
TypeIC1_IC2	DefenseFinder	455
TypeXIIIB_Ne144	myRT|DefenseFinder	419
TypeIIIA1	myRT|DefenseFinder	413
TypeXIIIA_firmi	DefenseFinder	413
TypeXIII_Mx65	myRT|DefenseFinder	408
TypeXIIIB_Ne144	myRT	393
TypeIIIA1	myRT	372
TypeIV	myRT	343
TypeIB1	myRT	334
TypeIB2_firmi	myRT|PADLOC|DefenseFinder	273
TypeXIIIB_Ne144	PADLOC|DefenseFinder	272
TypeXIIIA_firmi	myRT|PADLOC|DefenseFinder	260
TypeIX	myRT	253
TypeIIA3_firmi	PADLOC|DefenseFinder	239
TypeXIII_Mx65	myRT	229
TypeIB1	PADLOC	170
TypeXIIIC_Mx162	myRT|DefenseFinder	152
TypeXIIIC_Mx162	myRT	139
OutgroupB	PADLOC	137
TypeIV	PADLOC|DefenseFinder	132
TypeIIA3_proteo	myRT	115
OutgroupB	myRT	109
TypeV	PADLOC	103
TypeIIIA1	PADLOC|DefenseFinder	98
TypeIIA3_firmi	myRT	95
TypeXIII_Mx65	myRT|PADLOC|DefenseFinder	94
TypeXIIIB_Ne144	DefenseFinder	80
TypeXIIIA_firmi	PADLOC|DefenseFinder	79
TypeXIIIC_Mx162	PADLOC|DefenseFinder	77
TypeXIII_Mx65	DefenseFinder	70
TypeXIIIA_firmi	myRT	67
TypeIA_IIAI	DefenseFinder	57
TypeIIA3_proteo	PADLOC|DefenseFinder	57
TypeIV	myRT|DefenseFinder	55
TypeIIIA2	DefenseFinder	48
TypeIIIA3	DefenseFinder	47
TypeIIIA3	PADLOC|DefenseFinder	45
TypeIIIA2	PADLOC|DefenseFinder	44
TypeIX	myRT|PADLOC|DefenseFinder	44
TypeIIA2	myRT|DefenseFinder	42
TypeIIIA1	DefenseFinder	39
TypeV	myRT|PADLOC|DefenseFinder	39
TypeIB2_firmi	PADLOC|DefenseFinder	37
TypeIX	PADLOC	36
TypeIC1_IC2	PADLOC	36
TypeXIII_Mx65	myRT|PADLOC	31
TypeIB2_firmi	myRT	30
TypeIA_IIAI	myRT|PADLOC	29
TypeIB2	DefenseFinder	29
TypeXIIIC_Mx162	DefenseFinder	27
TypeIIA2	myRT	26
TypeIIA2	myRT|PADLOC|DefenseFinder	21
TypeIIA3_firmi	PADLOC	21
TypeIIA3_firmi	myRT|PADLOC	15
TypeIIA3_proteo	myRT|PADLOC	15
TypeXIII_Mx65	PADLOC|DefenseFinder	15
Ec107_like	myRT|DefenseFinder	14
Ec107_like	PADLOC|DefenseFinder	13
TypeIB1	myRT|PADLOC|DefenseFinder	12
TypeIIIA1	PADLOC	12
TypeIIA3_proteo	myRT|DefenseFinder	9
TypeIB2_firmi	myRT|DefenseFinder	9
TypeIC1_IC2	myRT|PADLOC	9
OutgroupA	myRT|PADLOC|DefenseFinder	8
TypeIB2	myRT|PADLOC	7
TypeIV	myRT|PADLOC	7
TypeXIIIB_Ne144	myRT|PADLOC	6
TypeIV	DefenseFinder	6
TypeIIA3_firmi	myRT|DefenseFinder	5
TypeIIIA1	myRT|PADLOC	5
TypeXIIIB_Ne144	PADLOC	4
TypeXIII_Mx65	PADLOC	4
TypeIX	myRT|DefenseFinder	3
OutgroupA	myRT|DefenseFinder	3
TypeIIA2	PADLOC|DefenseFinder	3
TypeV	myRT|DefenseFinder	3
TypeIA_IIAI	PADLOC	3
TypeIIIA3	myRT|PADLOC	3
TypeIB1	myRT|DefenseFinder	2
Ec107_like	DefenseFinder	2
TypeIIA3_firmi	DefenseFinder	2
TypeIIIA2	PADLOC	1
TypeIIA2	DefenseFinder	1
TypeXIIIC_Mx162	myRT|PADLOC	1
TypeIX	PADLOC|DefenseFinder	1
TypeIIA3_proteo	DefenseFinder	1
OutgroupA	DefenseFinder	1
