family_label	n_exact_rt	n_records	pct_exact_rt	pct_records	records_per_protein
RVT-GII	256624	1613900	51.9528	53.0501	6.29
Retron	78287	663308	15.849	21.8034	8.47
RVT-DGRs	76111	228165	15.4085	7.5	3.0
RVT-UG2	8423	46282	1.7052	1.5213	5.49
RVT-UG8	7261	38721	1.47	1.2728	5.33
RVT-UG5	6439	52895	1.3036	1.7387	8.21
RVT-AbiP2	6377	47306	1.291	1.555	7.42
RVT-UG3	5821	39992	1.1784	1.3146	6.87
RVT-UG4	4705	32526	0.9525	1.0692	6.91
RVT-UG17	4702	39508	0.9519	1.2987	8.4
RVT-CRISPR	4035	9711	0.8169	0.3192	2.41
RVT-UG26	3954	8407	0.8005	0.2763	2.13
RVT-UG15	3479	15961	0.7043	0.5247	4.59
RVT-UG7	3262	18475	0.6604	0.6073	5.66
RVT-CRISPR-like	3156	6776	0.6389	0.2227	2.15
RVT-UG12	2279	6454	0.4614	0.2121	2.83
RVT-G2L	1988	38428	0.4025	1.2632	19.33
RVT-UG1	1725	7729	0.3492	0.2541	4.48
RVT-UG11	1292	75671	0.2616	2.4874	58.57
RVT-UG27	1183	6425	0.2395	0.2112	5.43
RVT-UG28	1158	4413	0.2344	0.1451	3.81
RVT-UG19	1010	2244	0.2045	0.0738	2.22
RVT-AbiK	966	9516	0.1956	0.3128	9.85
RVT-UG24	949	3389	0.1921	0.1114	3.57
RVT-UG13	929	2011	0.1881	0.0661	2.16
RVT-G2L4	913	3055	0.1848	0.1004	3.35
RVT-UG14	881	2525	0.1784	0.083	2.87
RVT-UG28b	871	1969	0.1763	0.0647	2.26
RVT-UG23	697	1413	0.1411	0.0464	2.03
RVT-UG9	674	2500	0.1364	0.0822	3.71
RVT-UG10	648	2111	0.1312	0.0694	3.26
RVT-UG16	595	2480	0.1205	0.0815	4.17
RVT-UG22	484	952	0.098	0.0313	1.97
RVT-G2Lc	355	1498	0.0719	0.0492	4.22
RVT-UG20	349	636	0.0707	0.0209	1.82
RVT-UG6	331	1090	0.067	0.0358	3.29
RVT-G2Lb	324	657	0.0656	0.0216	2.03
RVT-UG18	299	2127	0.0605	0.0699	7.11
RVT-UG25	216	559	0.0437	0.0184	2.59
RVT-UG21	193	385	0.0391	0.0127	1.99
RVT-AbiA	11	46	0.0022	0.0015	4.18
