file_label	detection_model	n_placements	n_exact_ncrna
RVT-DGRs	TypeIIA3_firmi	1	1
RVT-G2L4	TypeIC1_IC2	2	1
RVT-G2L4	TypeXIIIC_Mx162	1	1
RVT-GII	OutgroupA	37	15
RVT-GII	TypeIIIA1	4	2
RVT-GII	TypeIA_IIAI	10	4
RVT-UG7	TypeIB1	2	1
Retron	OutgroupA	10851	3291
Retron	TypeIA_IIAI	149824	1985
Retron	TypeIIIA1	1636	430
RVT-DGRs	TypeIIIA3	8	3
RVT-DGRs	TypeIIA3_proteo	2	1
RVT-DGRs	TypeIIIA2	11	3
RVT-GII	TypeIB1	7	3
RVT-UG10	TypeIIIA2	6	1
RVT-UG5	TypeIA_IIAI	2	1
RVT-UG8	TypeXIIIC_Mx162	2	1
Retron	TypeIB1	4399	569
Retron	TypeV	9929	205
RVT-CRISPR-like	TypeIX	2	1
RVT-DGRs	TypeIIIA1	7	2
RVT-DGRs	TypeIA_IIAI	5	3
RVT-DGRs	OutgroupA	1	1
RVT-GII	TypeXIIIC_Mx162	21	9
RVT-GII	TypeIC1_IC2	2	1
RVT-UG14	TypeIX	10	1
RVT-UG26	TypeIIIA2	6	1
Retron	TypeIC1_IC2	61583	2003
Retron	TypeXIIIA_firmi	4147	469
Retron	TypeXIIIC_Mx162	994	382
MULTI	TypeIIIA3	1	1
MULTI	TypeIIIA2	1	1
RVT-AbiP2	TypeIIIA2	2	1
RVT-GII	OutgroupB	7	5
RVT-GII	TypeIIIA2	5	3
RVT-GII	TypeIIIA3	3	2
RVT-GII	TypeIIA3_proteo	1	1
RVT-UG26	TypeXIIIC_Mx162	2	1
RVT-UG2	TypeIA_IIAI	9	1
Retron	TypeIIA3_proteo	2420	188
Retron	TypeIIIA3	4934	720
Retron	TypeIIIA2	3182	390
Retron	OutgroupB	2005	329
MULTI	Ec107_like	2	1
RVT-GII	Ec107_like	6	3
RVT-GII	TypeIIA3_firmi	12	5
RVT-UG23	TypeIX	3	1
RVT-UG26	TypeIX	2	1
RVT-UG8	TypeIIA2	1	1
Retron	Ec107_like	36332	1940
Retron	TypeIB2	34985	290
Retron	TypeIIA3_firmi	2280	250
RVT-DGRs	TypeIIA2	9	5
RVT-GII	TypeXIIIB_Ne144	8	2
RVT-GII	TypeIX	4	3
RVT-UG10	TypeIV	3	1
Retron	TypeXIIIB_Ne144	4413	1499
Retron	TypeIX	887	219
MULTI	TypeIIA2	2	2
RVT-AbiP2	TypeIV	7	1
RVT-DGRs	TypeIX	6	2
RVT-GII	TypeIIA2	7	4
RVT-UG12	TypeIX	4	2
RVT-UG15	TypeIC1_IC2	2	1
RVT-UG2	TypeIIA3_firmi	2	1
RVT-UG3	TypeIIIA2	2	1
Retron	TypeIV	7817	285
Retron	TypeIB2_firmi	349	58
Retron	TypeIIA2	74	20
Retron	TypeXIII_Mx65	851	384
