detection_model	n_calls	n_above_1e5	pct_above_1e5
TypeIIIA1	1647	857.0	52.03
TypeIIIA2	3215	1261.0	39.22
TypeIIA2	93	31.0	33.33
TypeXIII_Mx65	851	236.0	27.73
TypeIB2_firmi	349	75.0	21.49
OutgroupA	10889	851.0	7.82
TypeIB1	4408	331.0	7.51
TypeXIIIA_firmi	4147	261.0	6.29
TypeXIIIC_Mx162	1020	55.0	5.39
TypeIIIA3	4946	230.0	4.65
TypeIX	918	38.0	4.14
TypeIV	7827	303.0	3.87
TypeIC1_IC2	61589	2144.0	3.48
TypeIIA3_proteo	2423	80.0	3.3
OutgroupB	2012	35.0	1.74
TypeXIIIB_Ne144	4421	70.0	1.58
Ec107_like	36340	568.0	1.56
TypeIIA3_firmi	2295	17.0	0.74
TypeV	9929	29.0	0.29
TypeIA_IIAI	149850	259.0	0.17
TypeIB2	34985	30.0	0.09
