domain	family_label	n_records	n_exact_rt	records_per_protein
Bacteria	RVT-UG17	39350	4634	8.49
Bacteria	RVT-UG1	7679	1693	4.54
Archaea	RVT-UG27	4	3	1.33
Bacteria	Retron	659200	76576	8.61
unassigned	RVT-G2L	31	16	1.94
Archaea	RVT-UG12	42	26	1.62
Bacteria	RVT-UG26	8043	3770	2.13
unassigned	RVT-G2Lc	34	25	1.36
Bacteria	RVT-UG20	610	329	1.85
Bacteria	RVT-UG28	4363	1129	3.86
Archaea	RVT-UG5	109	57	1.91
unassigned	RVT-UG7	133	99	1.34
unassigned	RVT-UG13	85	42	2.02
unassigned	RVT-AbiK	20	16	1.25
unassigned	RVT-UG22	14	11	1.27
unassigned	RVT-UG28b	74	48	1.54
Bacteria	RVT-UG19	2176	962	2.26
unassigned	RVT-G2Lb	2	2	1.0
Archaea	RVT-CRISPR	224	73	3.07
unassigned	RVT-UG14	70	49	1.43
Archaea	RVT-G2L4	2	2	1.0
Archaea	RVT-UG8	8	7	1.14
unassigned	RVT-AbiP2	319	212	1.5
Archaea	RVT-UG15	21	13	1.62
unassigned	RVT-UG21	11	8	1.38
Bacteria	RVT-UG25	536	204	2.63
unassigned	RVT-UG16	16	13	1.23
unassigned	RVT-UG3	251	169	1.49
Bacteria	RVT-CRISPR	9218	3811	2.42
unassigned	RVT-GII	10032	7217	1.39
Bacteria	RVT-UG15	15787	3407	4.63
unassigned	RVT-UG23	17	12	1.42
Bacteria	RVT-UG8	38467	7158	5.37
Bacteria	RVT-G2L4	3020	891	3.39
unassigned	RVT-UG4	129	88	1.47
unassigned	RVT-CRISPR-like	136	112	1.21
unassigned	RVT-UG9	64	39	1.64
unassigned	RVT-UG18	8	7	1.14
Archaea	RVT-UG25	8	6	1.33
unassigned	RVT-AbiA	1	1	1.0
unassigned	RVT-UG24	55	44	1.25
Bacteria	RVT-DGRs	219006	71607	3.06
Bacteria	RVT-UG11	75621	1265	59.78
Bacteria	RVT-UG2	45842	8241	5.56
unassigned	RVT-UG5	318	216	1.47
Bacteria	RVT-UG6	1054	311	3.39
Archaea	RVT-G2Lc	1	1	1.0
Archaea	RVT-G2L	2	1	2.0
Archaea	RVT-UG13	56	23	2.43
Archaea	RVT-UG28b	1	1	1.0
unassigned	RVT-UG12	130	83	1.57
Archaea	RVT-UG7	41	30	1.37
Archaea	RVT-G2Lb	2	2	1.0
Bacteria	RVT-UG10	2089	635	3.29
unassigned	RVT-UG27	144	53	2.72
Archaea	RVT-DGRs	4235	2683	1.58
Bacteria	RVT-G2L	38395	1979	19.4
Archaea	RVT-UG11	9	8	1.12
unassigned	RVT-UG1	48	41	1.17
Archaea	RVT-UG2	7	6	1.17
Bacteria	RVT-UG7	18301	3176	5.76
Bacteria	RVT-AbiK	9496	958	9.91
Archaea	RVT-UG6	4	4	1.0
Bacteria	RVT-G2Lc	1463	339	4.32
unassigned	RVT-UG17	138	99	1.39
unassigned	RVT-UG20	13	11	1.18
Bacteria	RVT-UG13	1870	879	2.13
unassigned	RVT-UG26	140	110	1.27
Bacteria	RVT-UG22	938	479	1.96
Bacteria	RVT-UG28b	1894	839	2.26
unassigned	RVT-UG19	44	40	1.1
unassigned	Retron	3580	2524	1.42
Bacteria	RVT-G2Lb	653	321	2.03
Archaea	RVT-UG10	5	4	1.25
unassigned	RVT-UG28	46	41	1.12
Bacteria	RVT-AbiP2	46963	6235	7.53
Archaea	RVT-GII	4628	2786	1.66
Bacteria	RVT-UG14	2449	848	2.89
Archaea	RVT-UG23	2	2	1.0
Bacteria	RVT-UG3	39734	5730	6.93
Archaea	RVT-CRISPR-like	98	67	1.46
Archaea	RVT-UG4	23	12	1.92
Archaea	RVT-UG9	6	4	1.5
Bacteria	RVT-UG16	2460	586	4.2
Archaea	RVT-UG18	3	2	1.5
Bacteria	RVT-UG21	349	172	2.03
unassigned	RVT-UG25	15	8	1.88
Bacteria	RVT-UG27	6277	1157	5.43
Bacteria	RVT-UG5	52468	6251	8.39
Archaea	Retron	528	326	1.62
Bacteria	RVT-UG12	6282	2200	2.86
Archaea	RVT-UG1	2	1	2.0
Archaea	RVT-UG26	224	128	1.75
unassigned	RVT-UG2	433	334	1.3
unassigned	RVT-UG6	32	20	1.6
Archaea	RVT-UG20	13	10	1.3
Archaea	RVT-UG28	4	4	1.0
unassigned	RVT-DGRs	4924	3448	1.43
Archaea	RVT-UG17	20	15	1.33
unassigned	RVT-UG11	41	32	1.28
Archaea	RVT-UG19	24	18	1.33
unassigned	RVT-UG10	17	15	1.13
Archaea	RVT-AbiP2	24	19	1.26
Bacteria	RVT-GII	1599240	249191	6.42
Archaea	RVT-UG14	6	6	1.0
unassigned	RVT-UG15	153	112	1.37
Bacteria	RVT-UG23	1394	685	2.04
Bacteria	RVT-UG4	32374	4624	7.0
Bacteria	RVT-CRISPR-like	6542	3019	2.17
unassigned	RVT-G2L4	33	28	1.18
Bacteria	RVT-UG24	3334	925	3.6
Bacteria	RVT-UG9	2430	643	3.78
Archaea	RVT-UG16	4	3	1.33
Archaea	RVT-UG3	7	7	1.0
unassigned	RVT-CRISPR	269	225	1.2
Bacteria	RVT-UG18	2116	290	7.3
Archaea	RVT-UG21	25	16	1.56
Bacteria	RVT-AbiA	45	11	4.09
unassigned	RVT-UG8	246	176	1.4
