table	pop_id
A4_locus_database_sets	RT-CTX
A4_multi_database_loci_by_population	LOC
F0_pair_view_basis	PAIR-ELIG;PAIR-CANON
K2_criterion_sensitivity	PAIR-CANON
L7_dataset_rule_cascade	PAIR-CANON
N1_cm_by_tool_set	PL-CANON
N1_tool_agreement_table	REC-DIST;RT-BASE-1F
N1_tool_sets	REC-DIST
N1_tool_sets_protein	RT-BASE-1F
N2_family_all	RT-BASE-1F;RT-SEQ
N5_geometry_retron_vs_not	PL-CANON
N5_overlap_profile	PL-CANON
N6_cm_confidence	PL-CANON
N6_cm_confidence_by_model	PL-CANON
N6_top_taxa	RT-SEQ
Z1_association_resource_tiers	PAIR-CANON
Z1_t3_partner_jitter	PAIR-CANON
Z1_t3_topology	PAIR-CANON
Z2_redundancy_by_domain	RT-SEQ
Z2_redundancy_by_domain_family	RT-SEQ
Z3_distinct_rt_within_species	RT-BASE-1F
Z3_singleton_diagnosis	RT-BASE-1F
Z3_singleton_sampling_context	RT-BASE-1F
Z4_outgroup_per_model	PL-CANON
Z4_outgroup_vs_rest	PL-CANON
Z5_filter_catalogue	PAIR-CANON
