asset_id	audit_scope	path	kind	sha256	bytes	mtime	producer	inputs	n_records	identity_group	identity_group_size	reuse_grade	reuse_decision	notes
V4:s2b_mestre_clade_monophyly	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/scripts/s2b_mestre_clade_monophyly.py	script	1c769c5453ca26108bb80076d15f7e859aa81f0f1276b822f5f06bca2cdb0550	4795	2026-08-19 15:25:54	-	MELISSA_DATA/supporting_material/{supp_material_systematic_prediction_paper.csv,Supplementary_mestre_Tree.nwk}	113 lines	G0435	1	REFERENCE	prior code: read for method, re-implement; never evidence	G16: 10/11 clades are splits on PUBLISHED tree; Clade 10 not. Writes tables/s2b_*.tsv
V4:s5b_E4a_rule_D_on_mestre	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/scripts/s5b_E4a_rule_D_on_mestre.py	script	2cf722fa83cfde735e8632db461eab571c3751367e152f8c8fd1055059fe118b	5987	2026-08-20 14:23:27	-	same supp csv + published nwk	120 lines	G0441	1	REFERENCE	prior code: read for method, re-implement; never evidence	G50/G56: Rule D surface on PUBLISHED tree (single support value per node). Writes tables/s5b_E4a_ruleD_surface.tsv
V4:s5e_E4b_ruleD_on_our_trees	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/scripts/s5e_E4b_ruleD_on_our_trees.py	script	c7cf24c2c68fc5ff01c3f6f67599edbb3063dcaa55102c1261db291f2a68b4dd	5433	2026-08-20 15:05:20	-	cache/E1/*.nwk (27 FastTree frames of OUR corpus, not Mestre seqs)	113 lines	G0451	1	REFERENCE	prior code: read for method, re-implement; never evidence	G54: Rule D on OUR trees + rarefaction to 1928; not a Mestre re-inference
V4:s7h_mestre_frames	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/scripts/s7h_mestre_frames.py	script	fb8ba77544183594d0c8da086938a20b976adf0b92e439497710d126ce54c12c	2879	2026-08-22 14:41:36	-	cache/mestre_trees/*.treefile	63 lines	G0453	1	REFERENCE	prior code: read for method, re-implement; never evidence	PRINT-ONLY (no table). Resolution % and pairwise RF (raw and collapsed UFBoot<95). mtime precedes 4 of 6 trees; re-run by agent_v4 reproduces all printed values
V4:s7i_clade_support	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/scripts/s7i_clade_support.py	script	dc9b83074aab678a86690693fa465de64ba5c880115dd040a680b6e8a2ca47de	3241	2026-08-23 10:18:09	-	cache/mestre_trees/*.treefile; ../rt0_rt7_domain_test/cache/mestre_from_V3/mestre_1926_proteins.faa; ../rt0_rt7_domain_test/cache/mestre_usable_index.tsv	71 lines	G0454	1	REFERENCE	prior code: read for method, re-implement; never evidence	PRINT-ONLY. Clade recovery = ete3 get_common_ancestor on IQ-TREE arbitrary root (ROOT-DEPENDENT); purity>=0.90 & UFBoot>=95 & SH-aLRT>=80. Re-run reproduces 3/1/1/1/1/2 of 11
V4:s8b_mestre_clade_structure	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/scripts/s8b_mestre_clade_structure.py	script	7c3ccf9cba1143223b0a748e2041465e063319cc97b22aa5931fe8c08d696a7e	3879	2026-08-24 01:58:48	-	cache/fs_mestre/ava.tsv; cache/fold/mestre/*.pdb; mestre_1926_proteins.faa; mestre_usable_index.tsv	78 lines	G0455	1	REFERENCE	prior code: read for method, re-implement; never evidence	G89 structural silhouette of published clades. Writes tables/s8b_mestre_clade_structure.tsv
V4:mestre_ours_faa	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_ours.faa	fasta	571bf698b3556c2f5a9c8e44bfc01ba851d30334581d12474acc899178802c29	610787	2026-08-21 15:33:09	UNKNOWN (no script writes it; all four frame files share mtime to the ms -> one ad-hoc inline run)	../rt0_rt7_domain_test/cache/mestre_from_V3/mestre_1926_proteins.faa (inferred)	1843 seqs	G0334	1	RED	as reference: contains the rescued substitutes; producer/params partial	window -220..+120 anchor-relative spans, 1843 [YFWH].DD carriers, headers terminal_N; unaligned. Input to ours/fftnsi/linsi (inferred: same frame)
V4:mestre_toro_faa	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_toro.faa	fasta	f65e2c6f57c4ec0d685d41e311c63e04d6ce60e8dc4393826de7a8d87de55723	481063	2026-08-21 15:33:09	UNKNOWN (no script writes it; all four frame files share mtime to the ms -> one ad-hoc inline run)	../rt0_rt7_domain_test/cache/mestre_from_V3/mestre_1926_proteins.faa (inferred)	1843 seqs	G0347	1	RED	as reference: contains the rescued substitutes; producer/params partial	window -197..+57, 1843 seqs, unaligned
V4:mestre_wide_faa	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_wide.faa	fasta	0b92812804cd697ab7024bc573fc4920d5834c4d6d77f2a4c8fa9476b58ea194	665784	2026-08-21 15:33:09	UNKNOWN (no script writes it; all four frame files share mtime to the ms -> one ad-hoc inline run)	../rt0_rt7_domain_test/cache/mestre_from_V3/mestre_1926_proteins.faa (inferred)	1843 seqs	G0350	1	RED	as reference: contains the rescued substitutes; producer/params partial	window -260..+160, 1843 seqs, unaligned
V4:mestre_narrow_faa	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_narrow.faa	fasta	e4168852a5019d528a43cbaf2ff3891b249b814cae145d68bf683ca4fd0ae35a	448809	2026-08-21 15:33:09	UNKNOWN (no script writes it; all four frame files share mtime to the ms -> one ad-hoc inline run)	../rt0_rt7_domain_test/cache/mestre_from_V3/mestre_1926_proteins.faa (inferred)	1843 seqs	G0332	1	RED	as reference: contains the rescued substitutes; producer/params partial	window -150..+80, 1843 seqs, unaligned
