ibex_root	area	identity	relevance	n_files	bytes
Mestre_replication	(top)	COPY_ON_BORG	-	5	31718
Mestre_replication	(top)	COPY_ON_BORG	RT0_RT7_EXTRACTION_LOGIC_CANDIDATE	1	4451
Mestre_replication	(top)	IBEX_ONLY	-	1	4659
Mestre_replication	genomes/terminal_*	COPY_ON_BORG	-	3852	2827241267
Mestre_replication	genomes/terminal_*	IBEX_ONLY	-	1924	9766814486
Mestre_replication	hmm	EMPTY_FILE	-	1	0
Mestre_replication	hmm	IBEX_ONLY	-	11	494521128
Mestre_replication	logs	IBEX_ONLY	-	40	176081
Mestre_replication	realpipe	COPY_ON_BORG	-	1	251511
Mestre_replication	realpipe	IBEX_ONLY	-	1	7251
Mestre_replication	realpipe/attempt1_failed_env	COPY_ON_BORG	-	1388	1149062
Mestre_replication	realpipe/attempt1_failed_env	IBEX_ONLY	-	2466	1172338
Mestre_replication	realpipe/attempt1_failed_env	IBEX_ONLY	RT0_RT7_EXTRACTION_LOGIC_CANDIDATE	1925	4678000
Mestre_replication	realpipe/logs	EMPTY_FILE	-	20	0
Mestre_replication	realpipe/logs	IBEX_ONLY	-	20	5320
Mestre_replication	realpipe/results	COPY_ON_BORG	-	27916	7634747753
Mestre_replication	realpipe/results	EMPTY_FILE	-	2551	0
Mestre_replication	realpipe/results	IBEX_ONLY	-	47921	45947325830
Mestre_replication	realpipe/results	IBEX_ONLY	RT0_RT7_EXTRACTION_LOGIC_CANDIDATE	1925	11077338
Mestre_replication	realpipe/results	IBEX_ONLY	TREE_REINFERENCE_INPUT_CANDIDATE	101	8116619
Mestre_replication	relaxed_cm	COPY_ON_BORG	-	11	177657
Mestre_replication	relaxed_cm	EMPTY_FILE	-	8	0
Mestre_replication	relaxed_cm	IBEX_ONLY	-	1939	2543738
Mestre_replication	results	COPY_ON_BORG	-	4670	4398431276
Mestre_replication	results	EMPTY_FILE	-	5797	0
Mestre_replication	results	IBEX_ONLY	-	24206	16739536846
rt0_rt7_domain_test_v4_and_tree	(top)	IBEX_ONLY	-	1	620
rt0_rt7_domain_test_v4_and_tree	c90	COPY_ON_BORG	-	5	3294418
rt0_rt7_domain_test_v4_and_tree	c90	COPY_ON_BORG	TREE_REINFERENCE_INPUT_CANDIDATE	10	6348017
rt0_rt7_domain_test_v4_and_tree	c90	IBEX_ONLY	-	45	837795020
