gid	rt_class	split	real	ctrl
02744525a93a1c91	Retron	DEV	True	False
032d2a34f24a5863	Retron	HELDOUT	True	False
039364c73e6edb3d	Retron	HELDOUT	True	False
044abc71151a2639	Retron	HELDOUT	True	False
05921466b26a20a6	Retron	HELDOUT	True	False
0594c9347ae55db3	Retron	HELDOUT	False	False
0943928814da3b07	Retron	HELDOUT	False	False
09c19c449b3724b5	Retron	DEV	True	False
09ea76dd9b8fdd4d	Retron	HELDOUT	True	False
0a04ed3a68339417	Retron	DEV	True	False
0a5f202fd45814bb	Retron	DEV	False	False
0aa6b2246c2a9bf6	Retron	DEV	True	False
0defd6652dd7bd7e	Retron	HELDOUT	True	False
0efb463136764449	Retron	DEV	False	False
1098fca26d1a3524	Retron	HELDOUT	True	False
10e640a14b669f34	Retron	DEV	True	False
125ed024481686be	Retron	DEV	True	False
15d428ec4ae35cc5	Retron	HELDOUT	True	False
17efd3f7185ae028	Retron	HELDOUT	True	False
186dceba21899f7b	Retron	DEV	True	False
19819d72c63b67a5	Retron	DEV	True	False
19f104611bfbc3cb	Retron	DEV	True	False
1a20d44d94436c19	Retron	HELDOUT	True	False
1c6ec0690edafe82	Retron	DEV	True	False
1c6f584d09f0a5e6	Retron	HELDOUT	True	False
1d3c51de2216fd8c	Retron	HELDOUT	True	False
1d5778fb61beb2af	Retron	DEV	True	False
1e100cc1024ef7a6	Retron	HELDOUT	True	False
1f69a766a0ac3c62	Retron	DEV	True	False
2046942939648498	Retron	DEV	True	False
24c1a8882e1032d4	Retron	DEV	False	False
252d3ea9cf1c984b	Retron	DEV	True	False
2613b4c80ec96f07	Retron	HELDOUT	True	False
2787e085ffc7a35c	Retron	HELDOUT	True	False
290c9fea04d686e3	Retron	DEV	True	False
29c9146923c64dba	Retron	HELDOUT	True	False
30baca29e8cc1177	Retron	HELDOUT	False	False
3124a83eed341d73	Retron	DEV	True	False
318794bae28ca946	Retron	HELDOUT	True	False
318981fcc560bcd4	Retron	DEV	True	False
318e3e73c910f004	Retron	DEV	True	False
34eef4ff57673988	Retron	DEV	True	False
35e8a719e7fd949b	Retron	DEV	True	False
360ec6a133f0565c	Retron	HELDOUT	True	False
36ce49776369d77d	Retron	HELDOUT	True	False
