gid	removed_rt70	removed_members	remaining	note
044abc71151a2639	f8d9b13c2e662fd3d99c5446494c7e3ac5dbf5108198c46b48d63f2c205b238c	2	10	
0594c9347ae55db3	0b6415d4907c575cf8ef1a4a0984b9469e216a25d62ea9f291017b159fef1e35	4	16	
0943928814da3b07	164e63a1e9dff80f99cad6aeb2fe77cb8b3fcee9cd1357956c1421fa2f6850c9	2	12	
1098fca26d1a3524	784c6c98dae361a22caae5034d35b9d94b249c3ac6a81682b3afe6d29a896e45	2	18	
15d428ec4ae35cc5	1f4487ec9fd5fd675d0b740dd14701aff4e91fad7aafdbbef4301c2129c7df51	4	10	
17efd3f7185ae028	c428a8418968f25daead90fe5c2233beea22dce4c1860a58e583f3a5eec47ca6	4	16	
1a20d44d94436c19	012c6b1a7ba5461103a8126cdba1a0eb64af2fa25413c655cc38a4e1bf4a1ba6	6	14	
1c6f584d09f0a5e6	3f2185b950296d7fe83e66b1c522f2f539232b20dded2a45eec99d700f42a262	6	14	
1d3c51de2216fd8c	5c14c1f1e060b11b173d8284b2f40b26e2f3218a904791352f55f0ba2a4ae86a	11	9	
1e100cc1024ef7a6	7a49b62d3b4c5e3fac8584cce8a6df7d9b8ab7344375b9ca2d4341cd37c89be7	2	18	
2787e085ffc7a35c	f59200408f8d4ac9fa8f07ac5632ffa7d5057c71800267ff533b2a723a57c56b	10	2	
29c9146923c64dba	b4c0d7173c10d92cf2a82a1c517f80f1a5e1da7e1f0f7ea077bdc68a68f582d6	6	14	
318794bae28ca946	6272201afe0d9905ed63b9af96a2b32438a80e0b5dfa96e84660c955c713e590	13	7	
360ec6a133f0565c	5affe13624bfef0a15301af51e602db1bc2a21c9f87dffcb4acd5d0ffdd5fc64	5	15	
36ce49776369d77d	757e48901a11ffde422718c74eec06302785bbad24f71cc164de9bbf33d69d06	4	15	
38ccf250c6f24823	33ee14fdfa8898499ac2ca0c344460aba0ef4089958eb76498684409323c8826	7	13	
3ac2a7ca4319417d	5c14c1f1e060b11b173d8284b2f40b26e2f3218a904791352f55f0ba2a4ae86a	3	17	
4313805906ad350a	0814ad7e8dba64fd1390fc9ef49cddc0d71398962a8900b50fc602feb564044b	8	12	
487b72945afee676	29c032497f7d8a4feca896d141b1b72791e85fefc78b2c099a281e537da721d1	2	11	
4c8f84f239bf0fb9	09f2da0160a4192ae96e60aa9a780d36d38dd93969de4f7a2c9cb18d3e7c3dfb	3	17	
4e10d035a059f567	0c1014c1d511c2cc6e1c7860f3b7a4c8873c2441d29d8e67002e34c6168f4ca4	3	17	
63afe61bbedc1226	2e6485178cbfb176b933050e5ba7af520e5ba89ca7075837ae90d90d00356936	6	14	
69785952089c79b4	302001c9fb7d247f180370c9e1a7c579f67bc222528ff164cbad4271dd2a9d21	10	10	
7cbd1dbfc01a08c1	8379ed31a50eb6c856d76397355a554dc5a4422497617f79310b9c692a12da1b	9	11	
80a6eef4a418e603	1798b701d5bb7f18eb70916449dfadc44aad7c18eeb51e219d6094515ebabcba	7	13	
adb6d3fbda9369bf	057865a01145d2ee8389fb6666c75afe881dd9b44cf113a60c5e8dc0604596fa	10	5	
b0ff681bfbf1325f	a0fc578f4f4bf7286bcb02ef16a751f9e36c075d27cb3174ae2cfeec3e6236e9	8	12	
b8bcb02df3aa74b6	9648516af5c582a371466ea063cc6d4a1816b55cd1a928fefc54e4847808c783	3	17	
beddec72832b1b49	d13f4cc03616ccbb7d588d5bfdfd062bf168278c5c0a1c29103a61e0eb9221d1	8	11	
c27cae419d4a7109	baae55895ab9a8a2a05c22760084b268bf5e87f8581a42b3383488e9147c3caf	3	14	
c5cffdb5a405570f	566cf01f0a5e38772040e41a73a718818f1758522236185b80d76cbf413a352f	6	14	
cbc974f32f255051	00c28492344c70bae901bd5ce13815dd413268d6caef70389ceae1e04f5bcea7	8	12	
d23118e6dedf1b94		0	15	NOT_APPLICABLE
e0471f3ef2ba301b	002e1d5b6bcde1ce66e4dd57afbef25ec43e1d9c863f137798a75341e9704fcd	2	11	
e8231df5fbcc062f	fc6c0bdf9397459de7d3486df69f680ef585aeb9f9f95c65108c02d1c15ec8e6	10	10	
eb2dd39a80d1a3c2	bad6499053dffec95856bb0f912acc92e66c5613c7300619cf54fcfa02c5b875	3	17	
edf2cb5ceb162a6e	938f200d07e6637942243c827137d83ea47ca3eda25d4ebf0d4c696b21d4e409	4	16	
f2b7405045d629f5	7bd69d8c42843d90b4bfbb14001d2acc7242bbd5d983f458fea393c97c9b5e02	2	10	
f3fb4c37a2cb86db	f3fb4c37a2cb86db1e3cbd7f7d5f3245a22f0597e0b130b59d66abec6d472ee3	10	10	
fcc32fc7cc5e7a2b	cc6dcd3f993e11caf4a695793b2ce702b1416fb78bf6df78a313b6b90c862412	3	9	
