rt50	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	type_labels	type_label_modal	cm_models	matched_local	matched_t1	unmatched_adequate	unmatched_limited	unusable	rt90_pos_pool	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	rt90_unmatched_any	padloc_xii_loci	any_matched	POS_FEASIBLE	MIXED	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
beddec72832b1b49afccc725b5e2fe21649d923b78e4040230954e6552ba1298	127764	673	87	1468.6	127704	172	50	4	ncbi_bacteria|mgnify_human_gut|gem|gtdb_bacteria|mgnify_marine	I-A|UNLABELLED|II-A	II-A	TypeIA_IIAI	207	107625	4451	15481	0	19	19	4	0	4	0.0	True	True	True	False	False
c5cffdb5a405570fb9d3060ce135e5a37179018e509e4d1e2cd1d78563c716fa	35062	911	27	1298.6	35040	88	25	5	gem|mgnify_marine|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	I-C	I-C	TypeIC1_IC2	34183	110	120	649	0	22	0	0	5	5	0.0	True	True	False	False	False
5390de52cea666511ed2f80ce272bc65ec7a20f8d425699d99aeb1f28ba22e35	28681	353	9	3186.8	28674	62	21	4	gem|mgnify_marine|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	V|I-B|III-A|UNLABELLED|VII-A2	I-B	TypeIB2	28337	14	16	314	0	6	6	2	0	3	0.0	True	True	False	False	False
7e3a48ff560fc80420cffefe7fed148c5d1665bea1deeea5548d04076226bcad	27160	291	19	1429.5	27160	102	26	3	ncbi_bacteria|gem|mgnify_human_gut|mgnify_marine|gtdb_bacteria	II-A|UNLABELLED|VII-A2	II-A		0	0	24389	2771	0	0	0	19	0	19	0.0	False	False	False	True	False
921ecb91f68695fa7289c2372b2f39b15347ba9a8ce3f698962ab3ec9fdfc24e	24720	252	3	8240.0	24719	4	3	3	ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	III-A|UNLABELLED	III-A		0	0	23115	1605	0	0	0	2	0	2	0.0	False	False	False	False	False
5d88c9944f9aaf6d68609f89dcee9ca8eaca074b8121fee52244c952c0c898d2	20379	246	10	2037.9	20365	36	11	3	ncbi_bacteria|mgnify_marine|gem|mgnify_human_gut|gtdb_bacteria	UNLABELLED	UNLABELLED	Ec107_like	20360	2	7	10	0	0	0	0	0	2	0.0	True	False	False	False	False
1ea0b9850cea381dc99b95f1b88eaa40195a49376530517cf446569e3437c332	19338	190	12	1611.5	19297	108	23	3	ncbi_bacteria|mgnify_marine|gem|mgnify_human_gut|gtdb_bacteria	UNLABELLED|V|I-B	UNLABELLED		0	0	19157	181	0	0	0	2	0	11	0.0	False	False	False	False	False
0a7f99aed76046c7f6cd28d6fbc6da0445abd46227bf47c28aee5de69195b3d7	16277	341	45	361.7	16242	172	38	4	ncbi_bacteria|mgnify_human_gut|gem|gtdb_bacteria|mgnify_marine	I-A|UNLABELLED|VI	VI		0	0	15803	474	0	0	0	41	0	43	0.0	False	False	False	True	False
1e100cc1024ef7a68fabde5495a53d62dfbb8052a699aba8989220560d6c7e93	9837	944	250	39.3	9804	553	235	14	gtdb_bacteria|mgnify_human_gut|gem|mgnify_soil|ncbi_bacteria|mgnify_marine	I-C	I-C	TypeIC1_IC2	9694	21	61	61	0	227	0	0	22	22	5.0	True	True	False	False	False
1b5253aeb2a39fc03a7752a738d511bf63b7702b1d558015803c10e686581c4f	9387	172	12	782.3	8383	67	18	3	gtdb_bacteria|mgnify_human_gut|gem|ncbi_bacteria	XII	XII		0	0	9056	331	0	0	0	0	10	10	9306.0	False	False	False	False	True
31aaacca9f84d6da8e578bbc74443c20464d4926dcf74d129d362598e588cb20	9353	32	2	4676.5	9350	2	1	3	ncbi_bacteria|mgnify_human_gut|gtdb_bacteria	UNLABELLED|I-A	I-A	TypeIA_IIAI	7956	0	6	1391	0	2	2	2	0	2	0.0	True	False	False	False	False
