rt50	type_label_modal	type_labels	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	matched_local	matched_t1	unmatched_adequate	unmatched_limited	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	cm_models	padloc_xii_loci	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
e18044f9c9044371095d61bf16651a56e262c09ed498b5347148599eb4ee7826	XI	XI	655	199	127	5.2	636	238	92	3	gtdb_bacteria|mgnify_marine|gem|ncbi_bacteria	0	0	612	43	0	0	119		0.0	False	True
8e9b78e8eba3626351c64b59599cf266f2f56b396c62cdfac5254d767d5722d1	XII	XII|I-C	308	183	123	2.5	305	165	82	4	gtdb_bacteria|gem|gtdb_archaea|ncbi_bacteria|mgnify_marine	0	0	284	24	0	0	111		0.0	False	True
6695a2b7fb9f69aa30a7124c7c5205ac2a6dea947acb7a156c2c25606c489949	VI	UNLABELLED|VII-A2|VI|I-A	1660	265	101	16.4	1653	341	128	5	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|mgnify_marine|gem	0	0	1627	33	0	84	0		0.0	True	False
ab416c0db5c0f5eac3385952bf112e9e85ec5f24f9ce26ea73fe34f2c558015e	XI	XII|XI	350	160	86	4.1	348	161	77	2	gtdb_bacteria|mgnify_marine|mgnify_soil|gem|ncbi_bacteria	0	0	340	10	0	1	83		0.0	False	True
d39a05033c3aa809e23e5b6facedadf14e2297a5efceb3e1cc3301f2228ba436	XII	XII	130	115	89	1.5	130	43	28	2	mgnify_marine|gem|gtdb_bacteria|ncbi_bacteria|mgnify_soil	0	0	118	12	0	0	83		120.0	False	True
ec700235e2112a48e2a3de56139dc93f953accd651ef60976b2a105b9dc94faf	VI	VI|UNLABELLED	192	117	84	2.3	192	127	66	4	ncbi_bacteria|mgnify_soil|gem|mgnify_marine|gtdb_bacteria	0	0	181	11	0	78	0		0.0	True	False
02d4ae415ab0d02fbedd00bed01113042097968ba4cb4d98414b3884c88544c3	I-C	UNLABELLED|XII|I-C|III-A	154	120	82	1.9	152	76	39	2	mgnify_marine|ncbi_bacteria|gem|gtdb_archaea|gtdb_bacteria	0	0	137	17	0	1	75		0.0	False	True
462b4a4f2d3dc828ef10920fcf3c3c2cacd5bf005dfb16c7d65e536bef3b5a16	III-A	I-A|UNLABELLED|VII-A2|III-A	1720	179	75	22.9	1543	194	87	10	mgnify_soil|ncbi_bacteria|mgnify_marine|gtdb_bacteria|gem|mgnify_human_gut	0	0	1563	157	0	69	0		0.0	True	False
262ec2eede8f9277c16af0c838edd924c7291bcd6286faf676fab53b3b1f1705	VI	UNLABELLED|VI	129	81	68	1.9	129	74	52	2	gtdb_bacteria|mgnify_soil|ncbi_bacteria|mgnify_marine|gem	0	0	126	3	0	56	0		0.0	True	False
670b4987d15dec4c44c9c52c21fe219773f4cedaf10b31d3fa343123ca58a37d	XII	I-C|UNLABELLED|XII	352	185	72	4.9	349	109	29	2	ncbi_bacteria|mgnify_human_gut|gem|gtdb_bacteria	0	0	324	28	0	0	61		0.0	False	True
22c44794523549884e06bf7e006faae9696353fe15bea49578004ea616053619	UNLABELLED	UNLABELLED|VII-A2|III-A|I-A	679	183	63	10.8	675	183	14	2	gtdb_bacteria|mgnify_marine|gem|ncbi_bacteria|mgnify_soil	0	0	663	16	0	8	0		0.0	True	False
64fb12821436f493498676e17e9671db42b37e385fed6eeadd4b9158e396ce46	VI	UNLABELLED|VII-A2|VI	562	166	65	8.6	561	223	114	7	gtdb_bacteria|mgnify_human_gut|gem|ncbi_bacteria	0	0	513	49	0	59	0		0.0	True	False
