set_id	cohort	rt50	n_members	n_matched	n_unmatched	type_label	n_genera	n_phyla	group_loci	group_exact_rt	group_rt90	group_cm_models	note
POS_01_IX	POS_BLIND	ae85f7d186c5e2868ca85b675c0f36eb32c3ccd1c60a63b4af8e05fd4946cef1	14	14.0	0.0	IX	11.0	2.0	332.0	42.0	17.0	TypeIX	dominant CM TypeIX
POS_02_I-B	POS_BLIND	622c10b6364c4c9f2d6e2a4a9e0bfaf89b928ca8413d132d68880c8439a6a161	12	12.0	0.0	I-B	4.0	2.0	238.0	32.0	12.0	TypeIB2	dominant CM TypeIB2
POS_03_III-A	POS_BLIND	24c1a8882e1032d45cd77c7d2ebf9d6f68aac267d0ffb43de83979431a96bde1	8	8.0	0.0	III-A	7.0	2.0	56.0	30.0	21.0	TypeIIIA3	dominant CM TypeIIIA3
POS_04_I-C	POS_BLIND	e23501aa84029925a7dda2e14a425ce00533f377bddc601a3f9b5af7fabbd646	7	7.0	0.0	I-C	3.0	2.0	13.0	8.0	7.0	TypeIC1_IC2	dominant CM TypeIC1_IC2
POS_05_II-A	POS_BLIND	dba5847d3fe58cdb4276cd3fd47426abb31e0c042c9aa6f841623bb4da54a2bf	16	16.0	0.0	II-A	14.0	4.0	405.0	133.0	41.0	TypeIIA3_firmi	dominant CM TypeIIA3_firmi
POS_06_XIII	POS_BLIND	89ee0d022c299562ccf512e97bf9815966ebcf2987c8bb12f5b2154ccaf38205	8	8.0	0.0	XIII	7.0	2.0	26.0	18.0	11.0	TypeXIIIB_Ne144	dominant CM TypeXIIIB_Ne144
POS_07_IV	POS_BLIND	318e3e73c910f004012d1d2643bd3a1daf4fc765c8ba81f007bc418192263731	7	7.0	0.0	IV	4.0	2.0	16.0	9.0	8.0	TypeIV	dominant CM TypeIV
POS_08_I-A	POS_BLIND	186dceba21899f7bc677c3b507f221a405d0ab8db7f6776d4b51d968e2bc7fbf	16	16.0	0.0	I-A	11.0	2.0	4462.0	263.0	40.0	TypeIA_IIAI	dominant CM TypeIA_IIAI
POS_09_V	POS_BLIND	8120394c21a5bcc7127f6486b8a7b6d11b8210ede17f590a961df25141c17fd5	16	16.0	0.0	V	6.0	2.0	958.0	74.0	27.0	TypeV	dominant CM TypeV
POS_10_I-B	POS_BLIND	b7ba199a0ca2439591123c983106bef45cbd0c748797052f30c527143e94b01d	16	16.0	0.0	I-B	12.0	2.0	378.0	57.0	17.0	TypeIB1	dominant CM TypeIB1
MIX_01_UNLABELLED	MIXED	5b0aa8588cbc7388e9546be008c26978c2a760c246b006634ef8b0713ff737ad	14	8.0	6.0	III-A	11.0	2.0	354.0	187.0	96.0	TypeIIIA1	
MIX_02_IX	MIXED	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	16	8.0	8.0	IX	13.0	2.0	176.0	50.0	22.0	TypeIX	
MIX_03_I-A	MIXED	186dceba21899f7bc677c3b507f221a405d0ab8db7f6776d4b51d968e2bc7fbf	11	8.0	3.0	I-A	7.0	2.0	4462.0	263.0	40.0	TypeIA_IIAI	
