level	arm	n	region	boundary	facet
I-A	A_SPIRE	26	0.7692307692307693	0.0	type_label
I-A	B_SEQ_CACOFOLD	26	0.5769230769230769	0.0	type_label
I-A	B_STRUCT_CACOFOLD	26	0.7692307692307693	0.0	type_label
I-A	P0_POSITIONAL_BASELINE	26	1.0	0.11538461538461539	type_label
I-B	A_SPIRE	41	0.8536585365853658	0.0	type_label
I-B	B_SEQ_CACOFOLD	41	0.0	0.0	type_label
I-B	B_STRUCT_CACOFOLD	41	0.8536585365853658	0.0	type_label
I-B	P0_POSITIONAL_BASELINE	41	0.8780487804878049	0.07317073170731707	type_label
I-C	A_SPIRE	21	0.23809523809523808	0.0	type_label
I-C	B_SEQ_CACOFOLD	21	0.0	0.0	type_label
I-C	B_STRUCT_CACOFOLD	21	0.23809523809523808	0.0	type_label
I-C	P0_POSITIONAL_BASELINE	21	1.0	0.6666666666666666	type_label
II-A	A_SPIRE	28	1.0	0.0	type_label
II-A	B_SEQ_CACOFOLD	28	0.0	0.0	type_label
II-A	B_STRUCT_CACOFOLD	28	1.0	0.0	type_label
II-A	P0_POSITIONAL_BASELINE	28	1.0	0.0	type_label
III-A	A_SPIRE	40	0.275	0.0	type_label
III-A	B_SEQ_CACOFOLD	40	0.475	0.0	type_label
III-A	B_STRUCT_CACOFOLD	40	0.275	0.0	type_label
III-A	P0_POSITIONAL_BASELINE	40	0.975	0.125	type_label
IV	A_SPIRE	52	0.8653846153846154	0.0	type_label
IV	B_SEQ_CACOFOLD	52	0.7692307692307693	0.7307692307692307	type_label
IV	B_STRUCT_CACOFOLD	52	0.8653846153846154	0.0	type_label
IV	P0_POSITIONAL_BASELINE	52	0.9807692307692307	0.0	type_label
IX	A_SPIRE	17	0.11764705882352941	0.0	type_label
IX	B_SEQ_CACOFOLD	17	0.0	0.0	type_label
IX	B_STRUCT_CACOFOLD	17	0.11764705882352941	0.0	type_label
IX	P0_POSITIONAL_BASELINE	17	0.8235294117647058	0.17647058823529413	type_label
V	A_SPIRE	70	0.7285714285714285	0.0	type_label
V	B_SEQ_CACOFOLD	70	0.0	0.0	type_label
V	B_STRUCT_CACOFOLD	70	0.7285714285714285	0.0	type_label
V	P0_POSITIONAL_BASELINE	70	1.0	0.0	type_label
VII-A2	A_SPIRE	1	1.0	1.0	type_label
VII-A2	B_SEQ_CACOFOLD	1	1.0	1.0	type_label
VII-A2	B_STRUCT_CACOFOLD	1	1.0	1.0	type_label
VII-A2	P0_POSITIONAL_BASELINE	1	1.0	0.0	type_label
XIII	A_SPIRE	81	1.0	0.8024691358024691	type_label
XIII	B_SEQ_CACOFOLD	81	1.0	0.024691358024691357	type_label
XIII	B_STRUCT_CACOFOLD	81	1.0	0.8024691358024691	type_label
XIII	P0_POSITIONAL_BASELINE	81	0.9876543209876543	0.0	type_label
≤100	A_SPIRE	52	0.8653846153846154	0.0	len_bin
≤100	B_SEQ_CACOFOLD	52	0.7692307692307693	0.7307692307692307	len_bin
≤100	B_STRUCT_CACOFOLD	52	0.8653846153846154	0.0	len_bin
≤100	P0_POSITIONAL_BASELINE	52	0.9807692307692307	0.0	len_bin
101–150	A_SPIRE	86	0.5930232558139535	0.0	len_bin
101–150	B_SEQ_CACOFOLD	86	0.12790697674418605	0.0	len_bin
101–150	B_STRUCT_CACOFOLD	86	0.5930232558139535	0.0	len_bin
101–150	P0_POSITIONAL_BASELINE	86	0.9069767441860465	0.313953488372093	len_bin
151–200	A_SPIRE	116	0.7586206896551724	0.017241379310344827	len_bin
151–200	B_SEQ_CACOFOLD	116	0.09482758620689655	0.0	len_bin
151–200	B_STRUCT_CACOFOLD	116	0.7586206896551724	0.017241379310344827	len_bin
151–200	P0_POSITIONAL_BASELINE	116	0.9913793103448276	0.008620689655172414	len_bin
>200	A_SPIRE	123	0.7723577235772358	0.5203252032520326	len_bin
>200	B_SEQ_CACOFOLD	123	0.7642276422764228	0.024390243902439025	len_bin
>200	B_STRUCT_CACOFOLD	123	0.7723577235772358	0.5203252032520326	len_bin
>200	P0_POSITIONAL_BASELINE	123	0.991869918699187	0.0	len_bin
0–20	A_SPIRE	137	0.6058394160583942	0.15328467153284672	dist_bin
0–20	B_SEQ_CACOFOLD	137	0.41605839416058393	0.11678832116788321	dist_bin
0–20	B_STRUCT_CACOFOLD	137	0.6058394160583942	0.15328467153284672	dist_bin
0–20	P0_POSITIONAL_BASELINE	137	0.9781021897810219	0.058394160583941604	dist_bin
21–60	A_SPIRE	115	0.808695652173913	0.3391304347826087	dist_bin
21–60	B_SEQ_CACOFOLD	115	0.6347826086956522	0.16521739130434782	dist_bin
21–60	B_STRUCT_CACOFOLD	115	0.808695652173913	0.3391304347826087	dist_bin
21–60	P0_POSITIONAL_BASELINE	115	1.0	0.17391304347826086	dist_bin
61–120	A_SPIRE	38	0.9210526315789473	0.15789473684210525	dist_bin
61–120	B_SEQ_CACOFOLD	38	0.5	0.10526315789473684	dist_bin
61–120	B_STRUCT_CACOFOLD	38	0.9210526315789473	0.15789473684210525	dist_bin
61–120	P0_POSITIONAL_BASELINE	38	1.0	0.0	dist_bin
>120	A_SPIRE	87	0.7816091954022989	0.0	dist_bin
>120	B_SEQ_CACOFOLD	87	0.08045977011494253	0.022988505747126436	dist_bin
>120	B_STRUCT_CACOFOLD	87	0.7816091954022989	0.0	dist_bin
>120	P0_POSITIONAL_BASELINE	87	0.9080459770114943	0.0	dist_bin
