cohort	arm	n_sets	primary	sens	low_power
CTRL_DISTAL	A_SPIRE	24	0.20833333333333334	0.875	0.0
CTRL_DISTAL	B_SEQ_CACOFOLD	24	0.041666666666666664	0.08333333333333333	0.041666666666666664
CTRL_DISTAL	B_STRUCT_CACOFOLD	24	0.125	0.875	0.041666666666666664
CTRL_GII_HARD	A_SPIRE	3	0.0	1.0	0.0
CTRL_GII_HARD	B_SEQ_CACOFOLD	3	0.3333333333333333	0.3333333333333333	0.0
CTRL_GII_HARD	B_STRUCT_CACOFOLD	3	0.0	1.0	0.0
CTRL_INTRAGENIC	A_SPIRE	26	0.0	0.46153846153846156	0.15384615384615385
CTRL_INTRAGENIC	B_SEQ_CACOFOLD	26	0.07692307692307693	0.19230769230769232	0.11538461538461539
CTRL_INTRAGENIC	B_STRUCT_CACOFOLD	26	0.11538461538461539	0.46153846153846156	0.23076923076923078
CTRL_NONRETRON	A_SPIRE	4	0.5	0.75	0.25
CTRL_NONRETRON	B_SEQ_CACOFOLD	4	0.0	0.0	0.0
CTRL_NONRETRON	B_STRUCT_CACOFOLD	4	0.75	0.75	0.25
PIL	A_SPIRE	20	0.2	0.65	0.2
PIL	B_SEQ_CACOFOLD	20	0.1	0.15	0.15
PIL	B_STRUCT_CACOFOLD	20	0.2	0.65	0.2
POS	A_SPIRE	27	0.14814814814814814	0.7407407407407407	0.07407407407407407
POS	B_SEQ_CACOFOLD	27	0.037037037037037035	0.3333333333333333	0.07407407407407407
POS	B_STRUCT_CACOFOLD	27	0.2962962962962963	0.7407407407407407	0.1111111111111111
POS_S5	A_SPIRE	2	0.0	1.0	0.5
POS_S5	B_SEQ_CACOFOLD	2	0.0	0.0	0.5
POS_S5	B_STRUCT_CACOFOLD	2	0.5	1.0	0.5
