cohort	set_id	arm	expected_cov	observed_cov	avgid	n
CTRL_DISTAL	CTRL_DISTAL__POS_I-A_1	A_SPIRE	3.5	1	31.38	6
CTRL_DISTAL	CTRL_DISTAL__POS_I-A_1	B_SEQ_CACOFOLD	2.6	0	34.04	6
CTRL_DISTAL	CTRL_DISTAL__POS_I-A_1	B_STRUCT_CACOFOLD	2.5	2	31.38	6
CTRL_DISTAL	CTRL_DISTAL__POS_I-A_2	A_SPIRE	6.9	3	18.92	13
CTRL_DISTAL	CTRL_DISTAL__POS_I-A_2	B_SEQ_CACOFOLD	23.8	0	25.52	13
CTRL_DISTAL	CTRL_DISTAL__POS_I-A_2	B_STRUCT_CACOFOLD	9.7	3	18.92	13
CTRL_DISTAL	CTRL_DISTAL__POS_I-B_2	A_SPIRE	4.3	6	14.75	17
CTRL_DISTAL	CTRL_DISTAL__POS_I-B_2	B_SEQ_CACOFOLD	29.9	0	24.94	17
CTRL_DISTAL	CTRL_DISTAL__POS_I-B_2	B_STRUCT_CACOFOLD	15.7	9	14.75	17
CTRL_DISTAL	CTRL_DISTAL__POS_I-B_3	A_SPIRE	5.3	3	15.97	15
CTRL_DISTAL	CTRL_DISTAL__POS_I-B_3	B_SEQ_CACOFOLD	37.7	0	23.38	15
CTRL_DISTAL	CTRL_DISTAL__POS_I-B_3	B_STRUCT_CACOFOLD	18.1	3	15.97	15
CTRL_DISTAL	CTRL_DISTAL__POS_I-C_1	A_SPIRE	5.2	4	22.09	7
CTRL_DISTAL	CTRL_DISTAL__POS_I-C_1	B_SEQ_CACOFOLD	9.2	0	29.56	7
CTRL_DISTAL	CTRL_DISTAL__POS_I-C_1	B_STRUCT_CACOFOLD	5.6	4	22.09	7
CTRL_DISTAL	CTRL_DISTAL__POS_I-C_2	A_SPIRE	6.1	2	23.78	9
CTRL_DISTAL	CTRL_DISTAL__POS_I-C_2	B_SEQ_CACOFOLD	16.0	1	29.18	9
CTRL_DISTAL	CTRL_DISTAL__POS_I-C_2	B_STRUCT_CACOFOLD	8.4	2	23.78	9
CTRL_DISTAL	CTRL_DISTAL__POS_II-A_1	A_SPIRE	7.6	7	19.48	15
CTRL_DISTAL	CTRL_DISTAL__POS_II-A_1	B_SEQ_CACOFOLD	14.9	0	30.36	15
CTRL_DISTAL	CTRL_DISTAL__POS_II-A_1	B_STRUCT_CACOFOLD	7.8	8	19.48	15
CTRL_DISTAL	CTRL_DISTAL__POS_II-A_2	A_SPIRE	4.2	3	27.44	7
CTRL_DISTAL	CTRL_DISTAL__POS_II-A_2	B_SEQ_CACOFOLD	2.6	0	36.22	7
CTRL_DISTAL	CTRL_DISTAL__POS_II-A_2	B_STRUCT_CACOFOLD	3.2	3	27.44	7
CTRL_DISTAL	CTRL_DISTAL__POS_II-A_3	A_SPIRE	2.6	2	33.47	5
CTRL_DISTAL	CTRL_DISTAL__POS_II-A_3	B_SEQ_CACOFOLD	0.4	1	35.3	5
CTRL_DISTAL	CTRL_DISTAL__POS_II-A_3	B_STRUCT_CACOFOLD	1.8	2	33.47	5
CTRL_DISTAL	CTRL_DISTAL__POS_III-A_1	A_SPIRE	3.0	5	25.03	12
CTRL_DISTAL	CTRL_DISTAL__POS_III-A_1	B_SEQ_CACOFOLD	13.2	0	43.62	12
CTRL_DISTAL	CTRL_DISTAL__POS_III-A_1	B_STRUCT_CACOFOLD	6.6	7	25.03	12
CTRL_DISTAL	CTRL_DISTAL__POS_III-A_2	A_SPIRE	4.0	1	27.6	9
CTRL_DISTAL	CTRL_DISTAL__POS_III-A_2	B_SEQ_CACOFOLD	12.4	0	38.61	9
CTRL_DISTAL	CTRL_DISTAL__POS_III-A_2	B_STRUCT_CACOFOLD	6.1	1	27.6	9
CTRL_DISTAL	CTRL_DISTAL__POS_III-A_3	A_SPIRE	1.8	0	45.59	19
