cohort	stratum	n_rt50_clusters	n_sets_eligible_ub	loci_in_eligible_sets	loci_insufficient_homologs	windows_if_one_set_per_cluster	windows_if_all_rt90_reps
A_T1 (CM call beyond architecture rules)	S1_SYSTEM_CONTEXT_2TOOLS	241	52	118499.0	1544.0	713.0	786.0
A_T1 (CM call beyond architecture rules)	S2_SYSTEM_CONTEXT_1TOOL	177	21	2470.0	1110.0	277.0	284.0
A_T1 (CM call beyond architecture rules)	S3_FUSED_RT_RULE_ONLY	91	7	246.0	408.0	49.0	49.0
A_T1 (CM call beyond architecture rules)	S4 (excluded: ncRNA-dependent)	56	5	146.0	358.0	72.0	72.0
A_T1 (CM call beyond architecture rules)	S5_SEQUENCE_ONLY	388	25	517.0	1236.0	161.0	161.0
A_local (T2/T3)	S1_SYSTEM_CONTEXT_2TOOLS	351	98	50745.0	8960.0	1588.0	2246.0
A_local (T2/T3)	S2_SYSTEM_CONTEXT_1TOOL	423	79	8104.0	1868.0	1066.0	1192.0
A_local (T2/T3)	S3_FUSED_RT_RULE_ONLY	243	61	47547.0	1588.0	933.0	1296.0
A_local (T2/T3)	S4 (excluded: ncRNA-dependent)	272	84	33032.0	1610.0	1600.0	2680.0
A_local (T2/T3)	S5_SEQUENCE_ONLY	1051	108	8058.0	3359.0	1079.0	1096.0
A_noncanonical	S1_SYSTEM_CONTEXT_2TOOLS	13	0		100.0		
A_noncanonical	S2_SYSTEM_CONTEXT_1TOOL	12	1	15.0	26.0	11.0	11.0
A_noncanonical	S3_FUSED_RT_RULE_ONLY	2	0		2.0		
A_noncanonical	S4 (excluded: ncRNA-dependent)	3	0		5.0		
A_noncanonical	S5_SEQUENCE_ONLY	15	0		18.0		
B_no_current_ncRNA_call	S1_SYSTEM_CONTEXT_2TOOLS	877	154	57289.0	11803.0	1798.0	2052.0
B_no_current_ncRNA_call	S2_SYSTEM_CONTEXT_1TOOL	1903	229	33736.0	31015.0	2456.0	2611.0
B_no_current_ncRNA_call	S3_FUSED_RT_RULE_ONLY	1208	141	24053.0	6448.0	1946.0	2277.0
B_no_current_ncRNA_call	S4 (excluded: ncRNA-dependent)	85	12	441.0	231.0	140.0	140.0
B_no_current_ncRNA_call	S5_SEQUENCE_ONLY	4786	292	44021.0	14259.0	3144.0	3561.0
