cohort	evidence_stratum	suitability	n_physical_loci	n_exact_rt	n_rt50	n_rt90
A_T1 (CM call beyond architecture rules)	S1_SYSTEM_CONTEXT_2TOOLS	C_CONTIG_EDGE_TRUNCATED_UPSTREAM	16	6	2	4
A_T1 (CM call beyond architecture rules)	S1_SYSTEM_CONTEXT_2TOOLS	OK	120043	1891	241	1058
A_T1 (CM call beyond architecture rules)	S2_SYSTEM_CONTEXT_1TOOL	C_CONTIG_EDGE_TRUNCATED_UPSTREAM	5334	133	6	17
A_T1 (CM call beyond architecture rules)	S2_SYSTEM_CONTEXT_1TOOL	OK	3580	929	177	476
A_T1 (CM call beyond architecture rules)	S3_FUSED_RT_RULE_ONLY	C_CONTIG_EDGE_TRUNCATED_UPSTREAM	16	3	2	2
A_T1 (CM call beyond architecture rules)	S3_FUSED_RT_RULE_ONLY	OK	654	224	91	171
A_T1 (CM call beyond architecture rules)	S4_PADLOC_NCRNA_DEPENDENT_RULE_ONLY	C_CONTIG_EDGE_TRUNCATED_UPSTREAM	1	1	1	1
A_T1 (CM call beyond architecture rules)	S4_PADLOC_NCRNA_DEPENDENT_RULE_ONLY	OK	504	227	56	159
A_T1 (CM call beyond architecture rules)	S5_SEQUENCE_ONLY	C_CONTIG_EDGE_TRUNCATED_UPSTREAM	29	22	12	19
A_T1 (CM call beyond architecture rules)	S5_SEQUENCE_ONLY	OK	1753	819	388	604
A_local (T2/T3)	S1_SYSTEM_CONTEXT_2TOOLS	C_CONTIG_EDGE_TRUNCATED_UPSTREAM	43	28	11	21
A_local (T2/T3)	S1_SYSTEM_CONTEXT_2TOOLS	OK	59705	5814	351	2607
A_local (T2/T3)	S2_SYSTEM_CONTEXT_1TOOL	C_CONTIG_EDGE_TRUNCATED_UPSTREAM	45	28	16	18
A_local (T2/T3)	S2_SYSTEM_CONTEXT_1TOOL	OK	9972	2855	423	1685
A_local (T2/T3)	S3_FUSED_RT_RULE_ONLY	C_CONTIG_EDGE_TRUNCATED_UPSTREAM	179	140	31	64
