set_id	cohort	stratum	rt50	n_members	type_label	n_type_labels	n_phyla	win_from	win_to	note
POS_IX_1	POS	S1-S3	921bde4efcde6dcf4a47d395655e4c2e34c12a111066b838cdde91a069c908ea	6	IX	1	1	-300	-1	
POS_IX_2	POS	S1-S3	505cebc4e8503e5fb28b01f31412c04eba7a625117cec294100f34ca7983705c	6	IX	1	3	-300	-1	
POS_IX_3	POS	S1-S3	5fb4f722ac733d257a7d337709f74bec5eac186f65bd170c58580c23618bd52f	5	IX	1	2	-300	-1	
POS_III-A_1	POS	S1-S3	fcc32fc7cc5e7a2b419c91c306238c1e81b3b82fee5a6f101f22287d9a034f27	12	III-A	1	2	-300	-1	
POS_III-A_2	POS	S1-S3	52c6d134f8abe7a007aa341b579fdb52d2b5fa6d940b2911e12178623a5156a6	9	III-A	1	2	-300	-1	
POS_III-A_3	POS	S1-S3	e923f79b3ab4fe4a02bffd194035f63f8f6a4165efd4126050f5e721c22eaacb	19	III-A	1	2	-300	-1	
POS_II-A_1	POS	S1-S3	6f53e98ece3c9c1ddb81388126a1c8104ae0c7694ef6c073195c57386e122126	15	II-A	1	2	-300	-1	
POS_II-A_2	POS	S1-S3	8396be309faadcc18ee26009480c222569327ba4469b6de3fdef531f995f97ca	7	II-A	1	2	-300	-1	
POS_II-A_3	POS	S1-S3	3c6eab406ee5458ad6cd7375beac7ee010badaf0e79ae3faf50a42e68a1d6951	6	II-A	1	2	-300	-1	
POS_IV_1	POS	S1-S3	c3c41dfe14f1d01bc33d06d7c47f3291414d9418d5d7cd5f52b59128a2cb987b	40	IV	1	2	-300	-1	
POS_IV_2	POS	S1-S3	318e3e73c910f004012d1d2643bd3a1daf4fc765c8ba81f007bc418192263731	7	IV	1	2	-300	-1	
POS_IV_3	POS	S1-S3	3d194129f2141e870fdf16fee88134a0c77597f6d90ac1c3919102b4529f689f	5	IV	1	1	-300	-1	
POS_XIII_1	POS	S1-S3	19819d72c63b67a5c6d78f5cb76ec7da23ac5c98568e58ad19d488a660e4ff41	36	XIII	1	5	-300	-1	
POS_XIII_2	POS	S1-S3	4f4a7615b530ad6611be87e39747527c22000f21aa6a81e10fd776fe3b1155dc	40	XIII	2	3	-300	-1	
POS_XIII_3	POS	S1-S3	3d2a300b511c42c97188e53bd3dd20d6a031b2e809de5f7a99cc76e4a38a7827	6	XIII	1	2	-300	-1	
POS_I-B_1	POS	S1-S3	3b586e6a94df63ad32421e9adc52c9bcb799961e7c459ef670acacb2e582f1ee	6	I-B	1	1	-300	-1	
POS_I-B_2	POS	S1-S3	c34f95fe6fe5db37102a8e9d15ec7043e26c6e6a73b330b21ea497f9464d006a	17	I-B	1	2	-300	-1	
POS_I-B_3	POS	S1-S3	c27cae419d4a71095661570a086f528ba115752f93359ff564411c04559069f9	18	I-B	1	2	-300	-1	
POS_V_1	POS	S1-S3	4d567d6d6e3c04c7538385c245cfa3a11111ed95e0a56c9784cf648972ecd3dd	32	V	1	2	-300	-1	
POS_V_2	POS	S1-S3	8120394c21a5bcc7127f6486b8a7b6d11b8210ede17f590a961df25141c17fd5	19	V	1	2	-300	-1	
POS_V_3	POS	S1-S3	5b1d4e37ce54cbeaa741261c5404c48a3f648e73d83ec79603e8c893119b5ff8	19	V	1	2	-300	-1	
POS_I-A_1	POS	S1-S3	8b159a32141abe21c13d770797221a590c2927316a3b3e05a5ea863ebac9d8b6	6	I-A	1	2	-300	-1	
POS_I-A_2	POS	S1-S3	487b72945afee6767b7cbf532ce7102d7bfcdfc2647da10d3b8759c1d8630a48	15	I-A	1	2	-300	-1	
POS_I-A_3	POS	S1-S3	a9a7248a1ba60e48e4d5d5d8cf437b8771eb393c92c19aa2226e71ea65d94aad	5	I-A	1	2	-300	-1	
POS_I-C_1	POS	S1-S3	05921466b26a20a6742bcd178fd702f79271a0196dea4bebaa312c2a84b14664	7	I-C	1	1	-300	-1	
POS_I-C_2	POS	S1-S3	7e94c2e1f033c9ea773bace4f02521b242b47343ab176f69b45009a0565eba60	9	I-C	1	1	-300	-1	
POS_I-C_3	POS	S1-S3	88e670679a744767ce869be3a5a9de8808cd8b9f248e15ec91437efea3d13f7f	5	I-C	1	2	-300	-1	
POS_S5_1	POS_S5	S5	3b586e6a94df63ad32421e9adc52c9bcb799961e7c459ef670acacb2e582f1ee	5	UNLABELLED	1	1	-300	-1	
POS_S5_2	POS_S5	S5	3a738c7b559e6922b9baa34d7142afa819d4f216db0d5d1b04c6fd49d49235a9	6	UNLABELLED	1	2	-300	-1	
CTRL_DISTAL__POS_IX_1	CTRL_DISTAL	S1-S3	921bde4efcde6dcf4a47d395655e4c2e34c12a111066b838cdde91a069c908ea	5	IX	1	1	-1500	-1201	POS_IX_1
CTRL_INTRAGENIC__POS_IX_1	CTRL_INTRAGENIC	S1-S3	921bde4efcde6dcf4a47d395655e4c2e34c12a111066b838cdde91a069c908ea	6	IX	1	1	300	599	POS_IX_1
CTRL_DISTAL__POS_IX_2	CTRL_DISTAL	S1-S3	505cebc4e8503e5fb28b01f31412c04eba7a625117cec294100f34ca7983705c	6	IX	1	3	-1500	-1201	POS_IX_2
CTRL_INTRAGENIC__POS_IX_2	CTRL_INTRAGENIC	S1-S3	505cebc4e8503e5fb28b01f31412c04eba7a625117cec294100f34ca7983705c	6	IX	1	3	300	599	POS_IX_2
CTRL_DISTAL__POS_IX_3	CTRL_DISTAL	S1-S3	5fb4f722ac733d257a7d337709f74bec5eac186f65bd170c58580c23618bd52f	5	IX	1	2	-1500	-1201	POS_IX_3
CTRL_INTRAGENIC__POS_IX_3	CTRL_INTRAGENIC	S1-S3	5fb4f722ac733d257a7d337709f74bec5eac186f65bd170c58580c23618bd52f	5	IX	1	2	300	599	POS_IX_3
CTRL_DISTAL__POS_III-A_1	CTRL_DISTAL	S1-S3	fcc32fc7cc5e7a2b419c91c306238c1e81b3b82fee5a6f101f22287d9a034f27	12	III-A	1	2	-1500	-1201	POS_III-A_1
CTRL_INTRAGENIC__POS_III-A_1	CTRL_INTRAGENIC	S1-S3	fcc32fc7cc5e7a2b419c91c306238c1e81b3b82fee5a6f101f22287d9a034f27	12	III-A	1	2	300	599	POS_III-A_1
CTRL_DISTAL__POS_III-A_2	CTRL_DISTAL	S1-S3	52c6d134f8abe7a007aa341b579fdb52d2b5fa6d940b2911e12178623a5156a6	9	III-A	1	2	-1500	-1201	POS_III-A_2
