block	availability_min	containment_min	n_chains	n_available	n_contained	frac_available	frac_contained_of_available	declared	unit
SB2p	0.3000	0.7000	62	24	12	0.3871	0.5000	NO	chain
SB2p	0.3000	0.8000	62	24	12	0.3871	0.5000	NO	chain
SB2p	0.3000	0.9000	62	24	11	0.3871	0.4583	NO	chain
SB2p	0.5000	0.7000	62	24	12	0.3871	0.5000	NO	chain
SB2p	0.5000	0.8000	62	24	12	0.3871	0.5000	YES	chain
SB2p	0.5000	0.9000	62	24	11	0.3871	0.4583	NO	chain
SB2p	0.7000	0.7000	62	24	12	0.3871	0.5000	NO	chain
SB2p	0.7000	0.8000	62	24	12	0.3871	0.5000	NO	chain
SB2p	0.7000	0.9000	62	24	11	0.3871	0.4583	NO	chain
SB3	0.3000	0.7000	62	47	46	0.7581	0.9787	NO	chain
SB3	0.3000	0.8000	62	47	45	0.7581	0.9574	NO	chain
SB3	0.3000	0.9000	62	47	39	0.7581	0.8298	NO	chain
SB3	0.5000	0.7000	62	33	32	0.5323	0.9697	NO	chain
SB3	0.5000	0.8000	62	33	31	0.5323	0.9394	YES	chain
SB3	0.5000	0.9000	62	33	25	0.5323	0.7576	NO	chain
SB3	0.7000	0.7000	62	24	23	0.3871	0.9583	NO	chain
SB3	0.7000	0.8000	62	24	22	0.3871	0.9167	NO	chain
SB3	0.7000	0.9000	62	24	19	0.3871	0.7917	NO	chain
SB4	0.3000	0.7000	62	44	36	0.7097	0.8182	NO	chain
SB4	0.3000	0.8000	62	44	29	0.7097	0.6591	NO	chain
SB4	0.3000	0.9000	62	44	25	0.7097	0.5682	NO	chain
SB4	0.5000	0.7000	62	37	30	0.5968	0.8108	NO	chain
SB4	0.5000	0.8000	62	37	26	0.5968	0.7027	YES	chain
SB4	0.5000	0.9000	62	37	22	0.5968	0.5946	NO	chain
SB4	0.7000	0.7000	62	32	25	0.5161	0.7812	NO	chain
SB4	0.7000	0.8000	62	32	23	0.5161	0.7188	NO	chain
SB4	0.7000	0.9000	62	32	19	0.5161	0.5938	NO	chain
SB56	0.3000	0.7000	62	55	54	0.8871	0.9818	NO	chain
SB56	0.3000	0.8000	62	55	54	0.8871	0.9818	NO	chain
SB56	0.3000	0.9000	62	55	54	0.8871	0.9818	NO	chain
SB56	0.5000	0.7000	62	54	53	0.8710	0.9815	NO	chain
SB56	0.5000	0.8000	62	54	53	0.8710	0.9815	YES	chain
SB56	0.5000	0.9000	62	54	53	0.8710	0.9815	NO	chain
SB56	0.7000	0.7000	62	53	52	0.8548	0.9811	NO	chain
SB56	0.7000	0.8000	62	53	52	0.8548	0.9811	NO	chain
SB56	0.7000	0.9000	62	53	52	0.8548	0.9811	NO	chain
SB7	0.3000	0.7000	62	37	37	0.5968	1.0000	NO	chain
SB7	0.3000	0.8000	62	37	37	0.5968	1.0000	NO	chain
SB7	0.3000	0.9000	62	37	37	0.5968	1.0000	NO	chain
SB7	0.5000	0.7000	62	37	37	0.5968	1.0000	NO	chain
SB7	0.5000	0.8000	62	37	37	0.5968	1.0000	YES	chain
SB7	0.5000	0.9000	62	37	37	0.5968	1.0000	NO	chain
SB7	0.7000	0.7000	62	31	31	0.5000	1.0000	NO	chain
SB7	0.7000	0.8000	62	31	31	0.5000	1.0000	NO	chain
SB7	0.7000	0.9000	62	31	31	0.5000	1.0000	NO	chain
CAT262	0.3000	0.7000	62	59	58	0.9516	0.9831	NO	chain
CAT262	0.3000	0.8000	62	59	58	0.9516	0.9831	NO	chain
CAT262	0.3000	0.9000	62	59	58	0.9516	0.9831	NO	chain
CAT262	0.5000	0.7000	62	59	58	0.9516	0.9831	NO	chain
CAT262	0.5000	0.8000	62	59	58	0.9516	0.9831	YES	chain
CAT262	0.5000	0.9000	62	59	58	0.9516	0.9831	NO	chain
CAT262	0.7000	0.7000	62	59	58	0.9516	0.9831	NO	chain
CAT262	0.7000	0.8000	62	59	58	0.9516	0.9831	NO	chain
CAT262	0.7000	0.9000	62	59	58	0.9516	0.9831	NO	chain
