root	substrate	control_type	blocking	expectation	observed	state	note
JUNE_RETRONS	content	positive	YES	/retron/i recoverable on this substrate of this root	3 hit(s) over 5 unit(s)	PASS	
JUNE_RETRONS	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 0 unit(s)	NOT_EVALUABLE	substrate is empty on this root
JUNE_RETRONS	dirname	positive	YES	/retron/i recoverable on this substrate of this root	1 hit(s) over 3 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7	content	positive	YES	/retron/i recoverable on this substrate of this root	2511 hit(s) over 6047 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 522 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7	dirname	positive	YES	/retron/i recoverable on this substrate of this root	5 hit(s) over 999 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-asset-audit	content	positive	YES	/retron/i recoverable on this substrate of this root	703 hit(s) over 1483 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-asset-audit	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 3 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-asset-audit	dirname	positive	YES	/retron/i recoverable on this substrate of this root	2 hit(s) over 204 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-dbchar-workbench	content	positive	YES	/retron/i recoverable on this substrate of this root	697 hit(s) over 1395 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-dbchar-workbench	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 1 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-dbchar-workbench	dirname	positive	YES	/retron/i recoverable on this substrate of this root	2 hit(s) over 196 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embedding-report	content	positive	YES	/retron/i recoverable on this substrate of this root	719 hit(s) over 1415 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embedding-report	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 1 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embedding-report	dirname	positive	YES	/retron/i recoverable on this substrate of this root	2 hit(s) over 192 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings	content	positive	YES	/retron/i recoverable on this substrate of this root	795 hit(s) over 1704 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings	header	positive	YES	/retron/i recoverable on this substrate of this root	2 hit(s) over 14 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings	dirname	positive	YES	/retron/i recoverable on this substrate of this root	2 hit(s) over 278 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-mestre-audit	content	positive	YES	/retron/i recoverable on this substrate of this root	856 hit(s) over 1756 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-mestre-audit	header	positive	YES	/retron/i recoverable on this substrate of this root	3 hit(s) over 9 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-mestre-audit	dirname	positive	YES	/retron/i recoverable on this substrate of this root	7 hit(s) over 342 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-spire-ncrna	content	positive	YES	/retron/i recoverable on this substrate of this root	721 hit(s) over 3108 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-spire-ncrna	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 6 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-spire-ncrna	dirname	positive	YES	/retron/i recoverable on this substrate of this root	16 hit(s) over 13767 unit(s)	PASS	
