asset_id	discovered_path	sha256	bytes	selected_project_copy	duplicate_group	notes
hist_toro2014_rt0rt7_fasta	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_WORK/MELISSA_DATA/supplementary_material/toro_2014_Rt0-Rt7.FASTA	6e43c4ccd3660f4cc1b8c3903ee53cb530552475c2b1d0eef9a55530d08e95b1	1186359	NO	hist_toro2014_rt0rt7_fasta#g1	4 local copy(ies); 1 distinct-content group(s); ALL byte-identical
hist_toro2014_rt0rt7_fasta	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/MELISSA_DATA/supplementary_material/toro_2014_Rt0-Rt7.FASTA	6e43c4ccd3660f4cc1b8c3903ee53cb530552475c2b1d0eef9a55530d08e95b1	1186359	NO	hist_toro2014_rt0rt7_fasta#g1	4 local copy(ies); 1 distinct-content group(s); ALL byte-identical
hist_toro2014_rt0rt7_fasta	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/references/rt0_rt7/historical/toro_2014_Rt0-Rt7.FASTA	6e43c4ccd3660f4cc1b8c3903ee53cb530552475c2b1d0eef9a55530d08e95b1	1186359	YES	hist_toro2014_rt0rt7_fasta#g1	4 local copy(ies); 1 distinct-content group(s); ALL byte-identical
hist_toro2014_rt0rt7_fasta	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/supporting_material/toro_2014_Rt0-Rt7.FASTA	6e43c4ccd3660f4cc1b8c3903ee53cb530552475c2b1d0eef9a55530d08e95b1	1186359	NO	hist_toro2014_rt0rt7_fasta#g1	4 local copy(ies); 1 distinct-content group(s); ALL byte-identical
hist_toro2014_tableS1	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/references/rt0_rt7/historical/TableS1_Toro_2014.XLSX	385e8043f873f56a92cd69c547bf293b41e36413da914360db92756556b68505	153853	YES	hist_toro2014_tableS1#g1	2 local copy(ies); 1 distinct-content group(s); ALL byte-identical
hist_toro2014_tableS1	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/supporting_material/TableS1_Toro_2014.XLSX	385e8043f873f56a92cd69c547bf293b41e36413da914360db92756556b68505	153853	NO	hist_toro2014_tableS1#g1	2 local copy(ies); 1 distinct-content group(s); ALL byte-identical
lit_blocker2005_structural	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/papers_Phylogeny/Domain structure and three-dimensional model of a group II intron-encoded reverse transcriptase.pdf	aa2a24f8f120e6f858e5f09e98833ba66145bf3d9da38849ae4f22b33a5bef1c	1436894	YES	lit_blocker2005_structural#g1	1 local copy(ies); 1 distinct-content group(s); ALL byte-identical
lit_poch1989	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/papers_Phylogeny/Poch Sauvaget Delarue Tordo 1989 EMBO J - Identification of four conserved motifs among the RNA-dependent polymerase encoding elements.pdf	f86054ed4a607480a2e9420223a4badd642d1749f78763d4750a686e66a763ae	1864497	YES	lit_poch1989#g1	1 local copy(ies); 1 distinct-content group(s); ALL byte-identical
lit_simon2008	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/papers_Phylogeny/A diversity of uncharacterized reverse transcriptases in bacteria .pdf	4db1d884a4cb665314aaa182548d64f09941221e88d6f58bfb107262ce01c876	8855346	YES	lit_simon2008#g1	1 local copy(ies); 1 distinct-content group(s); ALL byte-identical
lit_xiong1990	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/papers_Phylogeny/Origin and evolution of retroelements based upon their reverse transcriptase sequences. .pdf	3cec03446dd809a606403a887d55bf36d3f87115973201519c4166a869c264b6	2317347	YES	lit_xiong1990#g1	1 local copy(ies); 1 distinct-content group(s); ALL byte-identical
