quantity	value	source_table
corpus_root	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_DATA/json_files_input_june	s01_corpus_root.tsv
jsonl_files	43	s01_corpus_root.tsv
non_jsonl_or_non_regular_entries	0	s01_corpus_root.tsv
jsonl_bytes	81007695609	s01_corpus_root.tsv
lines_all_files	3358182	s02_populations.tsv
record_manifest_sha256	8e9b7999954b460d2bdfc558c605d26610d58e6901788f61720e11eafdc41d00	s02_record_manifest_digest.tsv
population:POP-RT-FAM	3050688	s02_populations.tsv
population:POP-RT-MULTI	9012	s02_populations.tsv
population:POP-NCRNA	298482	s02_populations.tsv
population:POP-OTHER	0	s02_populations.tsv
population:POP-UNPARSED	0	s02_populations.tsv
parse_class:blank	0	s02_parse_census.tsv
parse_class:bad_utf8	0	s02_parse_census.tsv
parse_class:bad_json	0	s02_parse_census.tsv
parse_class:not_object	0	s02_parse_census.tsv
multilabel_records_in_single_family_files	20	s02_multilabel_by_file.tsv
single_label_records_in_MULTI_file	0	s02_multilabel_by_file.tsv
byte_identical_lines_beyond_first:within_one_file	8501	s02_byte_identical_records.tsv
byte_identical_lines_beyond_first:across_files	10	s02_byte_identical_records.tsv
checks_firing:POP-RT-FAM	V09a|V12|V16|V17|V20b	s02_validation_by_population.tsv
checks_firing:POP-RT-MULTI	V09a|V16|V20b	s02_validation_by_population.tsv
checks_firing:POP-NCRNA	V12|V20b	s02_validation_by_population.tsv
second_count_rows	450	s05_second_counts.tsv
second_count_disagreements	0	s05_second_counts.tsv
prior_reconciliation_rows	231	s05_prior_reconciliation.tsv
prior_reconciliation_differences	2	s05_prior_reconciliation.tsv
positive_controls	107	s04_positive_controls.tsv
positive_controls_failed	0	s04_positive_controls.tsv
