entry	kind	jsonl	bytes	mtime_utc	mode	sha256	n_newlines	ends_with_newline	n_crlf
master_MULTI_merged_oriented.jsonl	file	True	120385778	2026-07-20T15:21:13Z	-r--r--r--	1984ddee36c961b0ba0b109c20e4e753192d9063297d641d3fa409e273917a97	9012	True	0
master_RVT-AbiA_merged_oriented.jsonl	file	True	1248655	2026-07-20T15:21:13Z	-r--r--r--	9e2c131773432d8c0b992773ce46790ad89bd88cf0fd49fb270cfdcac2a996ff	46	True	0
master_RVT-AbiK_merged_oriented.jsonl	file	True	232684225	2026-07-20T15:21:13Z	-r--r--r--	759f25f61331b7ef9897ce79a2cf68343c883b489da0b5f00221a9fa6ae421ca	9516	True	0
master_RVT-AbiP2_merged_oriented.jsonl	file	True	1106372498	2026-07-20T15:21:14Z	-r--r--r--	7be9a759980b1cb6385ccb9ceb9d440231b244aeca32e66041b9f459de86e14e	47333	True	0
master_RVT-CRISPR-like_merged_oriented.jsonl	file	True	136305452	2026-07-20T15:21:14Z	-r--r--r--	e3317c5d8476bd9e58bf42df96320fa34f0983e39128099454a7c9dcc590e8da	6776	True	0
master_RVT-CRISPR_merged_oriented.jsonl	file	True	213857348	2026-07-20T15:21:14Z	-r--r--r--	5ad1fd048b1736142f9ab5b41bba0b3138edf13d01e51acfcaf2b40a827d05de	9711	True	0
master_RVT-DGRs_merged_oriented.jsonl	file	True	5599656004	2026-07-20T15:21:19Z	-r--r--r--	e082a8d5013034a320db23887498a27dbf6c553a99178c37c5c2b01f54317f95	228171	True	0
master_RVT-G2L4_merged_oriented.jsonl	file	True	83755585	2026-07-20T15:21:19Z	-r--r--r--	01a0c7b68a5e77572b1dcea86740bacad7e2ed29837ffb09ba43a60f7a575388	3055	True	0
master_RVT-G2L_merged_oriented.jsonl	file	True	1181822834	2026-07-20T15:21:20Z	-r--r--r--	db96a77bdc7c21893e704c68352354bb608b24608c074a400978813af6d8cb91	38428	True	0
master_RVT-G2Lb_merged_oriented.jsonl	file	True	19047866	2026-07-20T15:21:20Z	-r--r--r--	5c3f92d03bf61292165c2f770195c0b0244154f878f5d497cf63b29d592e0b5a	657	True	0
master_RVT-G2Lc_merged_oriented.jsonl	file	True	38316324	2026-07-20T15:21:20Z	-r--r--r--	77d50b82f3233f2fe729e50c5f5f98be79fef6a586555827b6221448d095085d	1498	True	0
master_RVT-GII_merged_oriented.jsonl	file	True	34009921018	2026-07-20T15:21:51Z	-r--r--r--	549b7ad797215068ab547e94a8ab2ebcf41b3f7f9dbe502cdbee11c738944d42	1618431	True	0
master_RVT-UG10_merged_oriented.jsonl	file	True	55368593	2026-07-20T15:21:51Z	-r--r--r--	b2871a2a33d82ab0e949c294c2f05518681e1a5efe9b88105e2b218a6c062b5e	2114	True	0
master_RVT-UG11_merged_oriented.jsonl	file	True	2103574420	2026-07-20T15:21:53Z	-r--r--r--	0cf83cfb8c57de705374e630f6d61d3820a548eca02cd38e7042903227900034	76193	True	0
master_RVT-UG12_merged_oriented.jsonl	file	True	175776868	2026-07-20T15:21:53Z	-r--r--r--	77bd8dda447bcaecf986573760d22245d8d3c29d96f55159d676e7896f06bd67	6454	True	0
master_RVT-UG13_merged_oriented.jsonl	file	True	50255606	2026-07-20T15:21:53Z	-r--r--r--	7a22aa5958136989370f1d1bdab79cbddb4a987af4169b4b2b29849133048bf1	2011	True	0
master_RVT-UG14_merged_oriented.jsonl	file	True	60106150	2026-07-20T15:21:53Z	-r--r--r--	149cee9a2f379eed7b28bc4a35fae28ee86348f6de9d2c45333e96ef5e475e50	2525	True	0
master_RVT-UG15_merged_oriented.jsonl	file	True	445901055	2026-07-20T15:21:54Z	-r--r--r--	18e8293731e04326d4b1921c10f57da54fa2f8cf93abc2372e6e8db29e943914	15979	True	0
master_RVT-UG16_merged_oriented.jsonl	file	True	69776684	2026-07-20T15:21:54Z	-r--r--r--	bbd47c0d65e1006f56094ea7ccb26df8b024e5c64b31e8e93c92c07a88bfd603	2480	True	0
master_RVT-UG17_merged_oriented.jsonl	file	True	1096249140	2026-07-20T15:21:55Z	-r--r--r--	0ecb4ca004f8c21221afb57686994fee97e6261b576d61de375cfa1283413ebe	39760	True	0
master_RVT-UG18_merged_oriented.jsonl	file	True	47889987	2026-07-20T15:21:55Z	-r--r--r--	8920273e73d8ae118c411574ea07e690acd58a2a4ab2edb573b43f7075863923	2127	True	0
master_RVT-UG19_merged_oriented.jsonl	file	True	54539744	2026-07-20T15:21:55Z	-r--r--r--	073b0b78e293e7f24f155b0ccade9e5cd3f2e28bf1b4c192d2017aaf9a63c495	2244	True	0
master_RVT-UG1_merged_oriented.jsonl	file	True	208518057	2026-07-20T15:21:55Z	-r--r--r--	6c7807cbf52bd9a60dfc119778ffbd709060dc05595f9054da47312e7205db11	7733	True	0
master_RVT-UG20_merged_oriented.jsonl	file	True	14633647	2026-07-20T15:21:55Z	-r--r--r--	92cc4739d056c106a80eec025b7c6a5eb5b2036112a5c14da430eb703366ab18	636	True	0
master_RVT-UG21_merged_oriented.jsonl	file	True	9152616	2026-07-20T15:21:55Z	-r--r--r--	e71adb631171441716eb4a552fc9db071c7bb1ae782aba89950d9f3ee14da882	385	True	0
master_RVT-UG22_merged_oriented.jsonl	file	True	26362448	2026-07-20T15:21:55Z	-r--r--r--	3f6dd892e903dd14a4762817ac32dc90aa739913a0b2943120101eb16e7cf999	952	True	0
master_RVT-UG23_merged_oriented.jsonl	file	True	40550497	2026-07-20T15:21:55Z	-r--r--r--	8c1c2c0d1b597308ee7f237fcf45c1df8d8fd2254348313b6320810f155fe62d	1413	True	0
master_RVT-UG24_merged_oriented.jsonl	file	True	91543057	2026-07-20T15:21:55Z	-r--r--r--	d772359036857a47d76f9fea3fd039de9b5795165ad2f3333d10acf5b5f80855	3389	True	0
master_RVT-UG25_merged_oriented.jsonl	file	True	13681296	2026-07-20T15:21:55Z	-r--r--r--	0075d7140417e7cc87371a1a1dacb1b9342c6a83318782d827904f1a0f041e5f	559	True	0
master_RVT-UG26_merged_oriented.jsonl	file	True	191293185	2026-07-20T15:21:55Z	-r--r--r--	3b819a64d3cc45aa3abef5ff6b2111b8caa869c9c83cee572099df85e5932570	8407	True	0
master_RVT-UG27_merged_oriented.jsonl	file	True	219211589	2026-07-20T15:21:55Z	-r--r--r--	c1440aa5a36d2fd12a983fb02c2675e396fdccba9237b7705ea4af197175e733	6425	True	0
master_RVT-UG28_merged_oriented.jsonl	file	True	117056793	2026-07-20T15:21:56Z	-r--r--r--	75d8b8e59c9ac68497505f73d05bff158ba85fdf3f6de3f1b8ffd521dd5de1c4	4414	True	0
master_RVT-UG28b_merged_oriented.jsonl	file	True	47932910	2026-07-20T15:21:56Z	-r--r--r--	5028ec94e5c66fc969e34c1b4f98efd0147257f99cb715639782e73a64451b11	1969	True	0
master_RVT-UG2_merged_oriented.jsonl	file	True	1309755552	2026-07-20T15:21:57Z	-r--r--r--	e87d7e754dee5063edf96d3fcedb028d8910b4e3a8e202f4b708a18494dd151c	46470	True	0
master_RVT-UG3_merged_oriented.jsonl	file	True	1097309643	2026-07-20T15:21:58Z	-r--r--r--	91e7494232f861d6ca4a9750623243d7763867d76defbd0aa1037219fb693834	40158	True	0
master_RVT-UG4_merged_oriented.jsonl	file	True	840719822	2026-07-20T15:21:58Z	-r--r--r--	64831aaf7738464298277d10da0c2bc175a506946d1e5a011838a18828a2ef85	33045	True	0
master_RVT-UG5_merged_oriented.jsonl	file	True	1487383698	2026-07-20T15:22:00Z	-r--r--r--	a0236919659e279e996d90d10c41d8d8586f4ff5e96388b2f412893885914b62	52945	True	0
master_RVT-UG6_merged_oriented.jsonl	file	True	28577157	2026-07-20T15:22:00Z	-r--r--r--	db9e85e312952f829a493ceda85ccb4c57a1d48a5403b78298fe63fa042e6dee	1090	True	0
master_RVT-UG7_merged_oriented.jsonl	file	True	478240784	2026-07-20T15:22:00Z	-r--r--r--	db016a83043d1134d8153fc47cf8f2aceec09286757669d0ab9d64ebc9a767a8	18480	True	0
master_RVT-UG8_merged_oriented.jsonl	file	True	1064262875	2026-07-20T15:22:01Z	-r--r--r--	0019c87bdf69038286abc1ad1eebd300cff95152c31dee8546b03391f859bec1	38888	True	0
master_RVT-UG9_merged_oriented.jsonl	file	True	67615291	2026-07-20T15:22:01Z	-r--r--r--	deb3047b8f56043bfb176104ed4f1f5a64859f434c2b1bcb73dc7ef89ef4467b	2500	True	0
master_Retron_merged_oriented.jsonl	file	True	18991701774	2026-07-20T15:22:19Z	-r--r--r--	7909cfcb659b7d0e599ceabb1f51360729ac6d68691c99b85805268ccda9b6ab	665321	True	0
master_ncRNA-anchored_merged.jsonl	file	True	7759381084	2026-07-20T15:22:26Z	-r--r--r--	8ef815e619911c087339113045e7492572098b74805ce02237b9bcd8acd3df4f	298482	True	0
