source_file	file_role	population	anchor_type	n_lines
master_MULTI_merged_oriented.jsonl	multi	POP-RT-MULTI	RT	9012
master_RVT-AbiA_merged_oriented.jsonl	family	POP-RT-FAM	RT	46
master_RVT-AbiK_merged_oriented.jsonl	family	POP-RT-FAM	RT	9516
master_RVT-AbiP2_merged_oriented.jsonl	family	POP-RT-FAM	RT	47333
master_RVT-CRISPR-like_merged_oriented.jsonl	family	POP-RT-FAM	RT	6776
master_RVT-CRISPR_merged_oriented.jsonl	family	POP-RT-FAM	RT	9711
master_RVT-DGRs_merged_oriented.jsonl	family	POP-RT-FAM	RT	228171
master_RVT-G2L4_merged_oriented.jsonl	family	POP-RT-FAM	RT	3055
master_RVT-G2L_merged_oriented.jsonl	family	POP-RT-FAM	RT	38428
master_RVT-G2Lb_merged_oriented.jsonl	family	POP-RT-FAM	RT	657
master_RVT-G2Lc_merged_oriented.jsonl	family	POP-RT-FAM	RT	1498
master_RVT-GII_merged_oriented.jsonl	family	POP-RT-FAM	RT	1618431
master_RVT-UG10_merged_oriented.jsonl	family	POP-RT-FAM	RT	2114
master_RVT-UG11_merged_oriented.jsonl	family	POP-RT-FAM	RT	76193
master_RVT-UG12_merged_oriented.jsonl	family	POP-RT-FAM	RT	6454
master_RVT-UG13_merged_oriented.jsonl	family	POP-RT-FAM	RT	2011
master_RVT-UG14_merged_oriented.jsonl	family	POP-RT-FAM	RT	2525
master_RVT-UG15_merged_oriented.jsonl	family	POP-RT-FAM	RT	15979
master_RVT-UG16_merged_oriented.jsonl	family	POP-RT-FAM	RT	2480
master_RVT-UG17_merged_oriented.jsonl	family	POP-RT-FAM	RT	39760
master_RVT-UG18_merged_oriented.jsonl	family	POP-RT-FAM	RT	2127
master_RVT-UG19_merged_oriented.jsonl	family	POP-RT-FAM	RT	2244
master_RVT-UG1_merged_oriented.jsonl	family	POP-RT-FAM	RT	7733
master_RVT-UG20_merged_oriented.jsonl	family	POP-RT-FAM	RT	636
master_RVT-UG21_merged_oriented.jsonl	family	POP-RT-FAM	RT	385
master_RVT-UG22_merged_oriented.jsonl	family	POP-RT-FAM	RT	952
master_RVT-UG23_merged_oriented.jsonl	family	POP-RT-FAM	RT	1413
master_RVT-UG24_merged_oriented.jsonl	family	POP-RT-FAM	RT	3389
master_RVT-UG25_merged_oriented.jsonl	family	POP-RT-FAM	RT	559
master_RVT-UG26_merged_oriented.jsonl	family	POP-RT-FAM	RT	8407
master_RVT-UG27_merged_oriented.jsonl	family	POP-RT-FAM	RT	6425
master_RVT-UG28_merged_oriented.jsonl	family	POP-RT-FAM	RT	4414
master_RVT-UG28b_merged_oriented.jsonl	family	POP-RT-FAM	RT	1969
master_RVT-UG2_merged_oriented.jsonl	family	POP-RT-FAM	RT	46470
master_RVT-UG3_merged_oriented.jsonl	family	POP-RT-FAM	RT	40158
master_RVT-UG4_merged_oriented.jsonl	family	POP-RT-FAM	RT	33045
master_RVT-UG5_merged_oriented.jsonl	family	POP-RT-FAM	RT	52945
master_RVT-UG6_merged_oriented.jsonl	family	POP-RT-FAM	RT	1090
master_RVT-UG7_merged_oriented.jsonl	family	POP-RT-FAM	RT	18480
master_RVT-UG8_merged_oriented.jsonl	family	POP-RT-FAM	RT	38888
master_RVT-UG9_merged_oriented.jsonl	family	POP-RT-FAM	RT	2500
master_Retron_merged_oriented.jsonl	family	POP-RT-FAM	RT	665321
master_ncRNA-anchored_merged.jsonl	ncrna	POP-NCRNA	ncRNA	298482
