source_file	file_role	population	n_records	n_multilabel	n_single_label
master_MULTI_merged_oriented.jsonl	multi	POP-RT-MULTI	9012	9012	0
master_RVT-AbiA_merged_oriented.jsonl	family	POP-RT-FAM	46	0	46
master_RVT-AbiK_merged_oriented.jsonl	family	POP-RT-FAM	9516	0	9516
master_RVT-AbiP2_merged_oriented.jsonl	family	POP-RT-FAM	47333	0	47333
master_RVT-CRISPR-like_merged_oriented.jsonl	family	POP-RT-FAM	6776	0	6776
master_RVT-CRISPR_merged_oriented.jsonl	family	POP-RT-FAM	9711	0	9711
master_RVT-DGRs_merged_oriented.jsonl	family	POP-RT-FAM	228171	0	228171
master_RVT-G2L4_merged_oriented.jsonl	family	POP-RT-FAM	3055	0	3055
master_RVT-G2L_merged_oriented.jsonl	family	POP-RT-FAM	38428	0	38428
master_RVT-G2Lb_merged_oriented.jsonl	family	POP-RT-FAM	657	0	657
master_RVT-G2Lc_merged_oriented.jsonl	family	POP-RT-FAM	1498	0	1498
master_RVT-GII_merged_oriented.jsonl	family	POP-RT-FAM	1618431	1	1618430
master_RVT-UG10_merged_oriented.jsonl	family	POP-RT-FAM	2114	3	2111
master_RVT-UG11_merged_oriented.jsonl	family	POP-RT-FAM	76193	2	76191
master_RVT-UG12_merged_oriented.jsonl	family	POP-RT-FAM	6454	0	6454
master_RVT-UG13_merged_oriented.jsonl	family	POP-RT-FAM	2011	0	2011
master_RVT-UG14_merged_oriented.jsonl	family	POP-RT-FAM	2525	0	2525
master_RVT-UG15_merged_oriented.jsonl	family	POP-RT-FAM	15979	0	15979
master_RVT-UG16_merged_oriented.jsonl	family	POP-RT-FAM	2480	0	2480
master_RVT-UG17_merged_oriented.jsonl	family	POP-RT-FAM	39760	0	39760
master_RVT-UG18_merged_oriented.jsonl	family	POP-RT-FAM	2127	0	2127
master_RVT-UG19_merged_oriented.jsonl	family	POP-RT-FAM	2244	0	2244
master_RVT-UG1_merged_oriented.jsonl	family	POP-RT-FAM	7733	0	7733
master_RVT-UG20_merged_oriented.jsonl	family	POP-RT-FAM	636	0	636
master_RVT-UG21_merged_oriented.jsonl	family	POP-RT-FAM	385	0	385
master_RVT-UG22_merged_oriented.jsonl	family	POP-RT-FAM	952	0	952
master_RVT-UG23_merged_oriented.jsonl	family	POP-RT-FAM	1413	0	1413
master_RVT-UG24_merged_oriented.jsonl	family	POP-RT-FAM	3389	0	3389
master_RVT-UG25_merged_oriented.jsonl	family	POP-RT-FAM	559	0	559
master_RVT-UG26_merged_oriented.jsonl	family	POP-RT-FAM	8407	0	8407
master_RVT-UG27_merged_oriented.jsonl	family	POP-RT-FAM	6425	0	6425
master_RVT-UG28_merged_oriented.jsonl	family	POP-RT-FAM	4414	0	4414
master_RVT-UG28b_merged_oriented.jsonl	family	POP-RT-FAM	1969	0	1969
master_RVT-UG2_merged_oriented.jsonl	family	POP-RT-FAM	46470	4	46466
master_RVT-UG3_merged_oriented.jsonl	family	POP-RT-FAM	40158	0	40158
master_RVT-UG4_merged_oriented.jsonl	family	POP-RT-FAM	33045	0	33045
master_RVT-UG5_merged_oriented.jsonl	family	POP-RT-FAM	52945	0	52945
master_RVT-UG6_merged_oriented.jsonl	family	POP-RT-FAM	1090	0	1090
master_RVT-UG7_merged_oriented.jsonl	family	POP-RT-FAM	18480	0	18480
master_RVT-UG8_merged_oriented.jsonl	family	POP-RT-FAM	38888	0	38888
master_RVT-UG9_merged_oriented.jsonl	family	POP-RT-FAM	2500	0	2500
master_Retron_merged_oriented.jsonl	family	POP-RT-FAM	665321	10	665311
master_ncRNA-anchored_merged.jsonl	ncrna	POP-NCRNA	298482	0	298482
