population	source_database	n_records	population_total
POP-NCRNA	gem	4605	298482
POP-NCRNA	gtdb_archaea	617	298482
POP-NCRNA	gtdb_bacteria	83564	298482
POP-NCRNA	mgnify_human_gut	21650	298482
POP-NCRNA	mgnify_marine	1875	298482
POP-NCRNA	mgnify_soil	4356	298482
POP-NCRNA	ncbi_archaea	1253	298482
POP-NCRNA	ncbi_bacteria	180562	298482
POP-RT-FAM	gem	22261	3050688
POP-RT-FAM	gtdb_archaea	3093	3050688
POP-RT-FAM	gtdb_bacteria	600156	3050688
POP-RT-FAM	mgnify_human_gut	139494	3050688
POP-RT-FAM	mgnify_marine	7751	3050688
POP-RT-FAM	mgnify_soil	14141	3050688
POP-RT-FAM	ncbi_archaea	7074	3050688
POP-RT-FAM	ncbi_bacteria	2256718	3050688
POP-RT-MULTI	gem	10	9012
POP-RT-MULTI	gtdb_archaea	254	9012
POP-RT-MULTI	gtdb_bacteria	399	9012
POP-RT-MULTI	mgnify_human_gut	2692	9012
POP-RT-MULTI	mgnify_marine	201	9012
POP-RT-MULTI	mgnify_soil	1517	9012
POP-RT-MULTI	ncbi_archaea	841	9012
POP-RT-MULTI	ncbi_bacteria	3098	9012
