source_file	population	system_types_raw	type_set_normalised	n_tokens	multilabel	n_records
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiA/RVT-UG8"]	RVT-AbiA/RVT-UG8	2	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiK/RVT-UG11/RVT-GII"]	RVT-AbiK/RVT-GII/RVT-UG11	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiK/RVT-UG12/RVT-AbiP2"]	RVT-AbiK/RVT-AbiP2/RVT-UG12	3	True	4
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiK/RVT-UG12/RVT-UG15"]	RVT-AbiK/RVT-UG12/RVT-UG15	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiK/RVT-UG15/RVT-UG12"]	RVT-AbiK/RVT-UG12/RVT-UG15	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiP2/RVT-GII/RVT-UG12"]	RVT-AbiP2/RVT-GII/RVT-UG12	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiP2/RVT-UG12/RVT-AbiK"]	RVT-AbiK/RVT-AbiP2/RVT-UG12	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiP2/RVT-UG12/RVT-UG14"]	RVT-AbiP2/RVT-UG12/RVT-UG14	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiP2/RVT-UG12/RVT-UG15"]	RVT-AbiP2/RVT-UG12/RVT-UG15	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiP2/RVT-UG14/RVT-UG12"]	RVT-AbiP2/RVT-UG12/RVT-UG14	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiP2/RVT-UG14/RVT-UG13"]	RVT-AbiP2/RVT-UG13/RVT-UG14	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-AbiP2/RVT-UG14/RVT-UG7"]	RVT-AbiP2/RVT-UG14/RVT-UG7	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs	2	True	12
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-DGRs/RVT-GII"]	RVT-CRISPR/RVT-DGRs/RVT-GII	3	True	35
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-DGRs/RVT-UG2"]	RVT-CRISPR/RVT-DGRs/RVT-UG2	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-DGRs/RVT-UG23"]	RVT-CRISPR/RVT-DGRs/RVT-UG23	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-DGRs/RVT-UG26"]	RVT-CRISPR/RVT-DGRs/RVT-UG26	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-DGRs/RVT-UG28"]	RVT-CRISPR/RVT-DGRs/RVT-UG28	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-DGRs/RVT-UG28b"]	RVT-CRISPR/RVT-DGRs/RVT-UG28b	3	True	5
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-DGRs/RVT-UG9"]	RVT-CRISPR/RVT-DGRs/RVT-UG9	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-G2L"]	RVT-CRISPR/RVT-G2L	2	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-G2L/RVT-GII"]	RVT-CRISPR/RVT-G2L/RVT-GII	3	True	4
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-G2L/RVT-UG17"]	RVT-CRISPR/RVT-G2L/RVT-UG17	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-G2L4"]	RVT-CRISPR/RVT-G2L4	2	True	10
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-G2L4/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs/RVT-G2L4	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-G2L4/RVT-GII"]	RVT-CRISPR/RVT-G2L4/RVT-GII	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-G2Lb/RVT-GII"]	RVT-CRISPR/RVT-G2Lb/RVT-GII	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-G2Lc"]	RVT-CRISPR/RVT-G2Lc	2	True	4
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-G2Lc/RVT-G2L"]	RVT-CRISPR/RVT-G2L/RVT-G2Lc	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII"]	RVT-CRISPR/RVT-GII	2	True	1148
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs/RVT-GII	3	True	44
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-G2L"]	RVT-CRISPR/RVT-G2L/RVT-GII	3	True	7
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-G2L4"]	RVT-CRISPR/RVT-G2L4/RVT-GII	3	True	10
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-G2Lb"]	RVT-CRISPR/RVT-G2Lb/RVT-GII	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-G2Lc"]	RVT-CRISPR/RVT-G2Lc/RVT-GII	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG12"]	RVT-CRISPR/RVT-GII/RVT-UG12	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG17"]	RVT-CRISPR/RVT-GII/RVT-UG17	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG19"]	RVT-CRISPR/RVT-GII/RVT-UG19	3	True	25
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG2"]	RVT-CRISPR/RVT-GII/RVT-UG2	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG21"]	RVT-CRISPR/RVT-GII/RVT-UG21	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG23"]	RVT-CRISPR/RVT-GII/RVT-UG23	3	True	7
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG25"]	RVT-CRISPR/RVT-GII/RVT-UG25	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG26"]	RVT-CRISPR/RVT-GII/RVT-UG26	3	True	5
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG28"]	RVT-CRISPR/RVT-GII/RVT-UG28	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG28b"]	RVT-CRISPR/RVT-GII/RVT-UG28b	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG4"]	RVT-CRISPR/RVT-GII/RVT-UG4	3	True	8
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG7"]	RVT-CRISPR/RVT-GII/RVT-UG7	3	True	6
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG10"]	RVT-CRISPR/RVT-UG10	2	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG10/RVT-UG19"]	RVT-CRISPR/RVT-UG10/RVT-UG19	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG11/RVT-AbiP2"]	RVT-AbiP2/RVT-CRISPR/RVT-UG11	3	True	1
