population	source_database	taxonomy_system	schema_documented_value	n_records
POP-NCRNA	gem	unknown	False	4605
POP-NCRNA	gtdb_archaea	gtdb	True	617
POP-NCRNA	gtdb_bacteria	gtdb	True	83564
POP-NCRNA	mgnify_human_gut	gtdb	True	21650
POP-NCRNA	mgnify_marine	gtdb	True	1875
POP-NCRNA	mgnify_soil	gtdb	True	4356
POP-NCRNA	ncbi_archaea	ncbi	False	1253
POP-NCRNA	ncbi_bacteria	ncbi	False	180561
POP-NCRNA	ncbi_bacteria	unknown	False	1
POP-RT-FAM	gem	unknown	False	22261
POP-RT-FAM	gtdb_archaea	gtdb	True	3093
POP-RT-FAM	gtdb_bacteria	gtdb	True	600156
POP-RT-FAM	mgnify_human_gut	gtdb	True	139494
POP-RT-FAM	mgnify_marine	gtdb	True	7751
POP-RT-FAM	mgnify_soil	gtdb	True	14141
POP-RT-FAM	ncbi_archaea	ncbi	False	7074
POP-RT-FAM	ncbi_bacteria	ncbi	False	2256713
POP-RT-FAM	ncbi_bacteria	unknown	False	5
POP-RT-MULTI	gem	unknown	False	10
POP-RT-MULTI	gtdb_archaea	gtdb	True	254
POP-RT-MULTI	gtdb_bacteria	gtdb	True	399
POP-RT-MULTI	mgnify_human_gut	gtdb	True	2692
POP-RT-MULTI	mgnify_marine	gtdb	True	201
POP-RT-MULTI	mgnify_soil	gtdb	True	1517
POP-RT-MULTI	ncbi_archaea	ncbi	False	841
POP-RT-MULTI	ncbi_bacteria	ncbi	False	3098
