control	expected	observed	result
plus_exact:bt_status	exact	exact	PASS
plus_exact:no_rt_cds_class	has_rt_cds	has_rt_cds	PASS
plus_exact:elig_rt_coords	True	True	PASS
plus_exact:elig_geometry	True	True	PASS
minus_exact:bt_status	exact	exact	PASS
minus_exact:no_rt_cds_class	has_rt_cds	has_rt_cds	PASS
minus_exact:elig_rt_coords	True	True	PASS
minus_exact:elig_geometry	True	True	PASS
alt_start:bt_status	alt_start	alt_start	PASS
alt_start:no_rt_cds_class	has_rt_cds	has_rt_cds	PASS
alt_start:elig_rt_coords	True	True	PASS
code4:bt_status	code4_tga_trp	code4_tga_trp	PASS
code4:no_rt_cds_class	has_rt_cds	has_rt_cds	PASS
code4:elig_rt_coords	True	True	PASS
stop_masked:bt_status	internal_stop_masked	internal_stop_masked	PASS
stop_masked:no_rt_cds_class	has_rt_cds	has_rt_cds	PASS
stop_masked:elig_rt_coords	True	True	PASS
frameshift:bt_status	mismatch	mismatch	PASS
frameshift:no_rt_cds_class	has_rt_cds	has_rt_cds	PASS
frameshift:elig_rt_coords	False	False	PASS
frameshift:elig_geometry	False	False	PASS
strand_flipped:bt_status	matches_opposite_strand	matches_opposite_strand	PASS
strand_flipped:no_rt_cds_class	has_rt_cds	has_rt_cds	PASS
strand_flipped:elig_rt_coords	False	False	PASS
rt_outside:bt_status	not_testable_rt_outside_window	not_testable_rt_outside_window	PASS
rt_outside:no_rt_cds_class	rt_outside_window	rt_outside_window	PASS
rt_outside:elig_rt_coords	False	False	PASS
rt_outside:elig_exact_rt	True	True	PASS
inverted:bt_status	not_testable_window_inverted	not_testable_window_inverted	PASS
inverted:no_rt_cds_class	context_absent_window_inverted	context_absent_window_inverted	PASS
inverted:elig_geometry	False	False	PASS
inverted:elig_exact_rt	True	True	PASS
nortcds_overlap:bt_status	exact	exact	PASS
nortcds_overlap:no_rt_cds_class	no_prodigal_call_bt_verified_overlapping_cds	no_prodigal_call_bt_verified_overlapping_cds	PASS
nortcds_overlap:elig_rt_coords	True	True	PASS
nortcds_overlap:elig_rt_completeness	True	True	PASS
nortcds_nooverlap:bt_status	exact	exact	PASS
nortcds_nooverlap:no_rt_cds_class	no_prodigal_call_bt_verified_no_overlapping_cds	no_prodigal_call_bt_verified_no_overlapping_cds	PASS
nortcds_nooverlap:elig_rt_coords	True	True	PASS
win_len_bad:bt_status	not_testable_window_length_inconsistent	not_testable_window_length_inconsistent	PASS
win_len_bad:no_rt_cds_class	has_rt_cds	has_rt_cds	PASS
win_len_bad:elig_geometry	False	False	PASS
win_len_bad:elig_exact_rt	True	True	PASS
bad_protein:elig_exact_rt	False	False	PASS
bad_protein:elig_rt_coords	False	False	PASS
with_ncrna:bt_status	exact	exact	PASS
with_ncrna:no_rt_cds_class	has_rt_cds	has_rt_cds	PASS
with_ncrna:elig_geometry	True	True	PASS
plus_exact_db2:bt_status	exact	exact	PASS
plus_exact_db2:no_rt_cds_class	has_rt_cds	has_rt_cds	PASS
twin_refseq:bt_status	exact	exact	PASS
twin_genbank:bt_status	exact	exact	PASS
twin_bad_refseq:bt_status	exact	exact	PASS
twin_bad_genbank:bt_status	exact	exact	PASS
conflict_a:bt_status	exact	exact	PASS
conflict_b:bt_status	exact	exact	PASS
multilabel_in_family:bt_status	exact	exact	PASS
multi_file_record:bt_status	exact	exact	PASS
records	24	24	PASS
distinct_raw_records	23	23	PASS
duplicate_line_extra_copies	1	1	PASS
locus_C1_records	3	3	PASS
loci	21	21	PASS
physical_loci	19	19	PASS
twin_identical_window_dna_and_rt	1	1	PASS
twin_disagree	1	1	PASS
collapse_supported_excludes_the_bad_twin	18	18	PASS
locus_with_two_exact_rts	1	1	PASS
ncrna_calls	1	1	PASS
ncrna_seq_hash	6612c0e673bc5b6636f9147556b461347642dcde65d5bc6b39e209d2b6b95af1	6612c0e673bc5b6636f9147556b461347642dcde65d5bc6b39e209d2b6b95af1	PASS
multilabel_records	2	2	PASS
multi_population_records	1	1	PASS
c03_lines	24	24	PASS
c03_distinct_locus_key	21	21	PASS
c03_distinct_exact_rt	5	5	PASS
c03_lines_without_is_rt_gene_true	4	4	PASS
c03_window_inverted	1	1	PASS
c03_rt_not_inside_window	2	2	PASS
