file_label	n_records	n_loci	n_physical_loci	n_exact_rt	n_genomes	n_contigs	records_per_locus	loci_per_exact_rt	records_per_exact_rt
MULTI	9012	8542	8387	7593	4450	7938	1.055	1.125	1.1869
RVT-AbiA	46	42	30	11	42	30	1.0952	3.8182	4.1818
RVT-AbiK	9516	9370	8161	966	7813	8127	1.0156	9.6998	9.8509
RVT-AbiP2	47306	44697	40012	6377	43155	39872	1.0584	7.0091	7.4182
RVT-CRISPR	9711	7355	6437	4047	7127	6374	1.3203	1.8174	2.3996
RVT-CRISPR-like	6776	5715	5115	3168	5252	5071	1.1857	1.804	2.1389
RVT-DGRs	228165	173191	157410	76111	125573	150582	1.3174	2.2755	2.9978
RVT-G2L	38428	38031	31900	1988	37373	31766	1.0104	19.1303	19.33
RVT-G2L4	3055	2760	2000	913	2736	1996	1.1069	3.023	3.3461
RVT-G2Lb	657	641	437	324	617	432	1.025	1.9784	2.0278
RVT-G2Lc	1498	1263	1078	355	1233	1057	1.1861	3.5577	4.2197
RVT-GII	1613901	1525893	1304726	256624	799112	1106698	1.0577	5.946	6.289
RVT-UG1	7729	7393	6029	1725	7354	6022	1.0454	4.2858	4.4806
RVT-UG10	2114	1880	1560	648	1871	1554	1.1245	2.9012	3.2623
RVT-UG11	75673	73555	68378	1292	73339	68324	1.0288	56.9311	58.5704
RVT-UG12	6454	5692	4319	2279	5623	4303	1.1339	2.4976	2.8319
RVT-UG13	2011	1631	1337	929	1614	1331	1.233	1.7557	2.1647
RVT-UG14	2525	2169	1789	881	2108	1762	1.1641	2.462	2.8661
RVT-UG15	15961	15339	13336	3479	14876	13301	1.0406	4.409	4.5878
RVT-UG16	2480	2361	1988	595	2351	1985	1.0504	3.9681	4.1681
RVT-UG17	39508	38354	32851	4702	37418	32654	1.0301	8.157	8.4024
RVT-UG18	2127	2031	1865	299	1307	1269	1.0473	6.7926	7.1137
RVT-UG19	2244	1651	1457	1010	1629	1451	1.3592	1.6347	2.2218
RVT-UG2	46286	42793	36321	8423	41261	35830	1.0816	5.0805	5.4952
RVT-UG20	636	556	446	349	519	445	1.1439	1.5931	1.8223
RVT-UG21	385	315	277	193	314	276	1.2222	1.6321	1.9948
RVT-UG22	952	871	621	484	856	620	1.093	1.7996	1.9669
RVT-UG23	1413	1288	938	697	1271	932	1.097	1.8479	2.0273
RVT-UG24	3389	2670	2313	949	2645	2299	1.2693	2.8135	3.5711
RVT-UG25	559	456	394	216	451	394	1.2259	2.1111	2.588
RVT-UG26	8407	5374	5328	3954	5172	5297	1.5644	1.3591	2.1262
RVT-UG27	6425	5523	4596	1183	5238	4531	1.1633	4.6686	5.4311
RVT-UG28	4413	4144	3070	1158	4057	3047	1.0649	3.5786	3.8109
RVT-UG28b	1969	1603	1360	871	1545	1341	1.2283	1.8404	2.2606
RVT-UG3	39992	38549	33377	5821	36100	33315	1.0374	6.6224	6.8703
RVT-UG4	32526	31720	27183	4705	28576	26374	1.0254	6.7418	6.9131
RVT-UG5	52895	51344	45873	6439	48259	45856	1.0302	7.9739	8.2148
RVT-UG6	1090	882	669	331	882	669	1.2358	2.6647	3.2931
RVT-UG7	18475	17503	14838	3262	16074	14821	1.0555	5.3657	5.6637
RVT-UG8	38721	37297	32164	7261	35014	32098	1.0382	5.1366	5.3327
RVT-UG9	2500	2180	1613	674	2159	1606	1.1468	3.2344	3.7092
Retron	663308	632688	563701	78287	564641	538015	1.0484	8.0816	8.4728
