measure	n_records	n_records_total	unit	denominator
window_inverted	3924	3059700	records	raw_record (RT-anchored)
window_length_inconsistent	3924	3059700	records	raw_record (RT-anchored)
fullseq_empty	3924	3059700	records	raw_record (RT-anchored)
rt_inside_window	3042948	3059700	records	raw_record (RT-anchored)
rt_outside_window	16752	3059700	records	raw_record (RT-anchored)
rt_at_window_edge	132703	3059700	records	raw_record (RT-anchored)
window_starts_at_1	1257560	3059700	records	raw_record (RT-anchored)
frame_disambiguating(window_start>1)	1802140	3059700	records	raw_record (RT-anchored)
clipped_at_contig_end_flag_true	1274192	3059700	records	raw_record (RT-anchored)
clipped_at_contig_start_flag_true(raw, known dead)	0	3059700	records	raw_record (RT-anchored)
true_start_clipped(anchor_center-10000<1)	1253100	3059700	records	raw_record (RT-anchored)
extended_for_cds	2037002	3059700	records	raw_record (RT-anchored)
anchor_interval_equals_rt_gene	3059700	3059700	records	raw_record (RT-anchored)
rt_len_nt_equals_3x_aa	3057222	3059700	records	raw_record (RT-anchored)
rt_interval_invalid	0	3059700	records	raw_record (RT-anchored)
