quantity	value	source_table
recovery_state:RECOVERED	14188	g2b_recovery_classes.tsv
recovery_state:SEQUENCE_ONLY	16688	g2b_recovery_classes.tsv
recovery_state:ILL_POSED	628	g2b_recovery_classes.tsv
class:no_prodigal_call_bt_mismatch	628	g2b_recovery_classes.tsv
class:no_prodigal_call_bt_verified_no_overlapping_cds	162	g2b_recovery_classes.tsv
class:no_prodigal_call_bt_verified_overlapping_cds	14026	g2b_recovery_classes.tsv
class:context_absent_window_inverted	3924	g2b_recovery_classes.tsv
class:rt_outside_window	9128	g2b_recovery_classes.tsv
class:rt_partially_outside_window	3636	g2b_recovery_classes.tsv
representation:rt_beyond_a_contig_end_clipped_window	9128	g2b_representation_classes.tsv
representation:rt_crosses_a_contig_end_clipped_window	3636	g2b_representation_classes.tsv
representation:window_inverted_no_sequence_retrieved	3924	g2b_representation_classes.tsv
independent_translation:RECOVERED	1999/2000 agree, 0 after a frame shift	g2b_independent_translation_check.tsv
independent_translation:CONTROL_has_rt_cds	1999/2000 agree, 0 after a frame shift	g2b_independent_translation_check.tsv
records_keeping_a_usable_RT_sequence	31504	g2b_recovery_classes.tsv
records_with_verified_coordinates	14188	g2b_recovery_classes.tsv
second_count_rows	14	g2b_second_counts.tsv
second_count_disagreements	0	g2b_second_counts.tsv
positive_controls	24	c03_positive_controls.tsv
positive_controls_failed	0	c03_positive_controls.tsv
