population	direction	cds_between_bin	n_placements	n_in_population
ALL	downstream	1-1	34	346722
ALL	downstream	11-20	4	346722
ALL	downstream	2-2	104	346722
ALL	downstream	3-3	299	346722
ALL	downstream	4-5	5051	346722
ALL	downstream	6-10	173	346722
ALL	downstream	<=0	1154	346722
ALL	overlapping	<=0	12338	346722
ALL	upstream	1-1	12463	346722
ALL	upstream	11-20	2	346722
ALL	upstream	2-2	851	346722
ALL	upstream	3-3	252	346722
ALL	upstream	4-5	93	346722
ALL	upstream	6-10	40	346722
ALL	upstream	<=0	313864	346722
ELIGIBLE	downstream	1-1	29	345313
ELIGIBLE	downstream	11-20	4	345313
ELIGIBLE	downstream	2-2	99	345313
ELIGIBLE	downstream	3-3	297	345313
ELIGIBLE	downstream	4-5	5048	345313
ELIGIBLE	downstream	6-10	171	345313
ELIGIBLE	downstream	<=0	1146	345313
ELIGIBLE	overlapping	<=0	12259	345313
ELIGIBLE	upstream	1-1	12444	345313
ELIGIBLE	upstream	11-20	2	345313
ELIGIBLE	upstream	2-2	849	345313
ELIGIBLE	upstream	3-3	251	345313
ELIGIBLE	upstream	4-5	90	345313
ELIGIBLE	upstream	6-10	40	345313
ELIGIBLE	upstream	<=0	312584	345313
CANONICAL	downstream	1-1	29	344154
CANONICAL	downstream	11-20	4	344154
CANONICAL	downstream	2-2	99	344154
CANONICAL	downstream	3-3	295	344154
CANONICAL	downstream	4-5	5033	344154
CANONICAL	downstream	6-10	171	344154
CANONICAL	downstream	<=0	1130	344154
CANONICAL	overlapping	<=0	12124	344154
CANONICAL	upstream	1-1	12398	344154
CANONICAL	upstream	11-20	2	344154
CANONICAL	upstream	2-2	840	344154
CANONICAL	upstream	3-3	249	344154
CANONICAL	upstream	4-5	90	344154
CANONICAL	upstream	6-10	40	344154
CANONICAL	upstream	<=0	311650	344154
ATYPICAL	downstream	3-3	2	1159
ATYPICAL	downstream	4-5	15	1159
ATYPICAL	downstream	<=0	16	1159
ATYPICAL	overlapping	<=0	135	1159
ATYPICAL	upstream	1-1	46	1159
ATYPICAL	upstream	2-2	9	1159
ATYPICAL	upstream	3-3	2	1159
ATYPICAL	upstream	<=0	934	1159
