population	direction	n	median	q25	q75	min	max	n_in_population
ALL	downstream	6819	2682.0	2633.0	2730.0	3.0	9083.0	346722
ALL	overlapping	12338	0.0	0.0	0.0	0.0	0.0	346722
ALL	upstream	327565	-55.0	-1037.0	-27.0	-9287.0	0.0	346722
ELIGIBLE	downstream	6794	2682.0	2633.0	2730.0	3.0	9083.0	345313
ELIGIBLE	overlapping	12259	0.0	0.0	0.0	0.0	0.0	345313
ELIGIBLE	upstream	326260	-55.0	-1037.0	-27.0	-9287.0	0.0	345313
CANONICAL	downstream	6761	2682.0	2633.0	2730.0	10.0	9083.0	344154
CANONICAL	overlapping	12124	0.0	0.0	0.0	0.0	0.0	344154
CANONICAL	upstream	325269	-55.0	-1037.0	-27.0	-9287.0	0.0	344154
ATYPICAL	downstream	33	2622.0	64.0	2634.0	3.0	2730.0	1159
ATYPICAL	overlapping	135	0.0	0.0	0.0	0.0	0.0	1159
ATYPICAL	upstream	991	-34.0	-68.0	0.0	-5752.0	0.0	1159
