nc_seq_hash	n_placements	n_loci	n_species	detection_model	median_signed_distance_bp	n_in_mode	unit	denominator
55b349267d7d36a73ab0e977925126625685788e3bb1c164e752c94774c8509f	3782	3780	8	TypeV	2729.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
6ce4555dc42991a98d8996f2478bcf295737bca1b3ca9618edc0df4ccb94b0a5	1405	1405	3	TypeV	2682.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
3ceb1569c575bf85238fab4afadec48715230812d8202d779dd62cd468f38c32	9	9	1	TypeV	2682.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
1f6d901a29aa56cfaa625ecdc07a8c1ae063c97d82fcc3e793e4c54689acc047	8	5	3	TypeIIIA2	2665.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
da2edfb092467ac4554175c521076939a707c5032dca3fd83fd7b0f30e916add	8	8	1	TypeV	2823.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
c7f15a794b59271eb95d1d47520cbcd52ae1120f720e46f82c948a26fa4db940	5	5	2	TypeV	2632.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
d9371c6f9891bf979b57571d1db3219d9fb0b0768294b997542f0d1c506087bf	3	3	2	TypeV	2634.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
576fdeaa400ae5682f5e7d491fcb72143e31a11962add8230103e764edd01822	3	3	1	TypeV	2730.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
a6714a050073420f76949447798da12c8c39f926c54f878dc0b893e12cee66b0	2	2	1	TypeV	2732.5	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
1051147b1548ab1e097ac4a5716b87e6167d6a530bccc42a8880fa66f351f961	1	1	1	TypeV	2729.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
d7b426bdf6cc47a72f79a2445c70d4d769f3bcd67b0fcaf376748f5ca5e929d4	1	1	1	TypeXIIIC_Mx162	2692.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
6e405b02d28c4c8bfb2a8b2363c8a8b0e6637afce53708ce503c8ece196c704f	1	1	1	TypeXIIIC_Mx162	2672.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
84cbe1a71db13fd4f383a2419c771d0140f46f15f54b532b420085a3eb08daa3	1	1	1	TypeV	2634.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
77e11ae32e80954a6336bb166dbed6ae08e77992c6bb9232e3e29f10be885d76	1	1	1	TypeV	2632.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
15fff6f1925ccd2ca8971299c953b087ce0540aea5c07928eb35890c8777d122	1	1	1	TypeV	2633.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
39a671302060867f7c13c6cff7333e0524a346c2a7b64140ccd4638c9d819b72	1	1	1	TypeV	2731.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
30944cc624214c99941f8419ec10715ff1b0c2dfe89aa87edf65d4d0c92e2dc2	1	1	1	TypeV	2730.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
fbcbf994df30ccc98140343dae88764ba1d1c94b5fdb859e17fa6c487af5d242	1	1	1	TypeIIIA2	2665.0	5234	placements	CANONICAL downstream placements within 150 bp of the median (top 30 sequences)
