file_label	n_placements	n_loci	pct_upstream	pct_downstream	pct_overlapping	median_abs_distance_bp	pct_same_strand	median_cds_between	unit	denominator
MULTI	6	6	50.0	50.0	0.0	8332.5	66.6667	7.5	placements	CANONICAL placements of that family label
RVT-AbiP2	9	8	77.7778	22.2222	0.0	438.0	0.0	0.0	placements	CANONICAL placements of that family label
RVT-CRISPR-like	2	2	100.0	0.0	0.0	8973.0	100.0	6.0	placements	CANONICAL placements of that family label
RVT-DGRs	50	35	40.0	60.0	0.0	2665.0	72.0	2.0	placements	CANONICAL placements of that family label
RVT-G2L4	3	2	0.0	100.0	0.0	142.0	66.6667	0.0	placements	CANONICAL placements of that family label
RVT-GII	134	118	69.403	29.8507	0.7463	3358.0	47.0149	2.0	placements	CANONICAL placements of that family label
RVT-UG10	9	9	33.3333	66.6667	0.0	100.0	33.3333	0.0	placements	CANONICAL placements of that family label
RVT-UG12	4	3	75.0	25.0	0.0	362.0	100.0	0.0	placements	CANONICAL placements of that family label
RVT-UG14	10	7	100.0	0.0	0.0	15.0	100.0	0.0	placements	CANONICAL placements of that family label
RVT-UG15	2	2	0.0	100.0	0.0	2202.0	0.0	2.0	placements	CANONICAL placements of that family label
RVT-UG2	11	11	18.1818	81.8182	0.0	7704.0	100.0	6.0	placements	CANONICAL placements of that family label
RVT-UG23	3	3	100.0	0.0	0.0	2567.0	0.0	1.0	placements	CANONICAL placements of that family label
RVT-UG26	10	7	0.0	100.0	0.0	4451.0	80.0	3.0	placements	CANONICAL placements of that family label
RVT-UG3	2	2	100.0	0.0	0.0	243.0	100.0	0.0	placements	CANONICAL placements of that family label
RVT-UG5	2	2	0.0	100.0	0.0	2271.0	100.0	3.0	placements	CANONICAL placements of that family label
RVT-UG7	2	1	100.0	0.0	0.0	566.0	100.0	0.0	placements	CANONICAL placements of that family label
RVT-UG8	3	3	0.0	100.0	0.0	8495.0	100.0	10.0	placements	CANONICAL placements of that family label
Retron	343892	332769	94.541	1.9337	3.5252	52.0	99.1477	0.0	placements	CANONICAL placements of that family label
