detection_model	file_label	n_placements	n_loci	n_exact_ncrna	median_signed_distance_bp	unit	denominator
TypeIA_IIAI	Retron	149824	148868	1985	-1037.0	placements	CANONICAL placements of that model and family
TypeIC1_IC2	Retron	61583	60208	2003	-31.0	placements	CANONICAL placements of that model and family
Ec107_like	Retron	36332	33395	1940	-37.0	placements	CANONICAL placements of that model and family
TypeIB2	Retron	34985	34691	290	0.0	placements	CANONICAL placements of that model and family
OutgroupA	Retron	10851	9632	3291	-27.0	placements	CANONICAL placements of that model and family
TypeV	Retron	9929	9831	205	2633.0	placements	CANONICAL placements of that model and family
TypeIV	Retron	7817	7702	285	-25.0	placements	CANONICAL placements of that model and family
TypeIIIA3	Retron	4934	4700	720	0.0	placements	CANONICAL placements of that model and family
TypeXIIIB_Ne144	Retron	4413	3703	1499	-48.0	placements	CANONICAL placements of that model and family
TypeIB1	Retron	4399	4236	569	-72.0	placements	CANONICAL placements of that model and family
TypeXIIIA_firmi	Retron	4147	2688	469	-4711.0	placements	CANONICAL placements of that model and family
TypeIIIA2	Retron	3182	2953	390	-8.0	placements	CANONICAL placements of that model and family
TypeIIA3_proteo	Retron	2420	2286	188	-7.0	placements	CANONICAL placements of that model and family
TypeIIA3_firmi	Retron	2280	1985	250	0.0	placements	CANONICAL placements of that model and family
OutgroupB	Retron	2005	1894	329	-25.0	placements	CANONICAL placements of that model and family
TypeIIIA1	Retron	1636	1342	430	-84.0	placements	CANONICAL placements of that model and family
TypeXIIIC_Mx162	Retron	994	819	382	-57.0	placements	CANONICAL placements of that model and family
TypeIX	Retron	887	810	219	-2.0	placements	CANONICAL placements of that model and family
TypeXIII_Mx65	Retron	851	679	384	-32.0	placements	CANONICAL placements of that model and family
TypeIB2_firmi	Retron	349	308	58	-70.0	placements	CANONICAL placements of that model and family
TypeIIA2	Retron	74	54	20	0.0	placements	CANONICAL placements of that model and family
OutgroupA	RVT-GII	37	33	15	-429.0	placements	CANONICAL placements of that model and family
