population	multiplicity_class	n_placements	n_in_population
ALL	distinct_sequences	174	346722
ALL	duplicate_call_within_one_record	192	346722
ALL	same_call_from_another_record_of_the_same_locus	24770	346722
ALL	same_sequence_other_coordinates	24	346722
ALL	single_call	321562	346722
ELIGIBLE	distinct_sequences	174	345313
ELIGIBLE	duplicate_call_within_one_record	190	345313
ELIGIBLE	same_call_from_another_record_of_the_same_locus	23469	345313
ELIGIBLE	same_sequence_other_coordinates	24	345313
ELIGIBLE	single_call	321456	345313
CANONICAL	distinct_sequences	164	344154
CANONICAL	same_call_from_another_record_of_the_same_locus	23311	344154
CANONICAL	same_sequence_other_coordinates	24	344154
CANONICAL	single_call	320655	344154
ATYPICAL	distinct_sequences	10	1159
ATYPICAL	duplicate_call_within_one_record	190	1159
ATYPICAL	same_call_from_another_record_of_the_same_locus	158	1159
ATYPICAL	single_call	801	1159
