population	overlaps_rt	overlaps_any_cds	n_placements	n_in_population
ALL	False	False	279399	346722
ALL	False	True	54985	346722
ALL	True	False	315	346722
ALL	True	True	12023	346722
ELIGIBLE	False	False	279154	345313
ELIGIBLE	False	True	53900	345313
ELIGIBLE	True	False	281	345313
ELIGIBLE	True	True	11978	345313
CANONICAL	False	False	278573	344154
CANONICAL	False	True	53457	344154
CANONICAL	True	False	275	344154
CANONICAL	True	True	11849	344154
ATYPICAL	False	False	581	1159
ATYPICAL	False	True	443	1159
ATYPICAL	True	False	6	1159
ATYPICAL	True	True	129	1159
