labels	best_family	n_exact_rt	median_margin_bits	n_best_in_labels	unit	denominator
RVT-CRISPR/RVT-GII	RVT-GII	3429	7.1	3429	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII	RVT-CRISPR	905	2.7	905	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-DGRs/RVT-GII	RVT-GII	224	5.4	224	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-DGRs/RVT-GII	RVT-DGRs	162	3.3	162	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-DGRs/RVT-GII	RVT-GII	148	7.7	148	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-DGRs/RVT-GII	RVT-DGRs	86	7.5	86	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-DGRs/RVT-GII	RVT-CRISPR	71	3.2	71	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG7	RVT-GII	66	9.850000000000001	66	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-GII/RVT-UG3	RVT-GII	65	14.1	65	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG12	RVT-GII	64	10.45	64	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG19	RVT-GII	61	3.4	61	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-DGRs	RVT-DGRs	48	7.25	48	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-AbiK/RVT-UG12/RVT-UG15	RVT-UG12	33	7.6	33	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-UG23/RVT-UG7	RVT-UG23	31	5.8	31	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-UG11/RVT-UG20	RVT-UG20	30	1.3	30	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-UG12/RVT-UG15/RVT-UG7	RVT-UG12	30	7.55	30	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-DGRs/RVT-GII/RVT-UG4	RVT-DGRs	29	9.7	29	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG23	RVT-UG23	28	2.8499999999999996	28	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG4	RVT-GII	25	3.9	25	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG19	RVT-CRISPR	24	0.5	24	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-G2Lc/RVT-GII	RVT-GII	23	1.5	23	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-AbiK/RVT-UG12/RVT-UG15	RVT-UG15	22	7.1	22	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-GII/RVT-UG18/RVT-UG4	RVT-GII	20	14.75	20	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-UG12/RVT-UG14/RVT-UG15	RVT-UG12	20	5.5	20	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG19	RVT-UG19	19	3.0	19	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-UG21/RVT-UG23/RVT-UG7	RVT-UG23	18	6.6	18	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-GII/RVT-UG18	RVT-GII	18	12.15	18	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-GII/RVT-UG4	RVT-GII	17	2.8	17	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG28	RVT-GII	16	2.5999999999999996	16	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-UG23/RVT-UG7	RVT-UG7	16	6.4	16	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-UG21/RVT-UG26/RVT-UG7	RVT-UG21	15	0.6	15	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-GII/RVT-UG26	RVT-GII	15	4.3	15	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-DGRs/RVT-UG17/RVT-UG26	RVT-UG26	14	1.75	14	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-DGRs/RVT-UG4	RVT-DGRs	14	9.100000000000001	14	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-DGRs/RVT-UG28b	RVT-CRISPR	14	1.55	14	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG4	RVT-CRISPR	13	1.7	13	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-DGRs/RVT-UG17	RVT-DGRs	13	9.9	13	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-G2L4/RVT-GII	RVT-GII	13	2.0	13	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-G2L4/RVT-UG19	RVT-G2L4	13	3.0	13	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-UG11/RVT-UG20	RVT-UG11	12	1.2999999999999998	12	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-DGRs/RVT-UG28b	RVT-DGRs	12	2.15	12	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-GII/RVT-UG28	RVT-UG28	12	1.7999999999999998	12	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG18	RVT-GII	12	12.149999999999999	12	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-DGRs	RVT-CRISPR	12	2.7	12	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG28	RVT-UG28	12	1.3	12	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG26	RVT-GII	12	12.2	12	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-GII/RVT-UG21/RVT-UG7	RVT-GII	11	3.0	11	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-G2L/RVT-GII	RVT-GII	11	3.9	11	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-DGRs/RVT-UG28b	RVT-UG28b	11	1.6	11	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-UG19	RVT-CRISPR	11	2.8	11	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-UG26	RVT-CRISPR	10	2.25	10	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-GII/RVT-UG7	RVT-GII	10	7.3	10	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-DGRs/RVT-UG17/RVT-UG26	RVT-DGRs	10	2.55	10	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-G2L4	RVT-CRISPR	10	3.05	10	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG17	RVT-GII	10	2.3	10	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-CRISPR/RVT-GII/RVT-UG26	RVT-CRISPR	10	3.85	10	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-DGRs/RVT-GII/RVT-UG17	RVT-DGRs	10	7.2	10	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-UG12/RVT-UG15/RVT-UG8	RVT-UG12	10	13.95	10	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-GII/RVT-UG12/RVT-UG15	RVT-GII	10	8.25	10	exact RT sequences	V-RT-MULTI exact RTs with that label set
RVT-AbiP2/RVT-UG12/RVT-UG14	RVT-UG12	10	11.5	10	exact RT sequences	V-RT-MULTI exact RTs with that label set
