family_label	detection_model	n_exact_ncrna	median_len	median_score	unit	denominator
Retron	OutgroupA	3303	129.0	58.9	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIA_IIAI	2100	159.0	89.0	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIC1_IC2	2031	134.0	45.9	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	Ec107_like	2020	183.0	74.6	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeXIIIB_Ne144	1532	224.0	122.05	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIIIA3	730	264.0	47.45	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIB1	570	147.0	46.25	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeXIIIA_firmi	496	200.0	51.150000000000006	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIIIA1	434	137.0	52.85	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeXIIIC_Mx162	412	255.0	207.2	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIIIA2	397	208.0	72.7	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeXIII_Mx65	388	151.0	77.6	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	OutgroupB	333	139.0	118.1	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIB2	320	167.0	91.0	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIV	283	94.0	64.1	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIIA3_firmi	253	187.0	116.2	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIX	222	138.0	91.0	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeV	218	188.0	82.5	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIIA3_proteo	193	157.0	112.9	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIB2_firmi	59	161.0	58.2	exact ncRNA sequences	exact ncRNA sequences of that family label and model
Retron	TypeIIA2	53	90.0	47.1	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-GII	OutgroupA	15	121.0	30.1	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-GII	TypeXIIIC_Mx162	10	120.0	29.450000000000003	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-DGRs	TypeIIA2	5	124.0	29.1	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-GII	TypeIIA3_firmi	5	159.0	38.2	exact ncRNA sequences	exact ncRNA sequences of that family label and model
