family_label	side	n_outliers	median_aa_len	min_aa_len	max_aa_len	n_exact_rt	unit	denominator
RVT-AbiP2	above	61	1019.0	753	2129	6377	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-AbiP2	below	72	91.5	42	124	6377	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-CRISPR	above	2	1841.0	1595	2087	4035	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-CRISPR-like	above	103	1042.0	872	2330	3156	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-DGRs	above	2489	635.0	537	5001	76111	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-DGRs	below	6487	146.0	30	183	76111	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-G2L	above	3	1170.0	667	1331	1988	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-G2L4	above	49	580.0	517	1432	913	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-G2L4	below	139	244.0	46	319	913	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-G2Lb	above	17	645.0	408	1566	324	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-G2Lb	below	26	120.0	51	165	324	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-G2Lc	above	21	845.0	540	1321	355	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-G2Lc	below	50	210.5	37	263	355	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-GII	above	2092	1019.0	810	10449	256624	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG11	above	75	637.0	332	2780	1292	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG11	below	102	106.5	33	136	1292	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG12	above	45	682.0	671	1021	2279	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG12	below	312	292.5	61	385	2279	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG13	below	16	127.0	80	170	929	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG14	above	6	876.0	607	2097	881	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG14	below	141	284.0	42	370	881	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG15	above	17	906.0	808	1157	3479	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG15	below	34	100.5	76	134	3479	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG16	above	3	891.0	726	1455	595	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG16	below	15	139.0	46	170	595	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG17	above	21	927.0	716	1325	4702	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG18	above	5	1069.0	746	1531	299	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG19	above	24	1048.0	1027	1522	1010	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG19	below	97	218.0	52	301	1010	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG2	above	62	912.5	736	1499	8423	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG2	below	1	31.0	31	31	8423	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG20	above	24	1192.0	890	1969	349	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG20	below	3	49.0	42	51	349	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG21	above	6	847.0	683	1177	193	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG21	below	19	264.0	75	300	193	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG22	above	16	614.0	600	745	484	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG22	below	69	300.0	52	409	484	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG23	above	65	638.0	618	1559	697	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG23	below	108	276.5	38	370	697	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG25	below	8	110.0	64	193	216	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG26	above	380	462.0	436	2221	3954	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG26	below	625	262.0	41	375	3954	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG27	above	128	565.0	466	1520	1183	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG27	below	255	235.0	37	353	1183	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG28	above	7	987.0	666	1521	1158	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG28	below	151	148.0	42	254	1158	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG28b	above	9	772.0	711	1014	871	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG28b	below	144	300.0	62	409	871	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG3	above	35	762.0	619	3794	5821	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG3	below	86	101.5	37	125	5821	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG4	above	582	693.0	602	2687	4705	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG6	above	5	1325.0	1258	1329	331	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG6	below	67	589.0	91	826	331	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG7	above	27	748.0	648	1730	3262	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG7	below	506	297.0	66	372	3262	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG8	above	6	1241.5	1179	2473	7261	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG9	above	110	795.0	741	1274	674	exact RT sequences	V-RT-SINGLE exact RTs of that family label
RVT-UG9	below	83	281.0	27	417	674	exact RT sequences	V-RT-SINGLE exact RTs of that family label
Retron	above	1550	842.0	672	9260	78287	exact RT sequences	V-RT-SINGLE exact RTs of that family label
Retron	below	102	46.5	26	59	78287	exact RT sequences	V-RT-SINGLE exact RTs of that family label
