check	scope	route_a	value_a	route_b	value_b	delta_a_minus_b	agreement
distinct_exact_rt_per_label	MULTI	b01 (parquet)	7593	c03 (awk + sort -u)	7593	0	AGREE
min_aa_len_per_label	MULTI	b01 (parquet)	21	c03 (awk + sort -u)	21	0	AGREE
max_aa_len_per_label	MULTI	b01 (parquet)	3960	c03 (awk + sort -u)	3960	0	AGREE
distinct_exact_rt_per_label	RVT-AbiA	b01 (parquet)	11	c03 (awk + sort -u)	11	0	AGREE
min_aa_len_per_label	RVT-AbiA	b01 (parquet)	46	c03 (awk + sort -u)	46	0	AGREE
max_aa_len_per_label	RVT-AbiA	b01 (parquet)	514	c03 (awk + sort -u)	514	0	AGREE
distinct_exact_rt_per_label	RVT-AbiK	b01 (parquet)	966	c03 (awk + sort -u)	966	0	AGREE
min_aa_len_per_label	RVT-AbiK	b01 (parquet)	39	c03 (awk + sort -u)	39	0	AGREE
max_aa_len_per_label	RVT-AbiK	b01 (parquet)	907	c03 (awk + sort -u)	907	0	AGREE
distinct_exact_rt_per_label	RVT-AbiP2	b01 (parquet)	6377	c03 (awk + sort -u)	6377	0	AGREE
min_aa_len_per_label	RVT-AbiP2	b01 (parquet)	42	c03 (awk + sort -u)	42	0	AGREE
max_aa_len_per_label	RVT-AbiP2	b01 (parquet)	2129	c03 (awk + sort -u)	2129	0	AGREE
distinct_exact_rt_per_label	RVT-CRISPR	b01 (parquet)	4047	c03 (awk + sort -u)	4047	0	AGREE
min_aa_len_per_label	RVT-CRISPR	b01 (parquet)	42	c03 (awk + sort -u)	42	0	AGREE
max_aa_len_per_label	RVT-CRISPR	b01 (parquet)	2087	c03 (awk + sort -u)	2087	0	AGREE
distinct_exact_rt_per_label	RVT-CRISPR-like	b01 (parquet)	3168	c03 (awk + sort -u)	3168	0	AGREE
min_aa_len_per_label	RVT-CRISPR-like	b01 (parquet)	22	c03 (awk + sort -u)	22	0	AGREE
max_aa_len_per_label	RVT-CRISPR-like	b01 (parquet)	2330	c03 (awk + sort -u)	2330	0	AGREE
distinct_exact_rt_per_label	RVT-DGRs	b01 (parquet)	76111	c03 (awk + sort -u)	76111	0	AGREE
min_aa_len_per_label	RVT-DGRs	b01 (parquet)	30	c03 (awk + sort -u)	30	0	AGREE
max_aa_len_per_label	RVT-DGRs	b01 (parquet)	5001	c03 (awk + sort -u)	5001	0	AGREE
distinct_exact_rt_per_label	RVT-G2L	b01 (parquet)	1988	c03 (awk + sort -u)	1988	0	AGREE
min_aa_len_per_label	RVT-G2L	b01 (parquet)	43	c03 (awk + sort -u)	43	0	AGREE
max_aa_len_per_label	RVT-G2L	b01 (parquet)	1331	c03 (awk + sort -u)	1331	0	AGREE
distinct_exact_rt_per_label	RVT-G2L4	b01 (parquet)	913	c03 (awk + sort -u)	913	0	AGREE
min_aa_len_per_label	RVT-G2L4	b01 (parquet)	46	c03 (awk + sort -u)	46	0	AGREE
max_aa_len_per_label	RVT-G2L4	b01 (parquet)	1432	c03 (awk + sort -u)	1432	0	AGREE
distinct_exact_rt_per_label	RVT-G2Lb	b01 (parquet)	324	c03 (awk + sort -u)	324	0	AGREE
min_aa_len_per_label	RVT-G2Lb	b01 (parquet)	51	c03 (awk + sort -u)	51	0	AGREE
max_aa_len_per_label	RVT-G2Lb	b01 (parquet)	1566	c03 (awk + sort -u)	1566	0	AGREE
distinct_exact_rt_per_label	RVT-G2Lc	b01 (parquet)	355	c03 (awk + sort -u)	355	0	AGREE
min_aa_len_per_label	RVT-G2Lc	b01 (parquet)	37	c03 (awk + sort -u)	37	0	AGREE
max_aa_len_per_label	RVT-G2Lc	b01 (parquet)	1321	c03 (awk + sort -u)	1321	0	AGREE
distinct_exact_rt_per_label	RVT-GII	b01 (parquet)	256624	c03 (awk + sort -u)	256624	0	AGREE
