taxonomy_system	tax_genus	n_records	n_loci	n_exact_rt	n_genomes	pct_of_records	pct_of_loci	pct_of_exact_rt	records_per_exact_rt	unit	denominator
ncbi	Escherichia	452196	452196	28374	224517	20.0637	20.0637	6.4768	15.937	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Salmonella	375487	375487	14647	288108	16.6602	16.6602	3.3434	25.636	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Klebsiella	250361	250361	13504	101242	11.1084	11.1084	3.0825	18.54	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	uncultured	118676	118676	74986	65523	5.2656	5.2656	17.1168	1.583	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Streptococcus	116106	116106	9563	79905	5.1516	5.1516	2.1829	12.141	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Enterococcus	103727	103727	3682	38137	4.6023	4.6023	0.8405	28.171	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Shigella	83609	83609	2455	28803	3.7097	3.7097	0.5604	34.057	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Pseudomonas	78358	78358	8970	36328	3.4767	3.4767	2.0475	8.736	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Escherichia	72630	72630	9166	34435	9.4566	9.4566	2.8685	7.924	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Staphylococcus	64633	64633	6128	41016	2.8677	2.8677	1.3988	10.547	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Klebsiella	60940	60940	5694	24423	7.9346	7.9346	1.7819	10.702	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Bacteroides	41437	41437	12872	14816	5.3952	5.3952	4.0283	3.219	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Acinetobacter	39769	39769	3787	35292	1.7645	1.7645	0.8644	10.501	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Vibrio	36705	36705	7802	22775	1.6286	1.6286	1.7809	4.705	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Listeria	35901	35901	3513	31735	1.5929	1.5929	0.8019	10.219	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Bacillus	28798	28798	6138	7578	1.2778	1.2778	1.4011	4.692	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Bacteroides	28170	28170	5767	7729	1.2499	1.2499	1.3164	4.885	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
