taxonomy_system	tax_species	n_records	n_loci	n_exact_rt	n_genomes	pct_of_records	pct_of_loci	pct_of_exact_rt	records_per_exact_rt	unit	denominator
ncbi	Escherichia_coli	450012	450012	28018	223292	19.9668	19.9668	6.0929	16.062	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Salmonella_enterica	374314	374314	14600	287237	16.6081	16.6081	3.175	25.638	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Klebsiella_pneumoniae	237525	237525	11705	94201	10.5389	10.5389	2.5454	20.293	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Enterococcus_faecium	93651	93651	2173	31734	4.1552	4.1552	0.4726	43.098	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Streptococcus_pneumoniae	88282	88282	4881	60929	3.917	3.917	1.0614	18.087	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Shigella_flexneri	66438	66438	1250	22472	2.9478	2.9478	0.2718	53.15	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Escherichia_coli	64713	64713	7193	30099	8.5688	8.5688	2.2098	8.997	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Pseudomonas_aeruginosa	63603	63603	2996	29898	2.822	2.822	0.6515	21.229	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Klebsiella_pneumoniae	55027	55027	4466	21255	7.2862	7.2862	1.372	12.321	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Staphylococcus_aureus	47169	47169	1845	33850	2.0929	2.0929	0.4012	25.566	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Acinetobacter_baumannii	36807	36807	2550	33362	1.6331	1.6331	0.5545	14.434	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Listeria_monocytogenes	34360	34360	3119	30746	1.5245	1.5245	0.6783	11.016	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	uncultured_Lachnospiraceae	16408	16408	7539	8749	0.728	0.728	1.6395	2.176	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Clostridioides_difficile	15508	15508	1261	11102	0.6881	0.6881	0.2742	12.298	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Streptococcus_agalactiae	15337	15337	1540	10678	0.6805	0.6805	0.3349	9.959	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Pseudomonas_aeruginosa	14630	14630	1242	6628	1.9372	1.9372	0.3816	11.779	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Staphylococcus_pseudintermedius	14582	14582	3626	4855	0.647	0.647	0.7885	4.022	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Shigella_sonnei	14389	14389	1169	4903	0.6384	0.6384	0.2542	12.309	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Vibrio_cholerae	13363	13363	1168	11475	0.5929	0.5929	0.254	11.441	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Salmonella_enterica	12786	12786	862	10279	1.693	1.693	0.2648	14.833	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Streptococcus_pneumoniae	12717	12717	1524	8377	1.6839	1.6839	0.4682	8.344	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Legionella_pneumophila	11690	11690	535	6240	0.5187	0.5187	0.1163	21.85	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Bacillus_cereus	10672	10672	2174	2628	0.4735	0.4735	0.4728	4.909	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Enterobacter_hormaechei	9792	9792	1248	6071	0.4345	0.4345	0.2714	7.846	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Enterococcus_B_faecium	9259	9259	756	3100	1.226	1.226	0.2323	12.247	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Phocaeicola_dorei	8891	8891	4326	4060	1.1773	1.1773	1.329	2.055	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
