subtypes_defensefinder	subtypes_padloc	n_records	n_loci	unit	denominator
Retron_II	retron_II-A	179027	177395	records	Retron records where the two tools disagree (top 60)
Retron_III	retron_III-A	19696	18922	records	Retron records where the two tools disagree (top 60)
Retron_XII	retron_I-C|retron_XII	3440	3358	records	Retron records where the two tools disagree (top 60)
Retron_I_C	retron_I-C|retron_XII	818	598	records	Retron records where the two tools disagree (top 60)
Retron_VII_1	retron_VII-A1	357	306	records	Retron records where the two tools disagree (top 60)
Retron_III	retron_III-A|retron_Ec107-like	247	202	records	Retron records where the two tools disagree (top 60)
Retron_I_A	retron_III-A	211	206	records	Retron records where the two tools disagree (top 60)
Retron_III	retron_Ec107-like	198	166	records	Retron records where the two tools disagree (top 60)
Retron_II	retron_I-B|retron_II-A	163	157	records	Retron records where the two tools disagree (top 60)
Retron_VII_2	retron_I-B	143	142	records	Retron records where the two tools disagree (top 60)
Retron_I_C	retron_XI	124	100	records	Retron records where the two tools disagree (top 60)
Retron_XII	retron_XI	116	91	records	Retron records where the two tools disagree (top 60)
Retron_VII_2	retron_VI	93	91	records	Retron records where the two tools disagree (top 60)
Retron_XII	retron_I-C	84	76	records	Retron records where the two tools disagree (top 60)
Retron_VII_2	retron_VII-A2	56	50	records	Retron records where the two tools disagree (top 60)
Retron_VII_2	retron_II-A	55	46	records	Retron records where the two tools disagree (top 60)
Retron_VII_2	retron_III-A	47	42	records	Retron records where the two tools disagree (top 60)
Retron_I_A	retron_Ec107-like	40	36	records	Retron records where the two tools disagree (top 60)
Retron_VII_2	retron_IX	38	38	records	Retron records where the two tools disagree (top 60)
Retron_XIII	retron_outgroup	36	24	records	Retron records where the two tools disagree (top 60)
Retron_VII_2	retron_Ec107-like	29	23	records	Retron records where the two tools disagree (top 60)
Retron_I_A	retron_VI	29	26	records	Retron records where the two tools disagree (top 60)
Retron_XI	retron_XI|retron_XII	28	19	records	Retron records where the two tools disagree (top 60)
Retron_XIII	retron_XIII|retron_outgroup	27	17	records	Retron records where the two tools disagree (top 60)
Retron_I_A	retron_V	25	25	records	Retron records where the two tools disagree (top 60)
Retron_VI	retron_I-B	17	16	records	Retron records where the two tools disagree (top 60)
Retron_I_A	retron_II-A	17	15	records	Retron records where the two tools disagree (top 60)
Retron_VII_2	retron_V	15	15	records	Retron records where the two tools disagree (top 60)
Retron_I_A	retron_I-B	12	11	records	Retron records where the two tools disagree (top 60)
Retron_II	retron_V|retron_II-A	9	9	records	Retron records where the two tools disagree (top 60)
Retron_I_A	retron_VIII	9	9	records	Retron records where the two tools disagree (top 60)
Retron_III	retron_I-B	7	6	records	Retron records where the two tools disagree (top 60)
Retron_V	retron_I-B	6	6	records	Retron records where the two tools disagree (top 60)
Retron_I_A	retron_XIII	6	5	records	Retron records where the two tools disagree (top 60)
Retron_V	retron_IV	6	6	records	Retron records where the two tools disagree (top 60)
Retron_II	retron_II-A|retron_I-B	6	5	records	Retron records where the two tools disagree (top 60)
Retron_VII_1	retron_I-C|retron_VII-A1	6	3	records	Retron records where the two tools disagree (top 60)
Retron_V	retron_II-A	6	5	records	Retron records where the two tools disagree (top 60)
Retron_VI	retron_IX	5	5	records	Retron records where the two tools disagree (top 60)
Retron_XI	retron_XII	5	3	records	Retron records where the two tools disagree (top 60)
Retron_VII_1	retron_VII-A2	4	4	records	Retron records where the two tools disagree (top 60)
Retron_I_A	retron_outgroup	4	2	records	Retron records where the two tools disagree (top 60)
Retron_I_A	retron_V|retron_I-A	4	4	records	Retron records where the two tools disagree (top 60)
Retron_XI	retron_I-C|retron_XI	4	3	records	Retron records where the two tools disagree (top 60)
Retron_VII_2	retron_outgroup	4	2	records	Retron records where the two tools disagree (top 60)
Retron_VI	retron_Ec107-like	3	2	records	Retron records where the two tools disagree (top 60)
Retron_XII	retron_V	2	1	records	Retron records where the two tools disagree (top 60)
Retron_VI	retron_V	2	2	records	Retron records where the two tools disagree (top 60)
Retron_VII_2	retron_XIII	2	1	records	Retron records where the two tools disagree (top 60)
Retron_II	retron_I-B	2	2	records	Retron records where the two tools disagree (top 60)
Retron_VI	retron_III-A	2	2	records	Retron records where the two tools disagree (top 60)
Retron_IX	retron_II-A	2	2	records	Retron records where the two tools disagree (top 60)
Retron_II	retron_II-A|retron_III-A	2	2	records	Retron records where the two tools disagree (top 60)
Retron_II	retron_II-A|retron_V	2	2	records	Retron records where the two tools disagree (top 60)
Retron_III	retron_I-B|retron_III-A	2	2	records	Retron records where the two tools disagree (top 60)
Retron_III	retron_V	2	2	records	Retron records where the two tools disagree (top 60)
Retron_III	retron_XIII	2	1	records	Retron records where the two tools disagree (top 60)
Retron_IV	retron_I-B	2	2	records	Retron records where the two tools disagree (top 60)
Retron_IV	retron_I-B|retron_IV	2	2	records	Retron records where the two tools disagree (top 60)
Retron_IX	retron_I-B	2	2	records	Retron records where the two tools disagree (top 60)
