subtype_label	n_records	n_loci	n_exact_rt	tool	n_records_with_this_tools_subtype	unit	denominator
retron_II-A	179616	177925	4557	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-C	56462	55156	4400	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-B	44952	44009	2171	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_III-A	41478	39907	4981	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_Ec107-like	34110	31497	3200	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-A	23677	23396	1136	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_XII	14952	14741	656	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_outgroup	12631	11371	4631	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_V	9949	9865	633	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_IV	9678	9530	840	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_VI	7357	6975	1281	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_XI	5856	5357	1419	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_XIII	5688	4902	2689	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-C|retron_XII	4258	3955	538	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_IX	810	749	204	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_VII-A2	467	415	188	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_VII-A1	357	306	143	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_X	325	244	114	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_VIII	261	251	50	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_III-A|retron_Ec107-like	252	207	56	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-B|retron_II-A	163	157	13	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_V|retron_Ec107-like	41	35	14	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-B|retron_Ec107-like	38	37	5	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_XI|retron_XII	28	19	12	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_XIII|retron_outgroup	27	17	9	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_V|retron_II-A	9	9	4	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-C|retron_VII-A1	6	3	3	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_II-A|retron_I-B	6	5	3	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-C|retron_XI	4	3	3	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_V|retron_I-A	4	4	1	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-B|retron_III-A	2	2	1	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-C|retron_XI|retron_XII	2	2	2	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-A|retron_V	2	2	1	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_VII-A2|retron_VIII	2	2	1	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_II-A|retron_III-A	2	2	1	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_II-A|retron_V	2	2	1	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
retron_I-B|retron_IV	2	2	1	PADLOC	453476	records	Retron records carrying a PADLOC-style subtype
