source_database	detected_by_set	n_records	n_loci	unit	denominator
gem	DefenseFinder	33	33	records	Retron records of that source_database
gem	PADLOC	139	139	records	Retron records of that source_database
gem	PADLOC|DefenseFinder	37	37	records	Retron records of that source_database
gem	myRT	1121	1121	records	Retron records of that source_database
gem	myRT|DefenseFinder	701	701	records	Retron records of that source_database
gem	myRT|PADLOC	534	534	records	Retron records of that source_database
gem	myRT|PADLOC|DefenseFinder	1011	1011	records	Retron records of that source_database
gtdb_archaea	myRT	128	128	records	Retron records of that source_database
gtdb_archaea	myRT|DefenseFinder	10	10	records	Retron records of that source_database
gtdb_archaea	myRT|PADLOC	1	1	records	Retron records of that source_database
gtdb_archaea	myRT|PADLOC|DefenseFinder	6	6	records	Retron records of that source_database
gtdb_bacteria	DefenseFinder	1398	1398	records	Retron records of that source_database
gtdb_bacteria	PADLOC	4134	4134	records	Retron records of that source_database
gtdb_bacteria	PADLOC|DefenseFinder	2604	2604	records	Retron records of that source_database
gtdb_bacteria	myRT	23084	23084	records	Retron records of that source_database
gtdb_bacteria	myRT|DefenseFinder	16384	16384	records	Retron records of that source_database
gtdb_bacteria	myRT|PADLOC	13873	13873	records	Retron records of that source_database
gtdb_bacteria	myRT|PADLOC|DefenseFinder	43421	43421	records	Retron records of that source_database
mgnify_human_gut	DefenseFinder	1353	1353	records	Retron records of that source_database
mgnify_human_gut	PADLOC	3006	3006	records	Retron records of that source_database
mgnify_human_gut	PADLOC|DefenseFinder	2198	2198	records	Retron records of that source_database
mgnify_human_gut	myRT	9251	9251	records	Retron records of that source_database
mgnify_human_gut	myRT|DefenseFinder	1820	1820	records	Retron records of that source_database
mgnify_human_gut	myRT|PADLOC	3295	3295	records	Retron records of that source_database
mgnify_human_gut	myRT|PADLOC|DefenseFinder	3979	3979	records	Retron records of that source_database
mgnify_marine	DefenseFinder	171	171	records	Retron records of that source_database
mgnify_marine	PADLOC	228	228	records	Retron records of that source_database
mgnify_marine	PADLOC|DefenseFinder	377	377	records	Retron records of that source_database
mgnify_marine	myRT	698	698	records	Retron records of that source_database
mgnify_marine	myRT|DefenseFinder	218	218	records	Retron records of that source_database
mgnify_marine	myRT|PADLOC	154	154	records	Retron records of that source_database
mgnify_marine	myRT|PADLOC|DefenseFinder	612	612	records	Retron records of that source_database
mgnify_soil	DefenseFinder	79	79	records	Retron records of that source_database
mgnify_soil	PADLOC	185	185	records	Retron records of that source_database
mgnify_soil	PADLOC|DefenseFinder	136	136	records	Retron records of that source_database
mgnify_soil	myRT	500	500	records	Retron records of that source_database
mgnify_soil	myRT|DefenseFinder	148	148	records	Retron records of that source_database
mgnify_soil	myRT|PADLOC	318	318	records	Retron records of that source_database
mgnify_soil	myRT|PADLOC|DefenseFinder	232	232	records	Retron records of that source_database
ncbi_archaea	DefenseFinder	2	2	records	Retron records of that source_database
ncbi_archaea	PADLOC	1	1	records	Retron records of that source_database
ncbi_archaea	myRT	304	304	records	Retron records of that source_database
ncbi_archaea	myRT|DefenseFinder	38	38	records	Retron records of that source_database
ncbi_archaea	myRT|PADLOC	2	2	records	Retron records of that source_database
ncbi_archaea	myRT|PADLOC|DefenseFinder	20	20	records	Retron records of that source_database
ncbi_bacteria	DefenseFinder	5693	5693	records	Retron records of that source_database
ncbi_bacteria	PADLOC	18534	18534	records	Retron records of that source_database
ncbi_bacteria	PADLOC|DefenseFinder	7651	7651	records	Retron records of that source_database
ncbi_bacteria	myRT	91320	91318	records	Retron records of that source_database
ncbi_bacteria	myRT|DefenseFinder	55378	55378	records	Retron records of that source_database
ncbi_bacteria	myRT|PADLOC	43364	43362	records	Retron records of that source_database
ncbi_bacteria	myRT|PADLOC|DefenseFinder	303424	303424	records	Retron records of that source_database
