artifact	script	command	unit	denominator
REPORT.html	scripts/assemble_report.py	see run.sh: assemble_report.py	n/a - assembled document	n/a - every value is resolved from a landed table of this bundle
REPORT.md	scripts/assemble_report.py	see run.sh: assemble_report.py	n/a - assembled document	n/a - every value is resolved from a landed table of this bundle
figures/fig01_unit_funnel.png	scripts/f01_corpus.py	see run.sh: f01_corpus.py	the unit named in the row	raw RT-anchored records (3,059,700) for the percentage column
figures/fig01_unit_funnel.svg	scripts/f01_corpus.py	see run.sh: f01_corpus.py	the unit named in the row	raw RT-anchored records (3,059,700) for the percentage column
figures/fig02_database_structure.png	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	all 501,561 exact RT sequences (right panel); exact RTs of that database (left panel)
figures/fig02_database_structure.svg	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	all 501,561 exact RT sequences (right panel); exact RTs of that database (left panel)
figures/fig03_exact_rt_recurrence.png	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	exact RT sequences of that family bucket
figures/fig03_exact_rt_recurrence.svg	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	exact RT sequences of that family bucket
figures/fig04_family_share_by_unit.png	scripts/f01_corpus.py	see run.sh: f01_corpus.py	records / loci / physical loci / exact RTs	all RT-anchored units of that level (MULTI included as its own row; the 29-family 'other' bucket is omitted from the figure and present in the table)
figures/fig04_family_share_by_unit.svg	scripts/f01_corpus.py	see run.sh: f01_corpus.py	records / loci / physical loci / exact RTs	all RT-anchored units of that level (MULTI included as its own row; the 29-family 'other' bucket is omitted from the figure and present in the table)
figures/fig05_database_family_heatmap.png	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences (distinct within a database)	exact RT sequences seen in that source database
figures/fig05_database_family_heatmap.svg	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences (distinct within a database)	exact RT sequences seen in that source database
figures/fig06_family_ranked.png	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
figures/fig06_family_ranked.svg	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
figures/fig07_rt_length_violins.png	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa
figures/fig07_rt_length_violins.svg	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa
figures/fig08_rt_length_ecdf.png	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
figures/fig08_rt_length_ecdf.svg	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
figures/fig09_ncrna_length_by_model.png	scripts/f02_geometry.py	see run.sh: f02_geometry.py	exact ncRNA sequences	exact ncRNA sequences called by that covariance model
figures/fig09_ncrna_length_by_model.svg	scripts/f02_geometry.py	see run.sh: f02_geometry.py	exact ncRNA sequences	exact ncRNA sequences called by that covariance model
figures/fig10_model_composition_by_unit.png	scripts/f02_geometry.py	see run.sh: f02_geometry.py	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
figures/fig10_model_composition_by_unit.svg	scripts/f02_geometry.py	see run.sh: f02_geometry.py	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
figures/fig11_subtype_by_model.png	scripts/f02_geometry.py	see run.sh: f02_geometry.py	physical loci	Retron physical loci carrying that tool's subtype label
figures/fig11_subtype_by_model.svg	scripts/f02_geometry.py	see run.sh: f02_geometry.py	physical loci	Retron physical loci carrying that tool's subtype label
figures/fig12_configuration_schematic.png	scripts/f02_geometry.py	see run.sh: f02_geometry.py	placements (loci/pairs beside)	all CANONICAL placements (344,154)
figures/fig12_configuration_schematic.svg	scripts/f02_geometry.py	see run.sh: f02_geometry.py	placements (loci/pairs beside)	all CANONICAL placements (344,154)
figures/fig13_signed_distance.png	scripts/f02_geometry.py	see run.sh: f02_geometry.py	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair)
figures/fig13_signed_distance.svg	scripts/f02_geometry.py	see run.sh: f02_geometry.py	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair)
figures/fig14_abs_distance_and_mode.png	scripts/f02_geometry.py	see run.sh: f02_geometry.py	the unit named in view_unit / series	CANONICAL placements counted at that unit
figures/fig14_abs_distance_and_mode.svg	scripts/f02_geometry.py	see run.sh: f02_geometry.py	the unit named in view_unit / series	CANONICAL placements counted at that unit
figures/fig15_cds_strand_overlap.png	scripts/f02_geometry.py	see run.sh: f02_geometry.py	placements / physical loci	CANONICAL placements counted at that unit
figures/fig15_cds_strand_overlap.svg	scripts/f02_geometry.py	see run.sh: f02_geometry.py	placements / physical loci	CANONICAL placements counted at that unit
figures/fig16_geometry_by_model.png	scripts/f02_geometry.py	see run.sh: f02_geometry.py	physical loci	CANONICAL physical loci of that model
figures/fig16_geometry_by_model.svg	scripts/f02_geometry.py	see run.sh: f02_geometry.py	physical loci	CANONICAL physical loci of that model
figures/fig17_tool_venn.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that tool combination
figures/fig17_tool_venn.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that tool combination
figures/fig18_tool_upset_carriage.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	the unit named in view_unit	Retron units of that tool combination
figures/fig18_tool_upset_carriage.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	the unit named in view_unit	Retron units of that tool combination
figures/fig19_combo_by_padloc_subtype.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
figures/fig19_combo_by_padloc_subtype.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
figures/fig20_zero_call_by_database.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that source-database set
figures/fig20_zero_call_by_database.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that source-database set
figures/fig21_carriage_by_upstream_context.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	geometry-eligible Retron physical loci in that bin of upstream window context
figures/fig21_carriage_by_upstream_context.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	geometry-eligible Retron physical loci in that bin of upstream window context
figures/fig22_carriage_by_subtype.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci carrying that tool's subtype label
figures/fig22_carriage_by_subtype.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci carrying that tool's subtype label
figures/fig23_pair_topology_recurrence.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	components / exact pairs	the 14,918 components and 30,924 exact pairs
figures/fig23_pair_topology_recurrence.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	components / exact pairs	the 14,918 components and 30,924 exact pairs
figures/fig24_partner_consistency.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	exact RT sequences	exact RTs carrying CANONICAL placements at ≥2 physical loci
figures/fig24_partner_consistency.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	exact RT sequences	exact RTs carrying CANONICAL placements at ≥2 physical loci
figures/fig25_candidates.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
figures/fig25_candidates.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
figures/fig26_multi_ambiguity.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	MULTI exact RT sequences	the 7,593 V-RT-MULTI exact RTs
figures/fig26_multi_ambiguity.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	MULTI exact RT sequences	the 7,593 V-RT-MULTI exact RTs
figures/fig27_gtdb_prevalence_phylum.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	genomes	genomes of that phylum in the GTDB bacterial catalogue
figures/fig27_gtdb_prevalence_phylum.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	genomes	genomes of that phylum in the GTDB bacterial catalogue
figures/fig28_family_phylum_prevalence.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	genomes	genomes of that phylum in the GTDB bacterial catalogue
figures/fig28_family_phylum_prevalence.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	genomes	genomes of that phylum in the GTDB bacterial catalogue
figures/fig29_rank_prevalence.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	genomes	sampled genomes of that taxon in the GTDB bacterial catalogue
figures/fig29_rank_prevalence.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	genomes	sampled genomes of that taxon in the GTDB bacterial catalogue
figures/fig30_ncbi_genus_representation.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	records / exact RTs	all NCBI-schema records carrying a genus (top 20 by records)
figures/fig30_ncbi_genus_representation.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	records / exact RTs	all NCBI-schema records carrying a genus (top 20 by records)
figures/fig31_data_quality.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	distinct records	distinct RT-anchored records (per database in three panels; corpus-wide in the inspectability panel)
figures/fig31_data_quality.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	distinct records	distinct RT-anchored records (per database in three panels; corpus-wide in the inspectability panel)
figures/fig32_carriage_by_rt_length.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	exact RT sequences	Retron-labelled V-RT-SINGLE exact RTs of that length bin and completeness class
figures/fig32_carriage_by_rt_length.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	exact RT sequences	Retron-labelled V-RT-SINGLE exact RTs of that length bin and completeness class
figures/fig33_recurrence_breadth.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	exact RT sequences	exact RTs occurring in ≥20 genomes, of that family
figures/fig33_recurrence_breadth.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	exact RT sequences	exact RTs occurring in ≥20 genomes, of that family
figures/fig34_tool_mix_by_database.png	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that source-database set and tool combination
figures/fig34_tool_mix_by_database.svg	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that source-database set and tool combination
tables/fig01_unit_funnel.tsv	scripts/f01_corpus.py	see run.sh: f01_corpus.py	the unit named in the row	raw RT-anchored records (3,059,700) for the percentage column
tables/fig02_database_structure.tsv	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	all 501,561 exact RT sequences (right panel); exact RTs of that database (left panel)
tables/fig03_exact_rt_recurrence.tsv	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	exact RT sequences of that family bucket
tables/fig04_family_share_by_unit.tsv	scripts/f01_corpus.py	see run.sh: f01_corpus.py	records / loci / physical loci / exact RTs	all RT-anchored units of that level (MULTI included as its own row; the 29-family 'other' bucket is omitted from the figure and present in the table)
tables/fig05_database_family_heatmap.tsv	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences (distinct within a database)	exact RT sequences seen in that source database
tables/fig06_family_ranked.tsv	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
tables/fig07_rt_length_violins.tsv	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa
tables/fig08_rt_length_ecdf.tsv	scripts/f01_corpus.py	see run.sh: f01_corpus.py	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
tables/fig09_ncrna_length_by_model.tsv	scripts/f02_geometry.py	see run.sh: f02_geometry.py	exact ncRNA sequences	exact ncRNA sequences called by that covariance model
tables/fig10_model_composition_by_unit.tsv	scripts/f02_geometry.py	see run.sh: f02_geometry.py	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
tables/fig11_subtype_by_model.tsv	scripts/f02_geometry.py	see run.sh: f02_geometry.py	physical loci	Retron physical loci carrying that tool's subtype label
tables/fig12_configuration_schematic.tsv	scripts/f02_geometry.py	see run.sh: f02_geometry.py	placements (loci/pairs beside)	all CANONICAL placements (344,154)
tables/fig13_signed_distance.tsv	scripts/f02_geometry.py	see run.sh: f02_geometry.py	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair)
tables/fig14_abs_distance_and_mode.tsv	scripts/f02_geometry.py	see run.sh: f02_geometry.py	the unit named in view_unit / series	CANONICAL placements counted at that unit
tables/fig15_cds_strand_overlap.tsv	scripts/f02_geometry.py	see run.sh: f02_geometry.py	placements / physical loci	CANONICAL placements counted at that unit
tables/fig16_geometry_by_model.tsv	scripts/f02_geometry.py	see run.sh: f02_geometry.py	physical loci	CANONICAL physical loci of that model
tables/fig17_tool_venn.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that tool combination
tables/fig18_tool_upset_carriage.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	the unit named in view_unit	Retron units of that tool combination
tables/fig19_combo_by_padloc_subtype.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
tables/fig20_zero_call_by_database.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that source-database set
tables/fig21_carriage_by_upstream_context.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	geometry-eligible Retron physical loci in that bin of upstream window context
tables/fig22_carriage_by_subtype.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci carrying that tool's subtype label
tables/fig23_pair_topology_recurrence.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	components / exact pairs	the 14,918 components and 30,924 exact pairs
tables/fig24_partner_consistency.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	exact RT sequences	exact RTs carrying CANONICAL placements at ≥2 physical loci
tables/fig25_candidates.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
tables/fig26_multi_ambiguity.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	MULTI exact RT sequences	the 7,593 V-RT-MULTI exact RTs
tables/fig27_gtdb_prevalence_phylum.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	genomes	genomes of that phylum in the GTDB bacterial catalogue
tables/fig28_family_phylum_prevalence.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	genomes	genomes of that phylum in the GTDB bacterial catalogue
tables/fig29_rank_prevalence.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	genomes	sampled genomes of that taxon in the GTDB bacterial catalogue
tables/fig30_ncbi_genus_representation.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	records / exact RTs	all NCBI-schema records carrying a genus (top 20 by records)
tables/fig31_data_quality.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	distinct records	distinct RT-anchored records (per database in three panels; corpus-wide in the inspectability panel)
tables/fig32_carriage_by_rt_length.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	exact RT sequences	Retron-labelled V-RT-SINGLE exact RTs of that length bin and completeness class
tables/fig33_recurrence_breadth.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	exact RT sequences	exact RTs occurring in ≥20 genomes, of that family
tables/fig34_tool_mix_by_database.tsv	scripts/f03_tools_taxonomy.py	see run.sh: f03_tools_taxonomy.py	physical loci	Retron physical loci of that source-database set and tool combination
tables/g7b_resolved_values.tsv	scripts/assemble_report.py	see run.sh: assemble_report.py	resolved values	n/a - one table lookup per row; no rate
tables/t01_other_units.tsv	scripts/a01_units_families.py	see run.sh: a01_units_families.py	the unit named in the row	n/a - counts of distinct units, no rate
tables/t01_unit_funnel.tsv	scripts/a01_units_families.py	see run.sh: a01_units_families.py	the unit named in the row	raw RT-anchored records (3,059,700) for the percentage column
tables/t02_exact_rt_database_sets.tsv	scripts/a01_units_families.py	see run.sh: a01_units_families.py	exact RT sequences	all 501,561 exact RT sequences
