family	rt_aa_len	cumulative_pct	n_exact_rt	unit	denominator
MULTI	21	0.0132	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	39	0.5136	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	45	1.0273	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	52	1.5804	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	56	2.1072	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	59	2.6735	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	62	3.174	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	65	3.6349	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	67	4.1486	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	69	4.5305	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	72	5.0573	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	75	5.5578	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	78	6.0977	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	81	6.6114	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	84	7.1645	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	86	7.6254	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	88	8.0996	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	91	8.6922	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	93	9.1532	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	95	9.6009	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	98	10.2199	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	99	10.5097	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	102	11.0365	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	105	11.5896	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	107	12.0506	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	110	12.6037	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	113	13.2622	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	115	13.5651	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	118	14.0261	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	121	14.6319	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	124	15.0928	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	127	15.567	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	130	16.0543	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	133	16.6206	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	135	17.121	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	138	17.7137	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	140	18.201	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	142	18.5302	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	144	19.0175	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	147	19.5707	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	150	20.0053	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	153	20.5057	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	157	21.0852	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	159	21.5462	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	162	22.0466	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	165	22.5207	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	167	23.2583	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	168	23.5217	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	170	24.0616	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	173	24.7465	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	175	25.2864	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	176	25.563	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	178	26.0371	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	180	26.6166	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
