detection_model	n_placements	n_physical_loci	n_exact_ncrna	n_exact_rt	n_species	pct_placements	pct_physical_loci	pct_exact_ncrna	pct_exact_rt	unit	denominator
TypeIA_IIAI	149850	140119	1994	3344	1681	43.5416	47.0509	12.4539	11.5378	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIC1_IC2	61589	53639	2005	6135	2340	17.8958	18.0116	12.5226	21.1676	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
Ec107_like	36340	30041	1943	4131	1252	10.5592	10.0875	12.1354	14.2532	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIB2	34985	29127	290	1327	272	10.1655	9.7806	1.8113	4.5785	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
OutgroupA	10889	7016	3307	4290	2120	3.164	2.3559	20.6545	14.8018	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeV	9929	8991	205	625	268	2.885	3.0191	1.2804	2.1564	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIV	7827	6290	285	769	429	2.2743	2.1121	1.78	2.6533	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIIIA3	4946	3545	726	1027	932	1.4371	1.1904	4.5344	3.5435	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeXIIIB_Ne144	4421	2786	1501	2016	1322	1.2846	0.9355	9.3748	6.9558	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIB1	4408	3148	573	759	606	1.2808	1.0571	3.5788	2.6188	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeXIIIA_firmi	4147	2356	469	683	349	1.205	0.7911	2.9292	2.3566	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIIIA2	3215	2379	401	602	520	0.9342	0.7989	2.5045	2.0771	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIIA3_proteo	2423	1886	190	340	258	0.704	0.6333	1.1867	1.1731	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIIA3_firmi	2295	1828	256	437	387	0.6669	0.6138	1.5989	1.5078	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
OutgroupB	2012	1278	334	587	260	0.5846	0.4291	2.0861	2.0253	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIIIA1	1647	1124	434	567	563	0.4786	0.3774	2.7106	1.9563	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeXIIIC_Mx162	1020	679	394	517	291	0.2964	0.228	2.4608	1.7838	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIX	918	643	230	270	301	0.2667	0.2159	1.4365	0.9316	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeXIII_Mx65	851	585	384	448	339	0.2473	0.1964	2.3984	1.5457	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIB2_firmi	349	285	58	78	95	0.1014	0.0957	0.3623	0.2691	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
TypeIIA2	93	58	32	31	34	0.027	0.0195	0.1999	0.107	placements / physical loci / exact ncRNAs / exact RTs	all CANONICAL placements counted at that unit
