combo	label	n_loci	n_with_ncrna	pct_with_ncrna	pct_with_ncrna_ci_lo	pct_with_ncrna_ci_hi	masked_small_n	unit	denominator
PADLOC	retron_III-A	18152	404	2.2257	2.0209	2.4506	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_Ec107-like	2817	2603	92.4033	91.3661	93.3249	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_outgroup	815	754	92.5153	90.5025	94.1292	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_I-B	191	137	71.7277	64.9618	77.637	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_V	105	84	80.0	71.3523	86.5301	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_II-A	60	23	38.3333	27.0883	50.9824	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_I-C	43	36	83.7209	70.0276	91.8834	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_IX	31	27	87.0968	71.1476	94.8657	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_VII-A2	24	0	0.0	0.0	13.7976	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_X	20	0	0.0	0.0	16.1125	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_VIII	7	0	0.0	0.0	35.433	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_XI	6	0	0.0	0.0	39.0334	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_XIII	6	2	33.3333	9.6771	70.0007	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_VI	4	0	0.0	0.0	48.9891	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_I-A	1	0	0.0	0.0	79.3451	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC	retron_XII	1	0	0.0	0.0	79.3451	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_III-A	3191	140	4.3873	3.7299	5.1545	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_I-C	2500	1945	77.8	76.129	79.3857	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_II-A	2065	1406	68.0872	66.0447	70.0625	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_I-B	738	532	72.0867	68.7424	75.2023	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_XII	641	0	0.0	0.0	0.5957	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_XIII	447	302	67.5615	63.088	71.7358	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_I-A	381	349	91.601	88.3836	93.9879	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_VI	333	0	0.0	0.0	1.1404	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_XI	275	1	0.3636	0.0642	2.0307	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_IV	124	106	85.4839	78.2189	90.6163	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_Ec107-like	54	41	75.9259	63.0525	85.3557	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_X	41	0	0.0	0.0	8.5668	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_VII-A1	18	0	0.0	0.0	17.5879	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_VII-A2	9	0	0.0	0.0	29.9145	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
PADLOC|DefenseFinder	retron_outgroup	4	4	100.0	51.0109	100.0	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_Ec107-like	25392	25277	99.5471	99.4567	99.6225	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_V	8889	7978	89.7514	89.1036	90.3648	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_outgroup	7213	6775	93.9276	93.3528	94.4557	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_I-B	5585	2779	49.7583	48.4476	51.0693	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_IX	523	417	79.7323	76.076	82.955	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_II-A	323	37	11.4551	8.4258	15.3904	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_VII-A2	245	0	0.0	0.0	1.5437	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_VIII	173	0	0.0	0.0	2.1723	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_X	70	0	0.0	0.0	5.2023	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_VI	40	0	0.0	0.0	8.7622	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_III-A	15	3	20.0	7.0475	45.1854	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_XIII	15	1	6.6667	1.1867	29.8165	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_I-C	8	3	37.5	13.6844	69.4258	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_IV	6	5	83.3333	43.6497	96.9947	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_I-A	4	2	50.0	15.0039	84.9961	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC	retron_XI	3	0	0.0	0.0	56.1497	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_II-A	166358	121589	73.0888	72.8751	73.3013	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_I-C	49113	44558	90.7255	90.4657	90.9788	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_I-B	30209	26935	89.1622	88.8066	89.5077	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_I-A	20128	17501	86.9485	86.4761	87.4069	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_XII	16088	1	0.0062	0.0011	0.0352	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_III-A	11376	2539	22.3189	21.5632	23.0933	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_IV	7641	5856	76.6392	75.6772	77.5744	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_VI	5322	1	0.0188	0.0033	0.1064	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_XI	4003	4	0.0999	0.0389	0.2567	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_XIII	3216	2589	80.5037	79.0984	81.8362	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_Ec107-like	327	275	84.0979	79.7415	87.6623	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_VII-A1	222	0	0.0	0.0	1.701	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_X	113	0	0.0	0.0	3.2878	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_V	53	48	90.566	79.7463	95.9027	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_outgroup	41	41	100.0	91.4332	100.0	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_VII-A2	39	0	0.0	0.0	8.9667	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_IX	33	28	84.8485	69.0801	93.3495	False	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
myRT|PADLOC|DefenseFinder	retron_VIII	5	0	0.0	0.0	43.4482	True	physical loci	Retron physical loci of that (tool combination, PADLOC subtype)
