label	n_loci	n_with_ncrna	pct_with_ncrna	pct_with_ncrna_ci_lo	pct_with_ncrna_ci_hi	tool	ncrna_role	unit	denominator
retron_II-A	168806	123055	72.8973	72.6847	73.1088	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_I-C	51664	46542	90.0859	89.8253	90.3407	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_I-B	36723	30383	82.7356	82.3457	83.1187	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_III-A	32734	3086	9.4275	9.1157	9.7488	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_Ec107-like	28590	28196	98.6219	98.4801	98.7506	PADLOC	REQUIRED IN PRACTICE - min_total exceeds min_core and the ncRNA is the only secondary gene	physical loci	Retron physical loci carrying that tool's subtype label
retron_I-A	20514	17852	87.0235	86.5567	87.4764	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_XII	16730	1	0.006	0.0011	0.0339	PADLOC	PROHIBITED - a call requires the ncRNA to be absent	physical loci	Retron physical loci carrying that tool's subtype label
retron_V	9047	8110	89.643	88.9982	90.2541	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_outgroup	8073	7574	93.8189	93.2725	94.3237	PADLOC	REQUIRED IN PRACTICE - min_total exceeds min_core and the ncRNA is the only secondary gene	physical loci	Retron physical loci carrying that tool's subtype label
retron_IV	7771	5967	76.7855	75.8337	77.7108	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_VI	5699	1	0.0175	0.0031	0.0993	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_XI	4287	5	0.1166	0.0498	0.2728	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_XIII	3684	2894	78.5559	77.2012	79.8512	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_IX	587	472	80.4089	77.0047	83.4176	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_VII-A2	317	0	0.0	0.0	1.1973	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_X	244	0	0.0	0.0	1.55	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_VII-A1	240	0	0.0	0.0	1.5754	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
retron_VIII	185	0	0.0	0.0	2.0342	PADLOC	SECONDARY - scores towards min_total, not required	physical loci	Retron physical loci carrying that tool's subtype label
Retron_II	169761	123484	72.7399	72.5276	72.9512	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_I_C	58087	49936	85.9676	85.6828	86.2477	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_III	33059	4840	14.6405	14.2635	15.0257	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_I_B	31822	27990	87.958	87.5958	88.311	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_VI	31072	7	0.0225	0.0109	0.0465	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_XII	21871	5	0.0229	0.0098	0.0535	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_I_A	21415	18515	86.4581	85.9933	86.9098	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_IV	7900	6006	76.0253	75.0714	76.954	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_XIII	7565	5726	75.6907	74.7112	76.6441	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_XI	4728	5	0.1058	0.0452	0.2473	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_VII_2	561	245	43.672	39.6246	47.8055	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_VII_1	309	0	0.0	0.0	1.2279	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_X	160	0	0.0	0.0	2.3446	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_IX	49	11	22.449	13.025	35.8788	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
Retron_V	24	14	58.3333	38.8347	75.5324	DefenseFinder	n/a - DefenseFinder models carry no ncRNA element	physical loci	Retron physical loci carrying that tool's subtype label
