file_label	detection_model	signed_distance_bp	direction	same_strand	n_cds_between	canonical	source_database	tax_species	unit	denominator
MULTI	Ec107_like	8627.0	downstream	True	10	True	mgnify_human_gut	Enterocloster_clostridioformis	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
MULTI	Ec107_like	8627.0	downstream	True	10	True	mgnify_human_gut	Enterocloster_clostridioformis	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
MULTI	TypeIIA2	-8038.0	upstream	True	5	True	ncbi_bacteria		placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
MULTI	TypeIIA2	8952.0	downstream	False	10	True	mgnify_soil		placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
MULTI	TypeIIIA2	-5962.0	upstream	False	2	True	ncbi_bacteria	Candidatus_Poribacteria	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
MULTI	TypeIIIA3	-7375.0	upstream	True	5	True	mgnify_soil		placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-AbiP2	TypeIIIA2	2312.0	downstream	False	2	True	gtdb_bacteria	Enterousia_sp944389515	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-AbiP2	TypeIIIA2	2312.0	downstream	False	2	True	ncbi_bacteria	uncultured_Pseudomonadota	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-AbiP2	TypeIV	-438.0	upstream	False	0	True	ncbi_bacteria	Escherichia_coli	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-AbiP2	TypeIV	-438.0	upstream	False	0	True	ncbi_bacteria	Escherichia_coli	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-AbiP2	TypeIV	-438.0	upstream	False	0	True	ncbi_bacteria	Escherichia_coli	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-AbiP2	TypeIV	-348.0	upstream	False	0	True	ncbi_bacteria	Escherichia_coli	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-AbiP2	TypeIV	-348.0	upstream	False	0	True	ncbi_bacteria	Escherichia_coli	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-AbiP2	TypeIV	-348.0	upstream	False	0	True	ncbi_bacteria	Escherichia_coli	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-AbiP2	TypeIV	-348.0	upstream	False	0	True	ncbi_bacteria	Escherichia_coli	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-CRISPR-like	TypeIX	-8973.0	upstream	True	6	True	mgnify_soil		placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-CRISPR-like	TypeIX	-8973.0	upstream	True	6	True	ncbi_bacteria	uncultured_Acidobacteriota	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	OutgroupA	-7760.0	upstream	True	8	True	ncbi_bacteria	Bacteroidales_bacterium	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIA_IIAI	-5958.0	upstream	True	5	True	gtdb_bacteria	JAVMKJ01_sp031732855	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIA_IIAI	-5958.0	upstream	True	5	True	ncbi_bacteria	Candidatus_Competibacter	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIA_IIAI	-733.0	upstream	True	0	True	gtdb_bacteria	WFQV01_sp015486905	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIA_IIAI	-733.0	upstream	True	0	True	ncbi_bacteria	Melioribacteraceae_bacterium	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIA_IIAI	860.0	downstream	True	1	True	gtdb_bacteria	UBA3076_sp003194485	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIIA2	-2669.0	upstream	False	2	True	gem		placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIIA2	-820.0	upstream	True	1	True	gtdb_bacteria	F23-D06_sp963603365	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIIA2	-793.0	upstream	True	1	True	gtdb_bacteria	F23-D06_sp963603365	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIIA2	-793.0	upstream	True	1	True	ncbi_bacteria	Oscillospiraceae_bacterium	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIIA2	-308.0	upstream	True	0	True	gtdb_bacteria	Duncaniella_freteri	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIIA2	-308.0	upstream	True	0	True	ncbi_bacteria	uncultured_Duncaniella	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIIA2	3332.0	downstream	True	2	True	gtdb_bacteria	CAIZWU01_sp945900785	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
RVT-DGRs	TypeIIA2	3332.0	downstream	True	2	True	ncbi_bacteria	Akkermansia_muciniphila	placements	the 266 retained retron-CM placements beside non-Retron-labelled RTs
