source_database_set	n_exact_rt	n_databases	pct_of_exact_rt	unit	denominator
ncbi_bacteria|gtdb_bacteria	196131	2	39.1041	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria	187155	1	37.3145	exact RT sequences	all 501,561 exact RT sequences
mgnify_human_gut	58847	1	11.7328	exact RT sequences	all 501,561 exact RT sequences
gem	9783	1	1.9505	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	9607	3	1.9154	exact RT sequences	all 501,561 exact RT sequences
mgnify_soil	6416	1	1.2792	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria	5732	1	1.1428	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|mgnify_soil	5582	2	1.1129	exact RT sequences	all 501,561 exact RT sequences
ncbi_archaea	4073	1	0.8121	exact RT sequences	all 501,561 exact RT sequences
mgnify_marine	2707	1	0.5397	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|mgnify_marine	2688	3	0.5359	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|gem	2500	3	0.4984	exact RT sequences	all 501,561 exact RT sequences
ncbi_archaea|gtdb_archaea	2487	2	0.4959	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|mgnify_soil	1905	3	0.3798	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|mgnify_human_gut|gem	1639	4	0.3268	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|mgnify_human_gut	1482	2	0.2955	exact RT sequences	all 501,561 exact RT sequences
mgnify_human_gut|gem	908	2	0.181	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gem	374	2	0.0746	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|gem|mgnify_marine	224	4	0.0447	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|mgnify_human_gut|gem	201	3	0.0401	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|mgnify_marine	195	2	0.0389	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria|mgnify_human_gut	119	2	0.0237	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_archaea	100	2	0.0199	exact RT sequences	all 501,561 exact RT sequences
mgnify_soil|ncbi_archaea	82	2	0.0163	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria|gem	79	2	0.0158	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria|mgnify_marine	57	2	0.0114	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria|ncbi_archaea	50	2	0.01	exact RT sequences	all 501,561 exact RT sequences
mgnify_soil|ncbi_archaea|gtdb_archaea	45	3	0.009	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|mgnify_human_gut|mgnify_marine	43	4	0.0086	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria|mgnify_soil	35	2	0.007	exact RT sequences	all 501,561 exact RT sequences
gem|ncbi_archaea|gtdb_archaea	31	3	0.0062	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|ncbi_archaea	29	3	0.0058	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|ncbi_archaea|gtdb_archaea	27	3	0.0054	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|mgnify_human_gut|gem|mgnify_marine	27	5	0.0054	exact RT sequences	all 501,561 exact RT sequences
gem|mgnify_marine	26	2	0.0052	exact RT sequences	all 501,561 exact RT sequences
mgnify_marine|ncbi_archaea|gtdb_archaea	23	3	0.0046	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|ncbi_archaea	22	2	0.0044	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|ncbi_archaea|gtdb_archaea	14	4	0.0028	exact RT sequences	all 501,561 exact RT sequences
gem|ncbi_archaea	12	2	0.0024	exact RT sequences	all 501,561 exact RT sequences
gtdb_archaea	12	1	0.0024	exact RT sequences	all 501,561 exact RT sequences
mgnify_human_gut|ncbi_archaea|gtdb_archaea	12	3	0.0024	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|gem|mgnify_soil	10	4	0.002	exact RT sequences	all 501,561 exact RT sequences
mgnify_marine|ncbi_archaea	10	2	0.002	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria|mgnify_human_gut|gem	8	3	0.0016	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|gem|ncbi_archaea|gtdb_archaea	6	5	0.0012	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gem|mgnify_marine	4	3	0.0008	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|mgnify_human_gut|gem|ncbi_archaea	4	5	0.0008	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria|mgnify_soil|ncbi_archaea	4	3	0.0008	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|mgnify_human_gut|ncbi_archaea	4	4	0.0008	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|mgnify_soil|ncbi_archaea	3	4	0.0006	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gtdb_bacteria|gem|ncbi_archaea	3	4	0.0006	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gem|gtdb_archaea	2	3	0.0004	exact RT sequences	all 501,561 exact RT sequences
ncbi_bacteria|gem|mgnify_soil	2	3	0.0004	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria|gem|mgnify_marine	2	3	0.0004	exact RT sequences	all 501,561 exact RT sequences
mgnify_human_gut|ncbi_archaea	2	2	0.0004	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria|mgnify_human_gut|ncbi_archaea	2	3	0.0004	exact RT sequences	all 501,561 exact RT sequences
gtdb_bacteria|gem|ncbi_archaea	2	3	0.0004	exact RT sequences	all 501,561 exact RT sequences
