family	n_records	n_loci	n_physical_loci	n_exact_rt	n_genomes	pct_records	pct_loci	pct_physical_loci	pct_exact_rt	shift_records_to_exact_rt	median_rt_aa_len	unit	denominator
RVT-GII	1613901	1525893	1304726	256624	799112	52.8933	53.5906	52.7016	51.1638	0.9673	407.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
Retron	663308	632688	563701	78287	564641	21.739	22.2205	22.7695	15.6083	0.718	342.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
RVT-DGRs	228165	173191	157410	76111	125573	7.4778	6.0826	6.3582	15.1745	2.0293	359.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
other	221500	209515	181914	31229	199998	7.2593	7.3583	7.348	6.2262	0.8577		exact RTs (bar) with loci/records beside	all RT-anchored units of that level
RVT-UG2	46286	42793	36321	8423	41261	1.517	1.5029	1.4671	1.6793	1.107	431.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
MULTI	9012	8542	8387	7593	4450	0.2954	0.3	0.3388	1.5138	5.1255		exact RTs (bar) with loci/records beside	all RT-anchored units of that level
RVT-UG8	38721	37297	32164	7261	35014	1.269	1.3099	1.2992	1.4476	1.1408	606.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
RVT-UG5	52895	51344	45873	6439	48259	1.7336	1.8032	1.8529	1.2838	0.7405	892.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
RVT-AbiP2	47306	44697	40012	6377	43155	1.5504	1.5698	1.6162	1.2714	0.8201	498.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
RVT-UG3	39992	38549	33377	5821	36100	1.3107	1.3539	1.3482	1.1605	0.8855	409.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
RVT-UG4	32526	31720	27183	4705	28576	1.066	1.114	1.098	0.938	0.88	309.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
RVT-UG17	39508	38354	32851	4702	37418	1.2948	1.347	1.3269	0.9375	0.724	427.5	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
RVT-CRISPR	9711	7355	6437	4047	7127	0.3183	0.2583	0.26	0.8069	2.5352	468.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
RVT-UG26	8407	5374	5328	3954	5172	0.2755	0.1887	0.2152	0.7883	2.8611	404.0	exact RTs (bar) with loci/records beside	all RT-anchored units of that level
