family	n_exact_rt	median	iqr	iqr_over_median	q95_over_q05	pct_outside_tukey_fences	n_modes_declared_rule	unit	denominator
RVT-GII	256624	407.0	226.0	0.5553	5.7315	0.8152	2	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
Retron	78287	342.0	153.0	0.4474	4.1399	2.1102	1	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-DGRs	76111	359.0	88.0	0.2451	3.2745	11.7933	1	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
other	31217	495.0	217.0	0.4384	7.9793	9.0399	3	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-UG2	8423	431.0	175.0	0.406	3.4013	0.748	2	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	7593	283.0	302.0	1.0671	13.575	6.2558	1	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-UG8	7261	606.0	317.0	0.5231	4.1307	0.0826	2	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-UG5	6439	892.0	578.0	0.648	3.8913	0.0	4	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	6377	498.0	157.0	0.3153	2.6866	2.0856	1	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-UG3	5821	409.0	122.0	0.2983	2.6612	2.0787	1	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-UG4	4705	309.0	160.0	0.5178	6.3578	12.3698	2	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-UG17	4702	427.5	170.0	0.3977	3.4245	0.4466	1	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-CRISPR	4035	468.0	439.5	0.9391	5.5322	0.0496	4	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-UG26	3954	404.0	15.0	0.0371	2.1549	25.4173	1	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
