view_unit	abs_distance_bp	cumulative_pct	n_total	unit	denominator
placement	0.0	12.5043	344154	the unit named in view_unit	units with a defined signed distance
placement	5.0	13.94	344154	the unit named in view_unit	units with a defined signed distance
placement	10.0	14.8971	344154	the unit named in view_unit	units with a defined signed distance
placement	20.0	21.4369	344154	the unit named in view_unit	units with a defined signed distance
placement	30.0	28.5834	344154	the unit named in view_unit	units with a defined signed distance
placement	50.0	49.8146	344154	the unit named in view_unit	units with a defined signed distance
placement	75.0	55.5089	344154	the unit named in view_unit	units with a defined signed distance
placement	100.0	56.3698	344154	the unit named in view_unit	units with a defined signed distance
placement	150.0	58.6136	344154	the unit named in view_unit	units with a defined signed distance
placement	200.0	59.1038	344154	the unit named in view_unit	units with a defined signed distance
placement	300.0	59.6576	344154	the unit named in view_unit	units with a defined signed distance
placement	500.0	60.1417	344154	the unit named in view_unit	units with a defined signed distance
placement	750.0	60.3419	344154	the unit named in view_unit	units with a defined signed distance
placement	1000.0	61.974	344154	the unit named in view_unit	units with a defined signed distance
placement	1100.0	97.4	344154	the unit named in view_unit	units with a defined signed distance
placement	1500.0	97.4619	344154	the unit named in view_unit	units with a defined signed distance
placement	2000.0	97.5151	344154	the unit named in view_unit	units with a defined signed distance
placement	2700.0	98.3156	344154	the unit named in view_unit	units with a defined signed distance
placement	3000.0	99.0908	344154	the unit named in view_unit	units with a defined signed distance
placement	5000.0	99.8393	344154	the unit named in view_unit	units with a defined signed distance
placement	10000.0	100.0	344154	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	0.0	12.6974	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	5.0	14.1553	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	10.0	15.1272	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	20.0	21.768	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	30.0	29.0248	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	50.0	50.5839	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	75.0	56.3661	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	100.0	57.2404	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	150.0	59.5188	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	200.0	60.0165	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	300.0	60.5789	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	500.0	61.0705	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	750.0	61.2738	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	1000.0	62.9311	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	1100.0	98.9042	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	1500.0	98.967	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	2000.0	99.021	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	2700.0	99.062	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	3000.0	99.0768	338920	the unit named in view_unit	units with a defined signed distance
placement, technical mode excluded	5000.0	99.8368	338920	the unit named in view_unit	units with a defined signed distance
